"Market";"Distributor";"Release date";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2014-2020";"Total since 2010"
"AT";"Filmladen";"29/04/2011";"";"43 230";"657";"291";"";"";"";"";"";"";"";"";"44 178"
"BE";"Cineart (BE)";"23/06/2010";"32 567";"3 499";"660";"";"";"";"";"";"";"";"";"";"36 726"
"CH";"JMH Distributions (CH)";"02/06/2010";"11 296";"15 320";"496";"238";"75";"46";"38";"";"53";"";"";"212";"27 562"
"DE";"LEONINE Distribution GmbH";"06/01/2011";"";"567 641";"10 295";"2 764";"1 340";"240";"572";"218";"284";"29";"95";"2 778";"583 478"
"DK";"";"";"";"13 122";"";"";"";"";"";"";"";"";"";"";"13 122"
"ES";"Golem Distribucion";"20/08/2010";"136 168";"2 284";"";"38";"";"";"147";"";"";"";"";"147";"138 637"
"FI";"Atlantic Film (FI)";"29/04/2011";"";"12 034";"141";"";"";"";"";"";"";"";"";"";"12 175"
"FR";"StudioCanal (FR)";"02/06/2010";"1 271 714";"";"";"";"";"";"";"";"";"";"";"";"1 271 714"
"GB";"Trafalgar (GB)";"12/11/2010";"33 264";"2 484";"";"";"47";"262";"";"197";"";"";"171";"677";"36 425"
"HU";"Mokep";"03/03/2011";"";"13 392";"";"";"90";"";"";"";"";"";"";"90";"13 482"
"IE";"Picturehouse (IE)";"12/11/2010";"500";"";"";"";"";"";"";"";"";"";"";"";"500"
"LU";"Cineart (LU)";"04/06/2010";"1 981";"";"";"";"";"";"";"";"";"";"";"";"1 981"
"NL";"Cinéart Nederland";"29/07/2010";"20 683";"1 856";"374";"30";"";"";"45";"";"23";"";"";"68";"23 011"
"NO";"Europafilm";"22/07/2011";"";"3 543";"";"";"";"";"";"";"";"";"";"";"3 543"
"SE";"Atlantic Film (SE)";"18/02/2011";"";"30 572";"438";"";"";"";"";"";"";"";"";"";"31 010"
"EUR EU";"";"";"1 496 877";"690 114";"12 565";"3 123";"1 477";"502";"764";"415";"307";"29";"266";"3 760";"2 206 439"
"EUR OBS";"";"";"1 508 173";"708 977";"13 061";"3 361";"1 552";"548";"802";"415";"360";"29";"266";"3 972";"2 237 544"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010"
" - film_id : 35048"
