"Market";"Distributor";"Release date";"2004";"2005";"Total since 2004"
"BE";"Cineart (BE)";"05/05/2004";"34 940";"180";"35 120"
"CH";"";"";"14 040";"";"14 040"
"FR";"";"";"1 960 000";"";"1 960 000"
"LT";"Acme (LT)";"14/02/2005";"";"2 322";"2 322"
"LU";"";"";"2 209";"";"2 209"
"LV";"Acme (LV)";"11/02/2005";"";"897";"897"
"EUR EU";"";"";"1 997 149";"3 399";"2 000 548"
"EUR OBS";"";"";"2 011 189";"3 399";"2 014 588"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2005, 2004"
" - film_id : 22910"
