"Market";"Distributor";"Release date";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2012";"2013";"2014";"2016";"2006-2016";"Total since 2002"
"BE";"Les Films de l'Élysée (BE)";"06/03/2002";"38 770";"";"";"639";"";"";"";"";"";"";"";"";"";"";"39 409"
"CH";"";"";"19 887";"";"";"";"";"";"";"";"";"";"";"";"";"";"19 887"
"ES";"Festival Films";"29/04/2005";"";"";"";"79 998";"22";"";"";"198";"";"";"";"";"";"220";"80 218"
"FR";"";"06/03/2002";"1 723 741";"18 145";"2 203";"";"678";"";"";"";"";"";"";"";"";"678";"1 744 767"
"IT";"Lady Film";"04/10/2002";"26 869";"4 617";"35 158";"1 694";"2 134";"2 265";"1 536";"130";"596";"306";"563";"246";"198";"7 974";"76 312"
"LU";"";"";"1 372";"";"";"";"";"";"";"";"";"";"";"";"";"";"1 372"
"EUR EU";"";"";"1 790 752";"22 762";"37 361";"82 331";"2 834";"2 265";"1 536";"328";"596";"306";"563";"246";"198";"8 872";"1 942 078"
"EUR OBS";"";"";"1 810 639";"22 762";"37 361";"82 331";"2 834";"2 265";"1 536";"328";"596";"306";"563";"246";"198";"8 872";"1 961 965"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2016, 2014, 2013, 2012, 2010, 2009, 2008, 2007, 2006, 2005, 2004, 2003, 2002"
" - film_id : 18899"
