"Market";"Distributor";"Release date";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2018-2020";"Total since 2014"
"AT";"Filmladen";"16/01/2015";"";"11 380";"125";"";"";"";"";"";"11 505"
"BE";"Cineart (BE)";"17/12/2014";"9 865";"45 570";"1 337";"26";"65";"";"";"65";"56 863"
"CH";"Trigon Film";"25/09/2014";"8 910";"17 211";"59";"";"";"";"";"";"26 180"
"DE";"Arsenal Filmverleih";"11/12/2014";"8 341";"60 842";"3 016";"259";"65";"38";"77";"180";"72 638"
"DK";"Grand Teatret A/S";"30/04/2015";"";"11 288";"";"";"";"";"";"";"11 288"
"ES";"Golem Distribucion";"06/02/2015";"162";"66 721";"43";"";"";"";"";"";"66 926"
"FR";"Le Pacte";"10/12/2014";"310 883";"938 912";"72 212";"18 876";"";"";"383";"383";"1 341 266"
"GB";"Curzon Artificial Eye (GB)";"29/05/2015";"";"42 556";"402";"30";"";"";"";"";"42 988"
"GR";"Videorama";"05/03/2015";"";"7 713";"";"";"";"";"";"";"7 713"
"HR";"Pa-Dora";"15/01/2015";"";"486";"";"";"";"";"";"";"486"
"HU";"Vertigo (HU)";"12/02/2015";"";"2 960";"";"17";"";"14";"";"14";"2 991"
"IE";"Curzon Film World (IE)";"29/05/2015";"";"3 435";"";"";"";"";"";"";"3 435"
"IT";"Academy two distr.";"12/02/2015";"";"122 387";"9 072";"250";"";"";"17";"17";"131 726"
"LU";"Cineart (LU)";"17/12/2014";"996";"2 517";"";"";"";"";"";"";"3 513"
"NL";"Cinéart Nederland";"26/03/2015";"";"43 324";"248";"29";"";"";"27";"27";"43 628"
"NO";"Fidalgo Filmdistribusjon (NO)";"16/01/2015";"";"6 064";"140";"";"";"46";"";"46";"6 250"
"PL";"Aurora Films";"12/06/2015";"";"19 625";"4 768";"";"";"";"";"";"24 393"
"PT";"Midas Filmes";"28/05/2015";"";"5 583";"79";"";"";"";"";"";"5 662"
"RO";"Asociatia Culturala Macondo";"12/06/2015";"";"1 715";"41";"";"";"";"";"";"1 756"
"SE";"Folkets Bio";"20/02/2015";"";"23 370";"139";"";"";"";"";"";"23 509"
"SI";"Fivia";"12/11/2014";"362";"2 389";"540";"";"70";"";"";"70";"3 361"
"TR";"M3 Film";"30/01/2015";"";"3 861";"356";"";"";"";"";"";"4 217"
"EUR EU";"";"";"330 609";"1 412 773";"92 022";"19 487";"200";"52";"504";"756";"1 855 647"
"EUR OBS";"";"";"339 519";"1 439 909";"92 577";"19 487";"200";"98";"504";"802";"1 892 294"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014"
" - film_id : 47948"
