"Market";"Distributor";"Release date";"2009";"2010";"2011";"2012";"Total since 2009"
"AT";"Filmcasino & Polyfilm";"24/07/2009";"14 638";"222";"";"21";"14 881"
"BE";"UPI (BE)";"18/02/2009";"61 300";"";"";"";"61 300"
"CH";"Frenetic Films (CH)";"18/02/2009";"16 792";"12";"";"";"16 804"
"DE";"Prokino Filmverleih";"16/07/2009";"85 103";"1 757";"192";"";"87 052"
"DK";"Camera Film";"03/06/2010";"";"4 918";"62";"";"4 980"
"ES";"A Contracorriente Films";"11/02/2011";"";"";"58 529";"";"58 529"
"FR";"StudioCanal (FR)";"18/02/2009";"1 626 503";"";"";"";"1 626 503"
"NO";"Oro Film";"23/10/2009";"2 505";"7";"";"";"2 512"
"EUR EU";"";"";"1 787 544";"6 897";"58 783";"21";"1 853 245"
"EUR OBS";"";"";"1 806 841";"6 916";"58 783";"21";"1 872 561"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2012, 2011, 2010, 2009"
" - film_id : 31644"
