"Market";"Distributor";"Release date";"2006";"2008";"2010";"Total since 2006"
"BE";"Alternative Films (BE)";"26/04/2006";"163 004";"";"";"163 004"
"CH";"JMH Distributions (CH)";"26/04/2006";"49 376";"159";"194";"49 729"
"FR";"Pathé Distribution (FR)";"26/04/2006";"5 469 493";"";"";"5 469 493"
"LU";"Alternative Film (LU)";"26/04/2006";"3 851";"";"";"3 851"
"EUR EU";"";"";"5 636 348";"";"";"5 636 348"
"EUR OBS";"";"";"5 685 724";"159";"194";"5 686 077"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2010, 2008, 2006"
" - film_id : 25561"
