"Market";"Distributor";"Release date";"2012";"Total since 2012"
"BE";"Les Films de l'Élysée (BE)";"01/02/2012";"123 704";"123 704"
"CH";"JMH Distributions (CH)";"01/02/2012";"36 590";"36 590"
"FR";"Mars Films (FR)";"01/02/2012";"4 613 791";"4 613 791"
"LU";"Les Films de l'Élysée (LU)";"01/02/2012";"6 607";"6 607"
"EUR EU";"";"";"4 744 102";"4 744 102"
"EUR OBS";"";"";"4 780 692";"4 780 692"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2012"
" - film_id : 40115"
