"Market";"Distributor";"Release date";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2013-2020";"Total since 2009"
"AT";"Constantin Film (AT)";"19/03/2010";"";"8 334";"";"";"";"";"";"";"";"";"";"";"";"8 334"
"BE";"Alternative Films (BE)";"27/01/2010";"";"84 225";"1 514";"";"";"";"";"";"";"";"";"";"";"85 739"
"CH";"JMH Distributions (CH)";"02/12/2009";"10 618";"99 488";"58";"423";"";"";"";"";"";"";"";"314";"314";"110 901"
"DE";"LEONINE Distribution GmbH";"25/02/2010";"";"584 850";"5 792";"";"";"1 611";"756";"1 314";"270";"628";"373";"24";"4 976";"595 618"
"DK";"";"";"";"";"4 356";"";"";"";"";"";"";"";"";"";"";"4 356"
"ES";"Vértice Cine";"23/04/2010";"";"201 596";"124";"";"";"";"";"";"";"9";"";"";"9";"201 729"
"FI";"Atlantic Film (FI)";"08/04/2011";"";"";"13 942";"377";"";"";"";"";"";"";"";"48";"48";"14 367"
"FR";"Pathé Distribution (FR)";"27/01/2010";"";"2 860 503";"";"";"";"";"";"";"";"";"";"257";"257";"2 860 760"
"GR";"Village";"15/04/2010";"";"6 393";"";"";"";"";"";"";"";"";"";"";"";"6 393"
"IS";"Myndform";"26/05/2010";"";"546";"";"";"";"";"";"";"";"";"";"";"";"546"
"IT";"Indipendenti Regionali";"05/06/2012";"";"";"";"4 505";"";"";"";"";"";"";"";"";"";"4 505"
"LT";"Acme (LT)";"16/04/2010";"";"4 866";"";"";"";"";"";"";"";"";"";"";"";"4 866"
"LU";"Alternative Film (LU)";"27/01/2010";"";"5 826";"";"";"";"";"";"";"";"";"";"";"";"5 826"
"LV";"Acme (LV)";"02/04/2010";"";"4 704";"";"";"";"";"";"";"";"";"";"";"";"4 704"
"NL";"Benelux Film Distribution";"22/04/2010";"";"17 841";"523";"";"80";"37";"";"";"";"";"";"";"117";"18 481"
"PL";"ITI Cinema";"03/06/2011";"";"";"567";"";"";"";"";"";"";"";"";"";"";"567"
"PT";"ZON Lusomundo Audiovisuais";"";"";"";"";"7";"";"";"";"";"";"";"";"";"";"7"
"RU";"Cinema Without Frontiers";"09/09/2010";"";"193 069";"";"";"";"";"";"";"";"";"";"";"";"193 069"
"SE";"Atlantic Film (SE)";"01/10/2010";"";"52 161";"1 775";"23";"";"";"";"";"";"";"";"";"";"53 959"
"EUR EU";"";"";"";"3 831 299";"28 593";"4 912";"80";"1 648";"756";"1 314";"270";"637";"373";"329";"5 407";"3 870 211"
"EUR OBS";"";"";"10 618";"4 124 402";"28 651";"5 335";"80";"1 648";"756";"1 314";"270";"637";"373";"643";"5 721";"4 174 727"
"US_CA";"Walt Disney Studios (US)";"22/04/2010";"";"2 461 637";"";"";"";"";"";"";"";"";"";"";"";"2 461 637"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009"
" - film_id : 31711"
