"Market";"Distributor";"Release date";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2015-2020";"Total since 2011"
"AT";"Constantin Film (AT)";"25/11/2011";"64 501";"18 624";"306";"";"";"";"";"";"";"";"";"83 431"
"BE";"Cineart (BE)";"14/12/2011";"27 194";"14 916";"22";"";"";"";"";"";"";"";"";"42 132"
"CH";"Elite Film";"16/09/2011";"71 617";"39 606";"40";"";"65";"92";"33";"";"";"";"190";"111 453"
"CZ";"35 mm";"26/01/2012";"";"9 726";"11";"";"";"";"";"";"";"";"";"9 737"
"DE";"Constantin Film (DE)";"24/11/2011";"563 824";"313 607";"";"413";"174";"728";"112";"65";"21";"98";"1 198";"879 042"
"DK";"UIP (DK)";"";"";"5 680";"";"";"";"";"";"";"";"";"";"5 680"
"EE";"Bigsales (EE)";"23/12/2011";"1 485";"769";"";"";"";"";"";"";"";"";"";"2 254"
"ES";"Alta Classics";"18/11/2011";"394 839";"61 434";"";"";"";"";"";"";"";"";"";"456 273"
"FI";"Future Film (FI)";"03/02/2012";"";"10 964";"";"";"";"";"";"";"";"";"";"10 964"
"FR";"Wild Bunch Distribution";"07/12/2011";"336 865";"142 390";"";"";"";"";"";"";"";"";"";"479 255"
"GB";"StudioCanal (GB)";"03/02/2012";"";"167 348";"";"";"";"";"";"";"";"";"";"167 348"
"GR";"Village";"";"";"18 479";"";"";"";"";"";"";"";"";"";"18 479"
"HR";"Pa-Dora";"15/03/2012";"";"2 181";"";"";"";"";"";"";"";"";"";"2 181"
"HU";"Big Bang Media";"12/01/2012";"";"8 071";"";"25";"";"14";"";"";"";"";"14";"8 110"
"IE";"StudioCanal (IE)";"03/02/2012";"";"19 696";"";"";"";"";"";"";"";"";"";"19 696"
"IT";"Medusa Film";"16/09/2011";"666 631";"6 205";"";"";"";"125";"25";"34";"";"";"184";"673 020"
"LU";"Cineart (LU)";"09/12/2011";"3 344";"1 621";"";"";"";"";"";"";"";"";"";"4 965"
"LV";"Bigsales (LV)";"";"156";"1 254";"";"";"";"";"";"";"";"";"";"1 410"
"MK";"MCF (MK)";"16/03/2012";"";"75";"";"";"";"";"";"";"";"";"";"75"
"NL";"Cinéart Nederland";"08/12/2011";"40 710";"54 877";"441";"16";"";"60";"13";"79";"";"";"152";"96 196"
"NO";"Norsk Filmdistribusjon";"10/02/2012";"";"4 736";"";"";"";"";"";"";"";"";"";"4 736"
"PL";"Kino Swiat/SPI";"20/01/2012";"";"316 811";"1 456";"";"";"";"";"";"";"";"";"318 267"
"PT";"NOS Lusomundo Audiovisuais (PT)";"29/12/2011";"4 036";"24 610";"28";"";"";"";"";"";"169";"";"169";"28 843"
"RO";"Ro-Image 2000";"13/01/2012";"";"12 652";"72";"";"";"";"";"";"";"";"";"12 724"
"RU";"Luxor";"08/12/2011";"99 517";"3 013";"";"";"";"";"";"";"";"";"";"102 530"
"SE";"Noble Entertainment";"17/02/2012";"";"21 037";"109";"";"";"";"";"";"";"";"";"21 146"
"SI";"Fivia";"22/03/2012";"";"5 037";"388";"";"";"";"";"";"";"";"";"5 425"
"SK";"Continental Film (SK)";"26/01/2012";"";"1 677";"";"";"";"";"";"";"";"";"";"1 677"
"TR";"Ozen Film";"16/12/2011";"18 337";"3 893";"";"";"";"";"";"";"";"";"";"22 230"
"EUR EU";"";"";"2 103 585";"1 239 666";"2 833";"454";"174";"927";"150";"178";"190";"98";"1 717";"3 348 255"
"EUR OBS";"";"";"2 293 056";"1 290 989";"2 873";"454";"239";"1 019";"183";"178";"190";"98";"1 907";"3 589 279"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011"
" - film_id : 37704"
