"Film";"Producing country";"Production year";"Directors";"Admissions EUR EU (since 1996)"
"Les femmes du 6ème étage (FR)
The Women on the 6th Floor (EN)
Kvinderne på sjette sal (DA)
Nur für Personal! (DE)
Las chicas de la sexta planta (ES)
LAS CHICAS DE LA 6a PLANTA (ES)
Szerelem A Hatodikon (HU)
Le donne del 6º piano (IT)
Sievietes no 6 stāva (LV)
Zenite od 6ti kat (MK)
Kobiety z 6. pietra (PL)
Os Encantos do 6º Andar (PT)
Ženske Iz 6. Nadstropja (SL)
Kvinnorna på sjätte våningen (SV)";"FR";"2010";"Philippe Le Guay";"3 085 235"
"Nous finirons ensemble (FR)
Nous finirons ensemble (EN)
Nous Finirons Ensemble (EN)
Little White Lies 2 (EN)
Μικρά Αθώα Ψέματα 2 (EL)
Pequeñas mentiras para estar juntos (ES)
Nous finirons ensemble (FR)
Együtt megyünk (HU)
Grandi bugie tra amici (IT)
Niewinne kłamstewka 2 (PL)
Estaremos sempre juntos (PT)
Pequenas Mentiras Entre Amigos 2 (PT)
Маленькие секреты большой компании (RU)
Küçük Beyaz Yalanlar Devam Ediyor (TR)";"FR / BE";"2019";"Guillaume Canet";"3 047 578"
"Tout le monde debout (FR)
Alt for kærligheden (DA)
Liebe bringt alles ins Rollen (DE)
Amor sobre ruedas (ES)
Sobre ruedas (ES)
Rodando hacia ti (ES)
Kaikki rakkaudelle (FI)
Ljubav na kotačima (HR)
Szerelembe gurulva (HU)
Tutti in piedi (IT)
Del visko kalta meile (LT)
Krecisz mnie (PL)
De Carona para o Amor (PT)
Assim Não Vais Longe (PT)
Попробуй подкати (RU)
Kärlek på hjul (SV)
Мачо на колесах (UK)
Tout le monde debout (XX)
Tout le monde debout (XX)
Kol ha'derekh ela'yikh (XX)
Rolling to You (XX)";"FR / BE";"2018";"Franck Dubosc";"3 045 498"
"Belphégor - Le fantôme du Louvre (FR)
Belphegor, Phantom of the Louvre (EN)
Belphegor: Phantom of the Louvre (EN)
Belphégor - Das Phantom des Louvre (DE)
Belphegor, to fantasma tou Louvrou (EL)
El mascara del faraon (ES)
Mascara del faraon - Belphegor, el fantasma del Louvre (ES)
La leyenda del fantasma (ES)
La Leyenda del Fantasma (ES)
Belphegor, el fantasma del Louvre (ES)
La máscara del faraón: Belphegor, el fantasma del Louvre (ES)
Belphégor - Louvren kummitus (FI)
Belphégor - A Louvre fantomja (HU)
Belfagor - il fantasma del Louvre (IT)
Belfagor - Il fantasma del Louvre (IT)
Luvro vaiduoklis (LT)
Belfegor - upior Luwru (PL)
Belfegor - upiór Luwru (PL)
O Fantasma do Louvre (PT)
Belphegor, Fantoma din Luvru (RO)
Белфегор - призрак Лувра (RU)
Belphegor: Fantom Louvru (SK)
Belfegor - Fantom iz Luvra (SR)
Belphegor - Fantomen på Louvren (SV)
Belphégor - Le fantôme du Louvre (XX)
Belphecor: Curse of the Mummy (XX)
Belphegor, Phantom of the Louvre (XX)";"FR";"2000";"Jean-Paul Salomé";"3 039 928"
"Les 11 commandements (FR)
11 käskyä (FI)
Les onze commandements (FR)
A 11 parancsolat (HU)
Bevállalod, haver? (HU)
Gli 11 comandamenti (IT)
11 заповедей (RU)
Les 11 commandements (XX)
The 11 Commandments (XX)";"FR";"2004";"François Desagnat
Thomas Sorriaux";"2 995 068"
"Entre les murs (FR)
The Class (EN)
В класната стая (BG)
Mezi zdmi (CS)
Klassen (DA)
Die Klasse (DE)
Ανάμεσα στους τοίχους (EL)
La Clase (ES)
Entre los muros (ES)
La clase (ES)
La clase (ES)
Seinte vahel (ET)
Luokka (FI)
Between the Walls (FR)
Razred (HR)
Az osztály (HU)
La classe (IT)
Paris 20-ku, Boku tachi no Class (JA)
Tarp sienų (LT)
Klassen (NO)
Klasa (PL)
A Turma (PT)
Entre os Muros da Escola (PT)
In Clasa (RO)
In clasa (RO)
Класс (RU)
Medzi stenami (SK)
Razred (SL)
Između zidova (SR)
Mellan väggarna (SV)
Sinif (TR)
Клас (UK)
Entre les murs (XX)
Entre les murs (XX)
Beyn ha'kirot (XX)
Entre los muros (XX)
The Class (XX)";"FR";"2008";"Laurent Cantet";"2 988 047"
"Yamakasi - Les samouraï des temps modernes (FR)
Yamakasi - Storbyens Samurai - Krigere (DA)
Yamasaki (HU)
Yamakasi - I nuovi samurai (IT)
Yamakazi (NL)
Yamakasi - Samurais dos tempo modernos (PT)";"FR";"2001";"Ariel Zeitoun
Julien Seri";"2 970 614"
"Les seigneurs (FR)
Die Vollpfosten (DE)
Oi magoi tis balas (EL)
Οι μάγοι της μπάλας (EL)
Un gran equipo (ES)
Csodacsatár (HU)
A Csodacsapat (HU)
Dream Team (IT)
Futbolo veteranai (LT)
The Dream Team (NO)
Uma Equipa de Sonho (PT)
Команда мечты (RU)
The Dream Team (SV)
Команда мрii (UK)
Les seigneurs (XX)
Les seigneurs (XX)
Les seigneurs (XX)";"FR";"2012";"Olivier Dahan";"2 935 205"
"Vidocq (FR)
Dark Portals: The Chronicles of Vidocq (EN)
Видок (BG)
Fantom Paříže (CS)
Vidocq, i maska tou tromou (EL)
Vidocq: Muerte en París (ES)
Vidocq (ES)
Vidocq: El mito (ES)
Vidocq ja neitsytmurhat (FI)
Vidocq - La maschera senza volto (IT)
Vidocq - O Mito (PT)
Видок (RU)
Fantom Paríža (SK)
Vidok (SR)
Vidocq (TR)
Вiдок (UK)
Vidocq (XX)";"FR";"2001";"Pitof";"2 915 480"
"Babylon A.D. (EN)
Babylon Babies (EN)
Мисия Вавилон (BG)
Babylon A.D. (CS)
Babylon A.D. (DE)
Babylon A.D. (EL)
Babylon (ES)
Mision Babilonia (ES)
Misión Babilonia (ES)
Misión Babilonia (ES)
Misión Babilonia (ES)
Babylon A.D. (FI)
Babylon A.D. (FR)
Babylon A.D. (JA)
Babilonas (LT)
Babylon A.D. (NO)
Babylon A.D. (PT)
Missão Babilônia (PT)
Babylon A.D. (RO)
Вавилон н.э. (RU)
Babylon A.D. (SK)
Misija Vavilon (SR)
Babil M.S. (TR)
Вавилон нашоii ери (UK)
Вавилон н.е. (UK)
Babylon A.D. (XX)
Babylone A.D. (XX)";"FR / US";"2008";"Mathieu Kassovitz";"2 902 533"
"De rouille et d'os (FR)
Rust & Bone (EN)
Rust and Bone (EN)
Ръжда и кости (BG)
Na dřeň (CS)
Rez a Kost (CS)
Smagen af Rust og Ben (DA)
Smagen af rust og ben (DA)
Der Geschmack von Rost und Knochen (DE)
Σώμα με σώμα (EL)
De Oxido Y Hueso (ES)
Metal y hueso (ES)
De óxido y hueso (ES)
De óxido y hueso (ES)
Herdoil eta Hezurrezkoa (ES)
Metal y hueso (ES)
De óxido y hueso (ES)
Rooste ja luu (ET)
Luihin ja ytimiin (FI)
Hrđa i kost (HR)
Rozsda és csont (HU)
Ryð og bein (IS)
Un Sapore Di Ruggine E Ossa (IT)
Un sapore di ruggine e ossa (IT)
Rust og bein (NO)
Kosci i rdza (PL)
Z krwi i kosci (PL)
Ferrugem e Osso (PT)
Rugină şi oase (RO)
Ржавчина и кость (RU)
Z Hrdze A Kosti (SK)
Rđa i kost (SR)
Rust and Bone (SV)
Pas ve Kemik (TR)
Iржа та кiстка (UK)
De rouille et d'os (XX)
De rouille et d'os (XX)
Haluda va'etzem (XX)
Rust and Bone (XX)";"FR / BE";"2012";"Jacques Audiard";"2 831 996"
"Kiss of the Dragon (EN)
Sarutul drafonului (EN)
Целувката на дракона (BG)
Polibek draka (CS)
To fili tou drakou (EL)
Το φιλί του δράκου (EL)
El beso del dragon (ES)
La marca del dragón (ES)
El beso del dragón (ES)
Draakoni suudlus (ET)
Kiss of the Dragon (FI)
Kiss of the dragon - lohikäärmeen suudelma (FI)
Le baiser mortel du dragon (FR)
Le baiser du dragon (FR)
Zmajev poljubac (HR)
A sarkany csokja (HU)
A sárkány csókja (HU)
Kiss of the Dragon (IT)
Drakono bucinys (LT)
Pocalunek smoka (PL)
O beijo mortal do dragao (PT)
O Beijo do Dragão (PT)
O Beijo Mortal do Dragão (PT)
Поцелуй дракона (RU)
Bozk draka (SK)
Zmajev poljub (SL)
Poljubac zmaja (SR)
Ejder'in öpücügü (TR)
Kiss of the Dragon (XX)
Le baiser mortel du dragon (XX)
Le baiser mortel du dragon (XX)";"FR";"2001";"Chris Nahon";"2 831 918"
"Etre et avoir (FR)
To Be and to Have (EN)
At være og at have (DA)
Sein und Haben (DE)
Eimai kai echo (EL)
Ser Y Tener (ES)
Nytpatahdon olla ma (FI)
Nytpä tahdon olla mä (FI)
Én, te, ő (HU)
Essere e avere (IT)
Å være og ha - en hyllest til livet (NO)
Być i Mieć (PL)
Ser e Ter (PT)
Att vara och ha (SV)";"FR";"2002";"Nicolas Philibert";"2 809 399"
"Les infidèles (FR)
The Players (EN)
Играчите (BG)
Nevěrníci (CS)
Männer und die Frauen (DE)
Oi apistoi (EL)
6+1 apisties (EL)
6+1 απιστίες (EL)
Los infieles (ES)
Infieles anónimos (ES)
Mängurid (ET)
Brijači (HR)
A két mesterlövész (HU)
Gli Indefeli (IT)
Gli infedeli (IT)
Gamoustcorebeli meqaltaneebi (KA)
Seksaholiķi (LV)
Niewierni (PL)
Descaradamente Infiéis (PT)
Os Infiéis (PT)
Fustangii (RO)
Право на ""лево"" (RU)
Право на 'лево' (RU)
Skok Čez Plot (SL)
Preljubnici (SR)
De otrogna (SV)
Sadakatsizler (TR)
Les infidèles (XX)
Les infidèles (XX)
Les infidèles (XX)
Omanut ha'bgida (XX)
The Players (XX)";"FR";"2012";"Emmanuelle Bercot
Fred Cavayé";"2 775 007"
"Une hirondelle a fait le printemps (FR)
One Swallow Brought Spring (EN)
The Girl From Paris (EN)
The Girl from Paris (EN)
The Girl from Paris (EN)
Pigen fra Paris (DA)
Eine Schwalbe macht den Sommer (DE)
Ena chelidoni efere tin anoiksi (EL)
Ena helidoni efere tin anoixi (EL)
La Chica de Paris (ES)
La chica de París (ES)
Tyttö pariisista (FI)
Tyttö Pariisista (FI)
Egy fecske csinált nyarat (HU)
Una rondine fa primavera (IT)
En svale gjor en sommer (NO)
En svale gjør en sommer (NO)
Dziewczyna z Paryza (PL)
Encontro Inesperado (PT)
Uma Andorinha Fez a Primavera (PT)
Девушка из Парижа (RU)
Une hirondelle a fait le printemps (XX)
One Swallow Brought Spring (XX)";"FR / BE";"2000";"Christian Carion";"2 759 698"
"L'enquête corse (FR)
Corsican File (EN)
The Corsican File (EN)
Корсиканска афера (BG)
Korsický případ (CS)
Willkommen bei den Korsen (DE)
Trelli katadioxi stin Korsiki (EL)
El archivo corso (ES)
Korsika toimik (ET)
Nagy zűr Korzikan (HU)
Nagy zűr Korzikán (HU)
Il bandito Corso (IT)
Grunt to rodzinka (PL)
Um Detective em Apertos (PT)
Missão Córsega - O Filme (PT)
O Inquérito Corsa (PT)
Um Detective em Apuros (PT)
Filiera Corsicana (RO)
Корсиканец (RU)
Korsikali (TR)
Корсиканець (UK)
L'enquête corse (XX)
Korsický prípad (XX)";"FR";"2004";"Alain Berberian";"2 734 613"
"Palais royal! (FR)
Пале Роял! (BG)
Den kongelige familie (DA)
Palais royal! (EL)
Palacio real (ES)
¡Palacio Real! (ES)
Királyi kalamajka (HU)
Den Kongelige Familien (NO)
Dondoca à força (PT)
Dondoca à Força (PT)
Surprize La Palatul Regal (RO)
Королевский дворец! (RU)
Vasa visokost (SL)
Palais royal! (XX)
Palais Royal (XX)";"FR / GB";"2005";"Valérie Lemercier";"2 729 014"
"Iznogoud (FR)
Злият везир (BG)
Isnogud - Der bitterböse Großwesir (DE)
Iznogoud: Halifis sti thesi tou halifi (EL)
Iznogoud - El infame (ES)
Iznogoud: Calife à la place du calife (FR)
Изноугуд или Калиф на час (RU)
Iznogoud (XX)";"FR";"2005";"Patrick Braoudé";"2 695 684"
"Épouse-moi mon pote (FR)
Marry Me, Dude (EN)
Vezmeš si mě, kámo? (CS)
Heirate mich, Alter! (DE)
Παντρέψου με ρε φίλε (EL)
Matrimonio por accidente (ES)
¡Cásate conmigo! Por favor (ES)
Matrimonio por accidente (ES)
Matrimonio por accidente (ES)
Hozzám jössz. haver (HU)
Sposami stupido (IT)
Sposami, stupido! (IT)
Maz czy nie maz? (PL)
Preciso Casar Contigo Pá! (PT)
Женись на мне чувак (RU)
Женись на мне, чувак (RU)
Épouse-moi mon pote (XX)
Marry Me, Dude (XX)
Mariage (blanc) pour tous (XX)";"FR";"2017";"Tarek Boudali";"2 688 127"
"Belle et Sébastien (FR)
Belle and Sebastien (EN)
Belle & Sebastian (EN)
Бел и Себастиан (BG)
Bella a Sebastián (CS)
Belle und Sebastian (DE)
Belle kai Sebastien, dyo ahoristoi filoi (EL)
Belle y Sebastián (ES)
Belle ja Sebastien (ET)
Belle ja Sebastien (ET)
Belle ja Sebastian (FI)
Belle och Sebastian (FI)
Belle És Sebastian (HU)
Belle és Sébastien (HU)
Belle & Sebastien (IT)
Grazuole ir Sebastianas (LT)
Bela i Sebastijan (ME)
Бела и Себастијан (MK)
Belle en Sebastiaan (NL)
Bella i Sebastian (PL)
Belle e Sebastian (PT)
Bell e Sebastião (PT)
Белль и Себастьян (RU)
Bela in Sebastijan (SL)
Güzel ve Sebastian (TR)
Belle et Sébastien (XX)
Belle et Sébastien (XX)
Belle et Sébastien (XX)
Belle and Sebastian (XX)
Belle & Sebastian (XX)";"FR";"2013";"Nicolas Vanier";"2 671 056"
"Mesrine, l'instinct de mort (FR)
Mesrine: Killer Instinct (EN)
Mesrine - Part 1 (EN)
Mesrine Part 1: Killer Instinct (EN)
Mesrine Part 1: Killer Instinct (EN)
Смъртоносен инстинкт (BG)
Veřejný nepřítel č. 1 (CS)
Public Enemy No. 1, Part 1 (DA)
Public Enemy No. 1 - del 1 (DA)
Public Enemy No.1 - Mordinstinkt (DE)
Public Enemy No. 1 - Mordinstinkt (DE)
Yp' arithmon 1 dimosios kindynos - Meros 1o (EL)
Υπ' αριθμόν 1 δημόσιος κίνδυνος: Μέρο�... (EL)
Mesrine: Parte 1. Instinto de muerte (ES)
Mesrine: surmatung (ET)
Mesrine: Surmatung (ET)
Mesrine: Part 1 - Killer instinct (FI)
L'instinct de mort (FR)
Mesrine: L'instinct de mort (FR)
Državni Neprijatelj Br. 1 (HR)
Drzavni neprijatelj br.1. (prvi dio) (HR)
Halálos közellenség (HU)
Nemico Pubblico N. 1 - L'istinto di morte (IT)
Nemico pubblico n. 1 - L'istinto di morte (IT)
Žakas Merinas: mirties instinktas (LT)
Public Enemy Number One Part I (NL)
Jacques Mesrine Del 1: Instinkt for mord (NO)
Wróg publiczny numer jeden, vol. 1 (PL)
Inimigo Publico 1 - Instinto (PT)
Inimigo Público nº 1 (PT)
Instinto Assassino (PT)
Instinct criminal (RO)
Bраг государства No1 (RU)
Verejný nepriateľ č. 1 (SK)
Državni neprijatelj broj 1 (prvi deo) (SR)
Public Enemy No. 1 - Part 1 (SV)
Ölümcül içgüdü (TR)
L'instinct de mort (XX)
Mesrine - L'Instinct de mort (XX)
Mesrine Part 1: Killer Instinct (XX)";"FR / CA / IT";"2008";"Jean-François Richet";"2 657 942"
"Hors normes (FR)
The Extraordinary (EN)
The Specials (EN)
De særlige (DA)
Alles außer gewöhnlich (DE)
Especiales (ES)
Erityiset (FI)
Hors normes (FR)
Különleges életek (HU)
The Specials (IT)
Yotz'im Min Ha'Klal (IW)
Ypatingieji (LT)
The Specials (NO)
De Usedvanlige (NO)
Nadzwyczajni (PL)
Hors normes (PT)
Especiais (PT)
Особенные (RU)
De ovanliga (SV)
Kural Dışı (TR)
Особливі (UK)";"FR / BE";"2019";"Olivier Nakache
Eric Toledano";"2 653 059"
"J'accuse (FR)
J'accuse (EN)
An Officer and a Spy (EN)
Офицер и шпионин (BG)
Intrige (DE)
Κατηγορώ...! (EL)
El acusado y el espía (ES)
El oficial y el espía (ES)
Upseeri ja vakooja (FI)
J'accuse (FR)
L'ufficiale e la spia (IT)
Katzin Ou'Meragel (IW)
An Officer and a Spy (JA)
Pareigunas ir snipas (LT)
Oficer i szpieg (PL)
J'accuse (PT)
J'accuse - O Oficial e o Espião (PT)
Офицер и шпион (RU)
Obtožujem! (SL)
En officer och spion (SV)
D. (XX)";"FR / IT";"2019";"Roman Polanski";"2 652 088"
"OSS 117: Rio ne répond plus (FR)
OSS 117: Lost In Rio (EN)
OSS 117, Lost in Rio (EN)
OSS 117: Lost in Rio (EN)
OSS 117: Lost in Rio (EN)
Агент 117: Изгубен в Рио (BG)
OSS 117 - Er selbst ist sich genug (DE)
O kataskopos pou gyrise apo to... Rio! Mystikos praktoras OSS 117 (EL)
OSS 117, perdido en Rio (ES)
OSS 117, perdido en Río... (ES)
Agentti 117 - Tehtävä Riiossa (FI)
Agentti 117 - tehtävä Riossa (FI)
Agentti 117: Tehtävä Riossa (FI)
OSS 117: Rio nem válaszol (HU)
French dai-sakusen - Shakunetsu Rio, Ôtô seyo - (JA)
OSS117/Rio de Janeiro ôtô nashi (JA)
Aģents 117: Pazudis Rio (LV)
OSS 117: Rio nie odpowiada (PL)
Agente 117: Rio Não Responde Mais (PT)
Agente 117 Perdido no Rio (PT)
Agentul OSS 117: Actiune în Rio (RO)
Агент 117: Миссия в Рио (RU)
Agent 117 - Uppdrag i Rio (SV)
Агент 117: Мiсiя в Рiо (UK)
OSS 117: Rio ne répond plus (XX)
OSS 117: Rio ne répond plus (XX)
OSS 117: Lost in Rio (XX)";"FR";"2009";"Michel Hazanavicius";"2 646 301"
"Retour chez ma mère (FR)
Back to Mom's (EN)
Завръщане при мама (BG)
Willkommen im Hotel Mama (DE)
Μαμά, γύρισα! (EL)
Vuelta a casa de mi madre (ES)
Vissza a mamahotelbe (HU)
Torno da mia madre (IT)
La'khazor la'gour im imma (IW)
Isto Só a Mim! (PT)
Mamãe, Voltei! (PT)
Înapoi la mama (RO)
Возвращение к матери (RU)
Retour chez ma mère (XX)
Retour chez ma mère (XX)
La'khazor la'gour im imma (XX)
Back to Mom's (XX)";"FR";"2016";"Eric Lavaine";"2 638 671"
"Pourquoi j'ai pas mangé mon père (FR)
Animal Kingdom: Let's go Ape (EN)
Why I Did (Not) Eat My Father (EN)
Animal Kingdom: Let's Go Ape (EN)
Маймунджилъци (BG)
Abemennesket Edward (DA)
El reino de los monos (ES)
Majmok a csúcson (HU)
Il più grande uomo scimmia del Pleistocene (IT)
Byly sobie czlowieki (PL)
Muito à Frente (PT)
Эволюция (RU)
Zašto (ni)sam pojeo svoga tatu (SR)
Maymun Prens (TR)
Zašto (ni)sam pojeo svoga tatu (XX)
Pourquoi j'ai pas mangé mon père (XX)
Why I Did (Not) Eat My Father (XX)
Evolution Man (XX)";"FR / IT / BE / CN";"2015";"Jamel Debbouze";"2 635 462"
"Babysitting 2 (FR)
All Gone South (EN)
Всичко се обърка (BG)
Südlich der Gürtellinie (DE)
Ab in den Dschungel (DE)
Όλα θα πάνε στραβά (EL)
Se nos fue de las manos (ES)
Se nos fue de las manos 2 (ES)
Elmentek otthonról (HU)
Mayonaka no Pari de hyahha (JA)
Wszystko zostanie w rodzinie (PL)
Babá Fora de Controle: Operação Brasil (PT)
Todos Para Sul (PT)
Superнянь 2 (RU)
Svi na jug (SR)
Superнянь 2 (UK)
Svi na jug (XX)
Babysitting 2 (XX)
Tous dans le sud - Babysitting 2 (XX)
All Gone South (XX)";"FR";"2015";"Nicolas Benamou
Philippe Lacheau";"2 633 132"
"Un monstre à Paris (FR)
A Monster in Paris (EN)
Skønheden & monsteret i Paris (DA)
Ein Monster in Paris (DE)
To teras tou Parisiou (EL)
Το τέρας του Παρισιού (EL)
Un monstruo en París (ES)
Koletis Pariisis (ET)
Kaunotar ja Monsteri - Seikkailu Pariisissa (FI)
Čudovišna priča u Parizu (HR)
A párizsi mumus (HU)
Un mostro a Parigi (IT)
Paryziaus monstras 3D (LT)
Mošķis Parīzē (LV)
Het monster van Parijs (NL)
Przygoda w Paryżu (PL)
Um Monstro em Paris (PT)
Un monstru la Paris (RO)
Монстр в Париже (RU)
Čudovište u Parizu (SR)
Ett monster i Paris (SV)
Skönheten och monstret i Paris (SV)
Paris'te Çilgin Macera (TR)
Монстр у Парижi (UK)
Mifletzet be'Paris (XX)";"FR";"2011";"Bibo Bergeron";"2 627 856"
"Babysitting (FR)
Drukfesten (DA)
Project: Babysitting (DE)
Se nos fue de las manos (ES)
Niñero en problemas (ES)
Babysitting - A Felvigyázó (HU)
Babysitting - A felvigyázó (HU)
Babysitting (IT)
Babysitting - Una notte che spacca (IT)
Babá Fora de Controle (PT)
Babysitting - Loucura Fora de Horas (PT)
Babysitting Cu Surprize (RO)
Superнянь (RU)
Fyllefesten (SV)
Bakicinin Böylesi (TR)
Superнянь (UK)
Babysitting (XX)
Babysitting (XX)
Babysitting (XX)";"FR";"2014";"Nicolas Benamou
Philippe Lacheau";"2 610 948"
"The Magic Roundabout (EN)
Sprung! The Magic Roundabout (EN)
Doogal (EN)
Вълшебната въртележка (BG)
Kouzelný kolotoč (CS)
Kouzelný kolotoc (CS)
El tiovivo magico (ES)
El tiovivo (ES)
El tio vivo mágico (ES)
Pollux, le manège enchanté (FR)
Pollux - Le manège enchanté (FR)
A bűvös körhinta (HU)
Töfraferðin (IS)
Stebuklingas nuotykis (LT)
De Magische Draaimolen (NL)
Magiczna Karuzela (PL)
Magiczna karuzela (PL)
Franjinhas E O Carrossel Mágico (PT)
Franjinhas e o Carrossel Mágico (PT)
Волшебное приключение (RU)
Čarovný kolotoč (SK)
Carovný kolotoc (SK)
Магична вртешка (SR)
The Magic Roundabout (XX)
Carousellat ha'ksamim (XX)";"FR / GB";"2005";"Dave Borthwick
Jean Duval";"2 579 297"
"Disco (FR)
Диско (BG)
Disco (EL)
Disco (ES)
Disco (JA)
Nos Embalos da Disco (PT)
Os Reis do Disco (PT)
Disco (RO)
Диско (RU)
Disco (XX)
Disco (XX)";"FR";"2008";"Fabien Onteniente";"2 524 015"
"Les misérables (FR)
Les Misérables (EN)
Die Wütenden - Les Misérables (DE)
Die Wütenden - Les misérables (DE)
Οι Άθλιοι (EL)
Los miserables (ES)
Les misérables (FR)
Jadnici (HR)
Nyomorultak (HU)
I miserabili (IT)
'Alouvai Ha'Kha'yim (IW)
レ・ミゼラブル (JA)
De elendige (NO)
Nędznicy (PL)
Os Miseráveis (PT)
Отверженные (RU)
Sefiller (TR)
Знедолені (UK)
悲慘世界 (XX)";"FR";"2019";"Ladj Ly";"2 522 198"
