"Market";"Distributor";"Release date";"2020";"Total since 2020"
"AT";"Warner Bros. (AT)";"14/02/2020";"113 522";"113 522"
"CH";"Warner Bros. (CH)";"13/02/2020";"70 711";"70 711"
"DE";"Warner Bros. (DE)";"13/02/2020";"1 379 279";"1 379 279"
"FR";"";"";"272";"272"
"LU";"";"";"2 383";"2 383"
"SK";"Bontonfilm (SK)";"10/12/2020";"3 009";"3 009"
"EUR EU";"";"";"1 498 465";"1 498 465"
"EUR OBS";"";"";"1 569 176";"1 569 176"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020"
" - film_id : 89260"
