"Market";"Distributor";"Release date";"2007";"2008";"2009";"2010";"2011";"2012";"2011-2012";"Total since 2007"
"AT";"Einhorn Film";"01/02/2008";"";"1 916";"";"";"";"";"";"1 916"
"BE";"Belga Films (BE)";"04/04/2007";"75 328";"68";"";"";"";"";"";"75 396"
"DE";"NFP TV";"22/11/2007";"39 353";"";"";"";"";"";"";"39 353"
"DK";"Scanbox Entertainment (DK)";"04/04/2008";"";"3 735";"";"";"";"";"";"3 735"
"ES";"Aurum Producciones";"05/06/2007";"373 795";"326";"56";"";"";"";"";"374 177"
"FI";"Scanbox Finland";"04/04/2008";"";"2 105";"";"";"";"";"";"2 105"
"FR";"TFM Distribution";"28/03/2007";"339 354";"";"";"";"";"";"";"339 354"
"GB";"Lionsgate (GB)";"03/08/2007";"58 166";"3 821";"";"";"";"";"";"61 987"
"HR";"Blitz Film & Video Distribution (HR)";"13/09/2007";"27 294";"29 477";"";"";"";"";"";"56 771"
"HU";"SPI Hungary";"10/05/2007";"48 326";"";"";"";"";"";"";"48 326"
"IS";"Myndform";"";"7 388";"";"";"";"";"";"";"7 388"
"IT";"DNC";"07/03/2008";"";"153 770";"";"";"";"274";"274";"154 044"
"NL";"Independent Films (NL)";"25/04/2007";"55 470";"";"23";"";"";"";"";"55 493"
"NO";"Scanbox (NO)";"04/04/2008";"";"6 876";"";"";"";"";"";"6 876"
"PL";"Hagi Film";"11/05/2007";"169 611";"1 243";"";"";"";"";"";"170 854"
"PT";"ZON Lusomundo Audiovisuais";"15/11/2007";"83 342";"10 262";"949";"87";"133";"121";"254";"94 894"
"SE";"Scanbox Entertainment (SE)";"05/06/2008";"";"5 997";"";"";"";"";"";"5 997"
"EUR EU";"";"";"1 270 039";"212 720";"1 028";"87";"133";"395";"528";"1 484 402"
"EUR OBS";"";"";"1 277 427";"219 596";"1 028";"87";"133";"395";"528";"1 498 666"
"US_CA";"Lionsgate (US)";"05/01/2007";"2 265 900";"";"";"";"";"";"";"2 265 900"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2012, 2011, 2010, 2009, 2008, 2007"
" - film_id : 27942"
