"Market";"Distributor";"Release date";"2007";"2008";"2010";"Total since 2007"
"AT";"Constantin Film (AT)";"14/12/2007";"86 973";"84 132";"";"171 105"
"CH";"Rialto Film (CH)";"06/07/2007";"46 782";"23 072";"";"69 854"
"DE";"Constantin Film (DE)";"29/11/2007";"934 720";"276 526";"";"1 211 246"
"RU";"CMF";"27/08/2009";"";"";"2 989";"2 989"
"EUR EU";"";"";"1 021 693";"360 658";"";"1 382 351"
"EUR OBS";"";"";"1 068 475";"383 730";"2 989";"1 455 194"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2010, 2008, 2007"
" - film_id : 28474"
