"Market";"Distributor";"Release date";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2018-2020";"Total since 2014"
"AT";"Filmladen";"25/12/2014";"22 872";"43 495";"";"";"";"";"";"";"66 367"
"CH";"DCM Film Distribution (CH)";"25/12/2014";"9 760";"27 863";"";"";"";"";"";"";"37 623"
"DE";"DCM Film Distribution (DE)";"25/12/2014";"357 207";"929 463";"994";"252";"117";"15";"412";"544";"1 288 460"
"NL";"Just Film Distribution";"21/04/2016";"";"";"20 568";"";"";"";"";"";"20 568"
"EUR EU";"";"";"380 079";"972 958";"21 562";"252";"117";"15";"412";"544";"1 375 395"
"EUR OBS";"";"";"389 839";"1 000 821";"21 562";"252";"117";"15";"412";"544";"1 413 018"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014"
" - film_id : 48898"
