"Market";"Distributor";"Release date";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2017-2020";"Total since 2013"
"AT";"Filmladen";"08/03/2013";"60 870";"376";"";"";"";"";"";"";"";"61 246"
"BE";"Santa Fe Productions (BE)";"11/09/2013";"7 187";"210";"";"";"";"";"";"";"";"7 397"
"CH";"Frenetic Films (CH)";"07/03/2013";"169 767";"256";"154";"62";"";"53";"";"";"53";"170 292"
"DE";"Concorde Filmverleih";"07/03/2013";"814 425";"10 715";"890";"599";"312";"50";"313";"";"675";"827 304"
"ES";"Surtsey Films";"16/04/2014";"";"119 165";"303";"";"";"";"";"";"";"119 468"
"GB";"Bulldog (GB)";"24/10/2014";"";"2 610";"322";"";"";"";"";"";"";"2 932"
"GR";"";"";"16 973";"";"";"";"";"";"";"";"";"16 973"
"HU";"Vertigo (HU)";"24/10/2013";"5 995";"1 518";"";"";"";"";"";"";"";"7 513"
"IT";"Academy two distr.";"18/04/2013";"150 367";"538";"";"";"33";"";"117";"";"150";"151 055"
"LU";"Anga Productions";"11/09/2013";"3 694";"";"";"";"";"";"";"";"";"3 694"
"NL";"Paradiso Entertainment (NL)";"18/04/2013";"109 820";"3 616";"167";"125";"";"55";"";"76";"131";"113 859"
"PT";"ZON Lusomundo Cinemas";"21/03/2013";"58 903";"";"";"";"";"";"";"";"";"58 903"
"EUR EU";"";"";"1 228 234";"138 748";"1 682";"724";"345";"105";"430";"76";"956";"1 370 344"
"EUR OBS";"";"";"1 398 001";"139 004";"1 836";"786";"345";"158";"430";"76";"1 009";"1 540 636"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013"
" - film_id : 43743"
