"Market";"Distributor";"Release date";"2003";"2004";"2005";"2006";"2007";"2009";"2014";"2016";"2017";"2018";"2019";"2020";"2007-2020";"Total since 2003"
"AT";"Constantin Film (AT)";"12/12/2003";"13 309";"9 720";"80";"74";"";"";"";"";"";"";"";"";"";"23 183"
"CH";"Rialto Film (CH)";"11/12/2003";"6 885";"12 232";"";"";"47";"17";"";"";"";"";"";"";"64";"19 181"
"DE";"Constantin Film (DE)";"11/12/2003";"394 670";"797 121";"";"";"";"";"300";"166";"550";"439";"15";"51";"1 521";"1 193 312"
"NL";"A-Film (NL)";"12/08/2004";"";"15 575";"";"31";"";"";"";"";"";"";"";"";"";"15 606"
"EUR EU";"";"";"407 979";"822 416";"80";"105";"";"";"300";"166";"550";"439";"15";"51";"1 521";"1 232 101"
"EUR OBS";"";"";"414 864";"834 648";"80";"105";"47";"17";"300";"166";"550";"439";"15";"51";"1 585";"1 251 282"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2014, 2009, 2007, 2006, 2005, 2004, 2003"
" - film_id : 20804"
