"Market";"Distributor";"Release date";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2014-2020";"Total since 2010"
"AT";"Constantin Film (AT)";"23/04/2010";"40 685";"1 929";"157";"";"";"";"";"";"";"";"";"";"42 771"
"CH";"Pathé Films (CH)";"03/06/2010";"8 214";"146";"40";"123";"25";"";"";"";"";"";"";"25";"8 548"
"DE";"Constantin Film (DE)";"22/04/2010";"1 020 911";"78 939";"";"9 714";"5 286";"1 893";"5 088";"5 056";"1 235";"591";"173";"19 322";"1 128 886"
"NO";"Fidalgo";"05/08/2011";"";"2 037";"";"";"";"";"";"";"";"";"";"";"2 037"
"PL";"Aurora Films";"27/09/2013";"";"";"";"7 174";"1 797";"";"1 739";"";"";"";"";"3 536";"10 710"
"PT";"";"";"";"189";"";"";"";"";"";"";"";"";"";"";"189"
"EUR EU";"";"";"1 061 596";"81 057";"157";"16 888";"7 083";"1 893";"6 827";"5 056";"1 235";"591";"173";"22 858";"1 182 556"
"EUR OBS";"";"";"1 069 810";"83 240";"197";"17 011";"7 108";"1 893";"6 827";"5 056";"1 235";"591";"173";"22 883";"1 193 141"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010"
" - film_id : 35770"
