"Market";"Distributor";"Release date";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2013";"2014";"2015";"2016";"2018";"2019";"2008-2019";"Total since 2003"
"AT";"Polyfilm";"07/05/2004";"30 403";"2 025";"623";"";"";"";"";"";"";"";"";"";"";"";"";"33 051"
"BE";"Les Films de l'Élysée (BE)";"27/10/2004";"13 654";"5 632";"3 135";"";"";"";"";"";"";"";"";"";"";"";"";"22 421"
"CH";"Eigenverleih / Propre Distribution (CH)";"12/02/2004";"106 562";"5 435";"";"23";"133";"";"61";"";"";"29";"";"86";"";"51";"360";"112 380"
"CZ";"ACFK";"07/02/2005";"";"3 739";"";"781";"278";"44";"";"50";"";"";"";"";"";"";"372";"4 892"
"DE";"Prokino Filmverleih";"08/01/2004";"302 805";"48 598";"11 940";"";"";"";"";"";"";"";"";"";"";"";"";"363 343"
"DK";"Ost for Paradis";"05/01/2005";"";"28 649";"799";"";"134";"186";"56";"";"";"";"";"";"";"";"376";"29 824"
"ES";"Karma Films";"10/12/2004";"19 049";"19 167";"269";"";"";"50";"";"186";"";"";"";"";"";"";"236";"38 721"
"FI";"Kamras Film Group";"07/01/2005";"";"2 324";"311";"";"";"";"";"";"";"";"";"";"";"";"";"2 635"
"FR";"ARP Sélection";"06/10/2004";"242 853";"42 748";"10 469";"";"";"";"";"";"";"";"";"";"";"";"";"296 070"
"GB";"UGC Films (GB)";"09/07/2004";"98 326";"";"";"";"";"";"";"";"";"";"29";"";"";"";"29";"98 355"
"GR";"Filmtreint (Filmtrade)";"08/10/2004";"14 181";"5 538";"";"93";"447";"";"";"";"";"";"";"";"";"";"447";"20 259"
"HU";"Budapestfilm";"";"1 665";"";"";"49";"";"";"";"";"";"";"";"";"";"";"";"1 714"
"IE";"";"";"6 440";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"6 440"
"IT";"Fandango";"27/05/2005";"";"77 581";"1 298";"224";"32";"";"";"";"";"";"";"";"";"";"32";"79 135"
"LU";"Les Films de l'Élysée (LU)";"28/10/2005";"1 695";"156";"";"";"";"";"";"";"";"";"";"";"";"";"";"1 851"
"NL";"Contact Film Cinematheek";"01/01/2005";"50 410";"21 541";"2 895";"";"";"";"";"";"";"";"";"";"27";"36";"63";"74 909"
"NO";"Arthaus (NO)";"02/04/2004";"33 416";"199";"139";"";"70";"37";"318";"";"";"";"";"";"";"";"425";"34 179"
"PT";"Atalanta Filmes";"02/09/2004";"1 342";"307";"";"";"";"";"20";"";"20";"";"";"";"60";"";"100";"1 749"
"SE";"Triangelfilm";"29/10/2004";"2 123";"167";"";"";"";"";"";"";"";"";"";"";"";"";"";"2 290"
"SK";"ASFK";"";"";"";"";"";"370";"";"";"";"";"";"";"";"";"";"370";"370"
"EUR EU";"";"";"784 946";"258 172";"31 739";"1 147";"1 261";"280";"76";"236";"20";"";"29";"";"87";"36";"2 025";"1 078 029"
"EUR OBS";"";"";"924 924";"263 806";"31 878";"1 170";"1 464";"317";"455";"236";"20";"29";"29";"86";"87";"87";"2 810";"1 224 588"
"US_CA";"";"";"283 896";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"283 896"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2019, 2018, 2016, 2015, 2014, 2013, 2011, 2010, 2009, 2008, 2007, 2006, 2005, 2004"
" - film_id : 21976"
