"Market";"Distributor";"Release date";"2009";"2010";"2011";"2013";"2014";"2015";"2016";"2017";"2019";"2020";"2014-2020";"Total since 2009"
"AT";"Constantin Film (AT)";"27/03/2009";"71 776";"30";"109";"";"";"";"";"";"";"";"";"71 915"
"BE";"Benelux Film Distributors - Lumiere (BE)";"05/08/2009";"6 763";"";"";"";"";"";"";"";"";"";"";"6 763"
"CH";"Rialto Film (CH)";"28/05/2009";"34 688";"";"";"";"";"";"";"";"";"";"";"34 688"
"DE";"LEONINE Distribution GmbH";"26/03/2009";"896 238";"";"";"";"122";"226";"24";"38";"1 044";"209";"1 663";"897 901"
"ES";"Flins y piniculas";"12/02/2010";"";"11 092";"";"";"";"";"";"";"";"";"";"11 092"
"NL";"Benelux Film Distribution";"17/09/2009";"21 010";"296";"158";"9";"";"";"";"";"";"";"";"21 473"
"SE";"Svensk Filmindustri";"10/09/2010";"";"54 409";"5 259";"";"";"";"";"";"";"";"";"59 668"
"EUR EU";"";"";"995 787";"65 827";"5 526";"9";"122";"226";"24";"38";"1 044";"209";"1 663";"1 068 812"
"EUR OBS";"";"";"1 030 475";"65 827";"5 526";"9";"122";"226";"24";"38";"1 044";"209";"1 663";"1 103 500"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2017, 2016, 2015, 2014, 2013, 2011, 2010, 2009"
" - film_id : 32967"
