"Market";"Distributor";"Release date";"2019";"2020";"Total since 2019"
"AT";"Warner Bros. (AT)";"25/12/2019";"8 512";"11 020";"19 532"
"CH";"Warner Bros. (CH)";"25/12/2019";"8 499";"12 703";"21 202"
"DE";"Warner Bros. (DE)";"25/12/2019";"290 636";"725 919";"1 016 555"
"ES";"A Contracorriente Films";"20/10/2020";"";"16 975";"16 975"
"FR";"";"";"";"498";"498"
"LU";"";"";"352";"1 514";"1 866"
"EUR EU";"";"";"299 500";"755 926";"1 055 426"
"EUR OBS";"";"";"307 999";"768 629";"1 076 628"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019"
" - film_id : 85183"
