"Market";"Distributor";"Release date";"2008";"2009";"2010";"2011";"2014";"2016";"2017";"2019";"2020";"2014-2020";"Total since 2008"
"AT";"Constantin Film (AT)";"24/10/2008";"51 741";"1 112";"80";"89";"";"";"";"";"";"";"53 022"
"CH";"Rialto Film (CH)";"26/03/2009";"";"1 065";"";"";"";"";"";"";"";"";"1 065"
"DE";"LEONINE Distribution GmbH";"16/10/2008";"926 045";"47 044";"";"";"78";"178";"20";"18";"609";"903";"973 992"
"EUR EU";"";"";"977 786";"48 156";"80";"89";"78";"178";"20";"18";"609";"903";"1 027 014"
"EUR OBS";"";"";"977 786";"49 221";"80";"89";"78";"178";"20";"18";"609";"903";"1 028 079"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2017, 2016, 2014, 2011, 2010, 2009, 2008"
" - film_id : 30500"
