"Market";"Distributor";"Release date";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2016";"2019";"2020";"2007-2020";"Total since 2003"
"AT";"Constantin Film (AT)";"03/10/2003";"7 155";"1 070";"14";"";"";"";"";"";"";"";"";"";"8 239"
"BE";"";"";"";"8 854";"";"";"";"";"";"";"";"";"";"";"8 854"
"CH";"Frenetic Films (CH)";"18/09/2003";"4 371";"";"";"";"6";"";"";"";"";"";"";"6";"4 377"
"DE";"LEONINE Distribution GmbH";"18/09/2003";"600 605";"47 189";"";"";"";"";"";"";"115";"";"111";"226";"648 020"
"FI";"Kamras Film Group";"16/07/2004";"";"1 147";"298";"";"";"";"";"";"";"";"";"";"1 445"
"FR";"CTV International";"09/06/2004";"";"37 278";"";"772";"";"";"";"";"";"";"";"";"38 050"
"IT";"01 Distribution";"27/01/2004";"";"161 184";"32 923";"2 286";"2 117";"20";"";"";"";"6";"";"2 143";"198 536"
"NL";"Universal Pictures Int (NL)";"02/10/2003";"30 398";"";"";"";"";"";"210";"96";"";"";"";"306";"30 704"
"NO";"Oro Film";"02/12/2004";"";"756";"305";"";"";"";"";"";"";"";"";"";"1 061"
"SE";"Triangelfilm";"23/04/2004";"";"7 334";"167";"";"";"";"";"";"";"";"";"";"7 501"
"EUR EU";"";"";"638 158";"264 056";"33 402";"3 058";"2 117";"20";"210";"96";"115";"6";"111";"2 675";"941 349"
"EUR OBS";"";"";"642 529";"264 812";"33 707";"3 058";"2 123";"20";"210";"96";"115";"6";"111";"2 681";"946 787"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2016, 2010, 2009, 2008, 2007, 2006, 2005, 2004, 2003"
" - film_id : 20801"
