"Market";"Distributor";"Release date";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2007-2020";"Total since 2003"
"AT";"Einhorn Film";"12/02/2004";"";"122 658";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"122 658"
"CH";"Eigenverleih / Propre Distribution (CH)";"04/03/2004";"";"130 566";"";"";"52";"";"";"";"";"";"";"";"241";"";"";"";"293";"130 859"
"DE";"NFP Marketing & Distribution";"30/10/2003";"2 342 972";"739 818";"";"";"";"";"";"";"";"107";"115";"600";"14 049";"841";"102";"165";"15 979";"3 098 769"
"DK";"UIP (DK)";"22/10/2004";"";"30 151";"21 691";"2 481";"37";"50";"";"31";"";"";"";"";"";"";"";"";"118";"54 441"
"ES";"Karma Films";"13/12/2005";"";"";"143 200";"191 486";"";"23";"";"";"";"";"";"";"";"";"";"";"23";"334 709"
"FI";"Buena Vista (FI)";"22/10/2004";"";"8 640";"5 020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"13 660"
"FR";"Artedis";"17/12/2008";"";"";"";"";"";"3 656";"";"";"";"";"";"";"";"";"";"";"3 656";"3 656"
"HU";"Budapestfilm";"27/01/2005";"";"";"42 755";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"42 755"
"IT";"";"";"";"191 150";"100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"191 250"
"NL";"Entertainment One Benelux";"01/07/2004";"";"2 949";"";"317";"";"162";"46";"";"144";"";"";"";"185";"";"";"";"537";"3 803"
"NO";"UIP (NO)";"15/10/2004";"";"10 935";"";"278";"34";"";"";"";"7";"";"";"";"246";"";"";"";"287";"11 500"
"SE";"UIP / Universal";"15/10/2004";"";"9 427";"279";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"9 706"
"TR";"Bir Film";"29/04/2005";"";"";"5 781";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5 781"
"EUR EU";"";"";"2 342 972";"1 104 793";"213 045";"194 284";"37";"3 891";"46";"31";"144";"107";"115";"600";"14 234";"841";"102";"165";"20 313";"3 875 407"
"EUR OBS";"";"";"2 342 972";"1 246 294";"218 826";"194 562";"123";"3 891";"46";"31";"151";"107";"115";"600";"14 721";"841";"102";"165";"20 893";"4 023 547"
"US_CA";"";"";"958 720";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"958 720"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2011, 2010, 2009, 2008, 2007, 2006, 2005, 2004, 2003"
" - film_id : 20634"
