"Market";"Distributor";"Release date";"2002";"2003";"2004";"2007";"2008";"2009";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2008-2020";"Total since 2002"
"AT";"";"";"148 015";"8 757";"511";"";"";"";"";"";"";"";"";"";"";"";"157 283"
"CH";"Filmcoopi Zürich";"26/09/2002";"37 491";"4 430";"";"39";"159";"27";"";"";"";"";"";"161";"";"347";"42 307"
"DE";"Croco Film Verleih";"26/09/2002";"2 050 214";"143 312";"10 026";"";"";"";"69";"314";"92";"43";"63";"1 009";"702";"2 292";"2 205 844"
"EUR EU";"";"";"2 198 229";"152 069";"10 537";"";"";"";"69";"314";"92";"43";"63";"1 009";"702";"2 292";"2 363 127"
"EUR OBS";"";"";"2 235 720";"156 499";"10 537";"39";"159";"27";"69";"314";"92";"43";"63";"1 170";"702";"2 639";"2 405 434"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2009, 2008, 2007, 2004, 2003, 2002"
" - film_id : 18802"
