"Market";"Distributor";"Release date";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2015-2020";"Total since 2011"
"AT";"Filmladen";"13/05/2011";"48 244";"769";"381";"";"";"";"";"";"";"";"";"49 394"
"BG";"Artin (BG)";"";"";"";"";"250";"";"";"";"";"";"";"";"250"
"CH";"Filmcoopi Zürich";"19/05/2011";"25 374";"2 169";"106";"94";"198";"30";"100";"";"";"";"328";"28 071"
"DE";"LEONINE Distribution GmbH";"10/03/2011";"1 427 072";"58 627";"16 849";"12 098";"10 964";"11 337";"5 676";"1 267";"3 232";"194";"32 670";"1 547 316"
"DK";"";"";"";"4 676";"";"";"";"";"";"";"";"";"";"4 676"
"ES";"Golem Distribucion";"23/03/2012";"72";"28 331";"73";"";"";"";"";"1";"";"";"1";"28 477"
"FR";"Eurozoom";"30/05/2012";"";"41 452";"11 006";"5 695";"1 450";"1 548";"";"";"";"231";"3 229";"61 382"
"IT";"Teodora Film";"07/12/2011";"55 983";"138 160";"4 083";"276";"";"208";"138";"1";"136";"";"483";"198 985"
"LV";"Rigas Nami";"";"133";"";"";"";"";"";"";"";"";"";"";"133"
"NL";"Moonlight Films";"20/10/2011";"7 765";"1 621";"79";"";"";"";"";"";"";"";"";"9 465"
"PL";"Vivarto";"06/01/2012";"";"4 981";"230";"538";"";"";"";"";"";"";"";"5 749"
"PT";"";"";"";"843";"24";"";"";"";"";"";"";"";"";"867"
"TR";"Medyavizyon";"04/11/2011";"9 623";"845";"";"";"";"";"";"";"";"";"";"10 468"
"EUR EU";"";"";"1 539 269";"279 460";"32 725";"18 857";"12 414";"13 093";"5 814";"1 269";"3 368";"425";"36 383";"1 906 694"
"EUR OBS";"";"";"1 574 266";"282 474";"32 831";"18 951";"12 612";"13 123";"5 914";"1 269";"3 368";"425";"36 711";"1 945 233"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011"
" - film_id : 38042"
