"Market";"Distributor";"Release date";"2016";"2017";"2018";"2019";"2020";"Total since 2016"
"AT";"Warner Bros. (AT)";"25/02/2016";"130 638";"";"";"";"";"130 638"
"CH";"Warner Bros. (CH)";"25/02/2016";"76 672";"85";"";"";"";"76 757"
"CZ";"Bontonfilm";"11/08/2016";"7 569";"";"";"";"";"7 569"
"DE";"Warner Bros. (DE)";"25/02/2016";"1 727 950";"3 236";"935";"142";"325";"1 732 588"
"HU";"Big Bang Media";"26/05/2016";"6 280";"142";"";"";"";"6 422"
"IT";"Nomad Distr.";"30/03/2017";"";"9 735";"364";"";"";"10 099"
"SK";"Bontonfilm (SK)";"25/08/2016";"10 211";"1 102";"";"";"";"11 313"
"EUR EU";"";"";"1 882 648";"14 215";"1 299";"142";"325";"1 898 629"
"EUR OBS";"";"";"1 959 320";"14 300";"1 299";"142";"325";"1 975 386"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016"
" - film_id : 69968"
