"Market";"Distributor";"Release date";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2013-2020";"Total since 2009"
"AT";"Filmladen";"09/10/2009";"178 686";"1 111";"207";"96";"";"";"";"";"";"";"";"";"";"180 100"
"BE";"Cineart (BE)";"17/03/2010";"";"26 035";"5 357";"1 050";"";"";"";"";"";"113";"";"";"113";"32 555"
"BG";"A Plus Cinema";"07/09/2012";"";"";"";"1 148";"";"";"";"";"";"";"";"";"";"1 148"
"CH";"Impuls Pictures";"08/10/2009";"99 408";"14 535";"125";"";"";"29";"";"281";"";"";"66";"";"376";"114 444"
"CZ";"CinemArt (CZ)";"25/03/2010";"";"11 346";"616";"548";"126";"";"";"6";"";"";"";"";"132";"12 642"
"DE";"Majestic Filmverleih";"24/09/2009";"1 039 113";"62 877";"";"";"";"259";"499";"52";"14";"";"";"7";"831";"1 102 821"
"DK";"";"";"";"6 213";"";"";"";"";"";"";"";"";"";"";"";"6 213"
"EE";"Forum Cinemas (EE)";"19/11/2010";"";"5 649";"1 667";"";"";"";"";"";"";"";"";"";"";"7 316"
"ES";"Golem Distribucion";"12/03/2010";"";"34 934";"1 404";"";"";"";"125";"";"18";"";"";"";"143";"36 481"
"FI";"Future Film (FI)";"02/04/2010";"";"28 360";"";"";"";"";"";"";"";"";"";"";"";"28 360"
"FR";"Bac Films";"10/03/2010";"";"161 755";"1 098";"581";"";"";"";"";"";"";"";"";"";"163 434"
"GR";"Filmtreint (Filmtrade)";"11/03/2010";"";"71 924";"363";"446";"";"";"";"";"";"";"";"";"";"72 733"
"HU";"Szuez Film";"20/05/2010";"";"3 192";"";"";"";"";"";"";"";"";"";"";"";"3 192"
"IT";"Ahora! Film (IT)";"14/04/2016";"";"";"";"";"";"";"";"22 830";"844";"109";"343";"";"24 126";"24 126"
"LU";"Cineart (LU)";"02/10/2009";"";"89";"";"1 284";"";"";"";"";"";"";"";"";"";"1 373"
"NL";"Cinéart Nederland";"08/04/2010";"";"22 858";"1 096";"";"";"";"";"37";"";"";"";"";"37";"23 991"
"NO";"Star Media Entertainment";"01/07/2011";"";"";"2 894";"419";"73";"";"";"";"";"";"";"";"73";"3 386"
"PL";"Film Polski";"26/03/2010";"";"107 068";"";"";"";"";"";"";"";"";"";"";"";"107 068"
"PT";"Pris Audiovisuais";"24/06/2010";"";"7 634";"";"";"";"";"";"";"";"";"";"";"";"7 634"
"RO";"Clorofilm";"15/04/2011";"";"";"5 703";"339";"";"64";"";"";"";"";"";"";"64";"6 106"
"SK";"Continental Film (SK)";"17/06/2010";"";"53 918";"1 757";"146";"30";"";"";"";"";"";"";"";"30";"55 851"
"EUR EU";"";"";"1 217 799";"604 963";"19 268";"5 638";"156";"323";"624";"22 925";"876";"222";"343";"7";"25 476";"1 873 144"
"EUR OBS";"";"";"1 317 207";"619 498";"22 287";"6 057";"229";"352";"624";"23 206";"876";"222";"409";"7";"25 925";"1 990 974"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009"
" - film_id : 31747"
