"Market";"Distributor";"Release date";"2011";"2012";"2014";"2015";"Total since 2011"
"AT";"Thimfilm";"11/11/2011";"15 602";"237";"38";"";"15 877"
"DE";"20th Century Fox (DE)";"25/08/2011";"1 786 156";"";"";"71";"1 786 227"
"ES";"Hispano Foxfilms";"25/11/2011";"3 503";"42";"";"";"3 545"
"TR";"Pinema";"03/08/2012";"";"3 201";"";"";"3 201"
"EUR EU";"";"";"1 805 261";"279";"38";"71";"1 805 649"
"EUR OBS";"";"";"1 805 261";"3 480";"38";"71";"1 808 850"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2015, 2014, 2012, 2011"
" - film_id : 38362"
