"Market";"Distributor";"Release date";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2008-2020";"Total since 2004"
"AT";"Polyfilm";"02/04/2004";"38 147";"1 393";"668";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40 208"
"BE";"ABC Distribution";"22/09/2004";"36 133";"12 880";"1 951";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"50 964"
"BG";"Vadi Van Kris";"01/04/2005";"";"13 619";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"13 619"
"CH";"Cineworx";"29/04/2004";"26 188";"1 778";"";"50";"14";"";"220";"46";"122";"81";"";"";"30";"45";"";"";"46";"604";"28 620"
"CZ";"Bontonfilm";"28/04/2005";"";"8 522";"844";"302";"124";"63";"";"40";"";"";"";"";"";"";"";"";"";"227";"9 895"
"DE";"Wüste Film (DE)";"11/03/2004";"762 642";"28 499";"";"";"";"";"";"";"";"";"72";"161";"16";"57";"39";"";"";"345";"791 486"
"DK";"";"";"12 282";"7 996";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"20 278"
"ES";"Golem Distribucion";"06/11/2004";"54 329";"53 572";"280";"198";"261";"";"19";"1 021";"";"";"";"";"";"102";"";"";"";"1 403";"109 782"
"FI";"Future Film (FI)";"01/10/2004";"1 782";"1 650";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3 432"
"FR";"MK2 Diffusion";"21/07/2004";"124 690";"18 922";"7 364";"3 252";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"154 228"
"GB";"Soda Pictures (GB)";"18/02/2005";"";"19 978";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"19 978"
"GR";"Odeon (GR)";"12/11/2004";"13 947";"3 457";"528";"";"";"";"";"4 662";"";"";"";"";"";"";"";"";"";"4 662";"22 594"
"HU";"Mokep";"16/09/2004";"5 811";"3 011";"673";"287";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"9 782"
"IE";"Soda Pictures (IE)";"18/02/2005";"";"2 241";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2 241"
"IT";"Bim Distribuzione";"15/10/2004";"189 994";"79 380";"";"";"343";"213";"";"";"";"";"";"";"5";"";"";"";"";"561";"269 935"
"NL";"Cinemien";"02/09/2004";"55 005";"12 398";"1 468";"222";"102";"";"";"128";"";"";"";"";"";"";"";"";"";"230";"69 323"
"NO";"Arthaus (NO)";"07/01/2005";"";"26 267";"";"";"85";"";"";"27";"";"";"";"";"";"";"";"";"";"112";"26 379"
"PL";"Kino Swiat";"04/03/2005";"";"14 427";"1 224";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"15 651"
"PT";"Prisvideo Edicoes";"14/04/2005";"";"3 303";"";"77";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3 380"
"RO";"IF-Independenta Film";"20/05/2005";"";"2 622";"247";"70";"";"68";"30";"";"";"43";"90";"";"";"";"";"260";"";"491";"3 430"
"SE";"Atlantic Film (SE)";"03/12/2004";"5 168";"3 324";"";"";"44";"";"";"";"";"";"";"";"";"";"";"";"";"44";"8 536"
"SI";"Cankarjev Dom";"01/01/2005";"";"";"18";"";"140";"";"";"";"";"";"";"";"";"";"";"";"";"140";"158"
"SK";"ASFK";"02/03/2006";"";"";"2 010";"285";"104";"40";"";"";"28";"";"";"";"";"";"";"";"";"172";"2 467"
"TR";"Bir Film";"12/03/2004";"294 273";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1 922";"1 922";"296 195"
"EUR EU";"";"";"1 299 930";"291 194";"17 275";"4 693";"1 118";"384";"49";"5 851";"28";"43";"162";"161";"21";"159";"39";"260";"";"8 275";"1 621 367"
"EUR OBS";"";"";"1 620 391";"319 239";"17 275";"4 743";"1 217";"384";"269";"5 924";"150";"124";"162";"161";"51";"204";"39";"260";"1 968";"10 913";"1 972 561"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006, 2005, 2004"
" - film_id : 21940"
