"Film";"Producing country";"Production year";"Directors";"Admissions EUR EU (since 1996)"
"Der Schuh des Manitu (DE)
Manitou's Shoe (EN)
Der Schuh des Manitu - Extra large (DE)
El tesoro de Manitu (ES)
El tesoro de manitú (ES)
Manitou Saabas (ET)
Manitu saabas (ET)
Qui peut sauver le Far West ? (FR)
Qui peut sauver le Far West? (FR)
Manituova cipela (HR)
Manitu bocskora (HU)
Manitu batai (LT)
But Manitou (PL)
Мокасины Маниту (RU)
Ulu Manitu (TR)
Ulu manitu (TR)
Der Schuh des Manitu (XX)
Manitou's Shoe (XX)";"DE";"2001";"Michael Herbig";"13 911 033"
"Perfume: The Story of a Murderer (EN)
Парфюмът: Историята на един убиец (BG)
Parfém: Příběh vraha (CS)
Parfém - Príbeh vraha (CS)
Parfumen: Historien Om En Morder (DA)
Parfumen - historien om en morder (DA)
Das Parfum - Die Geschichte eines Mörders (DE)
To aroma: I istoria enos dolofonou (EL)
Το άρωμα: Η ιστορία ενός δολοφόνου (EL)
El perfume, historia de un asesino (ES)
Perfume - La historia de un asesino (ES)
El perfume (ES)
El perfume: Historia de un asesino (ES)
El Perfume: Historia de un asesino (ES)
El perfume (ES)
Parfüüm: ühe mõrva lugu (ET)
Parfyymi - erään murhaajan tarina (FI)
Parfyymi (FI)
Le parfum, histoire d'un meurtrier (FR)
Le parfum - Histoire d'un meurtrier (FR)
Parfem: Povijest jednog ubojice (HR)
Parfüm: Egy gyilkos története (HU)
Profumo, storia di un assassino (IT)
Profumo - Storia di un assassino (IT)
Perfume - Aru hito goroshi no monogatari (JA)
Kvepalai. Vieno žudiko istorijy (LT)
Kvepalai. Vieno žudiko istorija (LT)
Parfīms: stasts par kadu slepkavu (LV)
Parfymen - Historien om en morder (NO)
Parfymen: Historien om en morder (NO)
Pachnidlo: Historia mordercy (PL)
O Perfume. A História de um Assassino (PT)
Perfume: A História de um Assassino (PT)
O Perfume - História de um Assassino (PT)
Parfumul:Povestea Unei Crime (RO)
Parfumul: Povestea unei crime (RO)
Парфюмер: История одного убийцы (RU)
Parfum: Príbeh vraha (SK)
Parfum (SL)
Parfem: Priča o jednom ubici (SR)
Parfymen: Berättelsen om en mördare (SV)
Koku: Bir Katilin Hikayesi (TR)
Парфумер: Iсторiя одного вбивцi (UK)
Perfume: The Story of a Murderer (XX)
Parfümer: Bir Qatilin Heyati (XX)
Le parfum - Histoire d'un meurtrier (XX)
Le parfum: Histoire d'un meurtrier (XX)
Perfume (XX)
Perfume: The Story of a Murderer (XX)";"DE / ES / FR";"2006";"Tom Tykwer";"10 881 670"
"Good Bye, Lenin! (EN)
Good Bye Lenin! (EN)
Сбогом, Ленин! (BG)
Good Bye, Lenin! (CS)
79 qm DDR (DE)
Good Bye Lenin! (DE)
Antio Lenin (EL)
Goodbye, Lenin! (EL)
Good Bye Lenin! (ES)
Adiós, Lenin! (ES)
Good bye, Lenin! (ES)
Goodbye Lenin! (FI)
Goodbye, Lenin! (FI)
Good Bye Lenin! (FI)
Au revoir Lénine (FR)
Zbogom Lenjinu (HR)
Sudie, Leninai! (LT)
Good bye, Lenin! (NO)
Adeus, Lenine! (PT)
Adeus, Lenin! (PT)
Good Bye Lenin (RO)
Adio, Lenin! (RO)
Гудбай, Ленин! (RU)
Good Bye Lenin! (SK)
Zbogom, Lenin! (SL)
Zbogom Lenjinu (SR)
Elveda Lenin (TR)
Elveda Lenin! (TR)
Good Bye Lenin! (XX)
Au revoir Lénine! (XX)
Goodbye Lenin! (XX)";"DE";"2003";"Wolfgang Becker";"10 652 204"
"(T)Raumschiff Surprise - Periode 1 (DE)
Dreamship Surprise: Period 1 (EN)
Space Movie: La menace fantoche (FR)
A zűrhajo (HU)
A zűrhajó (HU)
Gwiezdne jaja, czesc I: Zemsta swirów (PL)
Nave Especial (PT)
Космический дозор. Эпизод 1 (RU)
(T)Raumschiff Surprise - Periode 1 (XX)";"DE";"2004";"Michael Herbig";"10 372 379"
"Der Untergang (DE)
Downfall (EN)
Крахът на Третия Райх (BG)
Pád Třetí říše (CS)
Pád Tretí ríse (CS)
Der Untergang (DA)
I ptosi (EL)
Η πτώση (EL)
El hundimiento (ES)
La caída (ES)
La caída - Los últimos días de Hitler (ES)
La caída (ES)
La caída (ES)
La caída (ES)
La caída (ES)
Allakäik (ET)
Perikato (FI)
Undergången (FI)
La chute (FR)
Hitler: Konačni pad (HR)
A bukás (HU)
A bukás - Hitler utolsó napjai (HU)
La caduta - Gli ultimi giorni di Hitler (IT)
Hitorâ: Saigo no 12nichi kan (JA)
Trečiojo Reicho žlugimas (LT)
Der Untergang (NO)
Der Untergang - Det tredje rikets siste dager (NO)
Upadek (PL)
A Queda - Hitler e o Film do Terceiro Reich (PT)
A Queda! As Últimas Horas de Hitler (PT)
A Queda: Hitler e o Fim do Terceiro Reich (PT)
Ultimele zile ale lui Hitler (RO)
Бункер (RU)
Pád tretej ríše (SK)
Pád Tretej ríse (SK)
Propad (SL)
Hitler, poslednji dani (SR)
Undergången - Hitler och Tredje Rikets fall (SV)
Undergången - Hitler och Tredje rikets fall (SV)
Çöküş (TR)
Çöküs (TR)
Бункер (UK)
Der Untergang (XX)
La chute (XX)
Downfall (XX)
La chute (XX)
Ha'nefila (XX)
Downfall (XX)";"DE / IT";"2004";"Oliver Hirschbiegel";"9 266 767"
"Fack ju Göhte 2 (DE)
Suck Me Shakespeer 2 (EN)
¡Que te den profe 2! (ES)
Un Prof pas comme les autres 2 (FR)
Fak ju, skolo! (HR)
Fák jú Tanár úr! 2. (HU)
Fák jú, Tanár úr! 2. (HU)
Fuck you, prof! 2 (IT)
Szkolna imprezka 2 (PL)
Fak iu profule! 2 (RO)
Зачётный препод 2 (RU)
Fack ju Göhte 2 (XX)
Suck Me Shakespeer 2 (XX)";"DE";"2015";"Bora Dagtekin";"8 767 796"
"Fack ju Göhte (DE)
F*ck You, Goethe (EN)
Fakjů pane učiteli (CS)
Fakju pane uciteli (CS)
Fack ju Göhte (ES)
¡Que te den profe! (ES)
Un Prof Pas Comme Les Autre (FR)
Un prof pas comme les autres (FR)
Fák Jú Tanár Úr! (HU)
Fák jú, Tanár úr! (HU)
Fuck you, prof! (IT)
Фак ју Гете (MK)
Ja wam pokaze, nieuki, gowniarze! (PL)
Szkola klamie (PL)
Szkolna imprezka (PL)
Fak iu profule! (RO)
Зачётный препод (RU)
Fak ju Gete (SR)
Fack ju Göhte (XX)
Suck Me Shakespeer (XX)";"DE";"2013";"Bora Dagtekin";"8 138 996"
"Honig im Kopf (DE)
Head Full of Honey (EN)
Мёд в голове (RU)
Мед у головi (UK)
Honig im Kopf (XX)
Head Full of Honey (XX)";"DE";"2014";"Til Schweiger
Lars Gmehling";"7 704 654"
"Sieben Zwerge (DE)
7 Dwarfs (EN)
Seven Dwarves (EN)
7 Zwerge (DE)
7 Zwerge - Männer allein im Wald (DE)
7 Krasnoludków - Historia Prawdziwa (PL)";"DE";"2004";"Sven Unterwaldt Jr.";"7 676 346"
"Das Leben Der Anderen (DE)
The Lives of Others (EN)
Животът на другите (BG)
Životy těch druhých (CS)
De andres liv (DA)
Das Leben der Anderen (DE)
Das Leben der Anderen - Die Sonate vom guten Menschen (DE)
Oi zoes ton allon (EL)
Οι ζωές των άλλων (EL)
La vida de los otros (ES)
La vida dels altres (ES)
Teiste elu (ET)
Muiden elämä (FI)
De andras liv (FI)
La vie des autres (FR)
Život drugih (HR)
A mások élete (HU)
Le Vite Degli Altri (IT)
Le vite degli altri (IT)
Yoki hito no tame no sonata (JA)
Kitu gyvenimai (LT)
Das Leben der Anderen (NL)
De andres liv (NO)
Życie na podsłuchu (PL)
As Vidas Dos Outros (PT)
A Vida dos Outros (PT)
As Vidas dos Outros (PT)
Vietile altora (RO)
Жизнь других (RU)
Život tých druhých (SK)
Život Ostatných (SK)
Življenje drugih (SL)
Život drugih (SR)
De andras liv (SV)
Baskalarinin Hayati (TR)
Життя iнших (UK)
Das Leben der Anderen (XX)
La vie des autres (XX)
The Lives of Others (XX)
Chaiyim shel acherim (XX)
Zendegi-e digaran (XX)
The Lives of Others (XX)";"DE";"2006";"Florian Henckel von Donnersmarck";"7 253 138"
