"Market";"Distributor";"Release date";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2007-2020";"Total since 2003"
"AT";"Warner Bros. (AT)";"17/12/2003";"632 825";"284 072";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"916 897"
"BE";"Cineart (BE)";"28/10/2020";"677 363";"84 528";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"660";"660";"762 551"
"BG";"Aleksandra";"09/01/2004";"";"223 622";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"223 622"
"CH";"Warner Bros. (CH)";"17/12/2003";"526 527";"392 114";"";"";"48";"";"";"";"";"13";"32";"";"";"";"29";"";"157";"205";"484";"919 125"
"CY";"";"";"34 877";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"34 877"
"CZ";"Warner Bros. (CZ)";"15/01/2004";"";"778 852";"712";"";"";"100";"";"";"";"";"";"";"";"";"";"";"";"";"100";"779 664"
"DE";"Warner Bros. (DE)";"17/12/2003";"6 594 748";"3 835 572";"";"";"";"";"";"";"";"10 387";"";"";"";"";"";"";"";"";"10 387";"10 440 707"
"DK";"SF Film (DK)";"19/12/2003";"620 349";"544 269";"200";"";"1 252";"";"256";"";"";"";"";"";"";"";"";"";"";"";"1 508";"1 166 326"
"EE";"Acme Film";"02/01/2004";"";"73 100";"";"";"";"";"";"57";"";"";"";"";"";"";"";"";"";"40";"97";"73 197"
"ES";"Aurum Producciones";"15/12/2003";"4 162 781";"2 589 666";"521";"286";"";"";"56";"";"";"377";"";"";"294";"440";"";"";"758";"";"1 925";"6 755 179"
"FI";"SF Film Finland [FS Film]";"17/12/2003";"355 739";"328 240";"9";"";"";"";"129";"";"";"1 726";"";"";"";"";"";"";"";"";"1 855";"685 843"
"FR";"Metropolitan Filmexport";"17/11/2003";"4 760 000";"2 170 000";"";"56";"";"";"";"";"";"";"";"";"";"";"";"";"";"2 484";"2 484";"6 932 540"
"GB";"Version Digital (GB)";"19/12/2003";"5 908 886";"5 687 292";"";"";"";"";"";"";"";"";"";"1 099";"275";"938";"1 413";"";"";"10 189";"13 914";"11 610 092"
"HU";"";"";"";"728 214";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"728 214"
"IS";"Samfilm";"03/07/2020";"57 424";"53 288";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"665";"665";"111 377"
"IT";"Medusa Film";"22/01/2004";"";"4 261 136";"75";"";"";"";"31";"";"";"44";"";"244";"";"";"";"26";"24";"";"369";"4 261 580"
"LT";"";"";"";"66 530";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"66 530"
"LU";"";"";"30 900";"17 700";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"382";"382";"48 982"
"LV";"Baltic Cinema";"09/01/2004";"";"60 413";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"60 413"
"NL";"Warner Bros. (NL)";"17/12/2003";"1 012 805";"1 064 195";"";"87";"";"";"";"";"";"83";"565";"161";"";"";"";"";"";"19 065";"19 874";"2 096 961"
"NO";"SF Norway";"17/12/2003";"544 971";"";"";"";"89";"718";"822";"1 581";"992";"1 312";"1 165";"1 044";"1 612";"1 848";"1 360";"1 066";"919";"";"14 528";"559 499"
"PL";"";"";"";"2 089 415";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2 089 415"
"PT";"";"";"";"265 085";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"265 085"
"RO";"Intercomfilm";"02/01/2004";"";"214 870";"44";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"214 914"
"SE";"SF Film (SE)";"17/12/2003";"934 532";"902 039";"139";"";"";"33";"";"";"3";"";"9";"";"";"";"";"";"";"";"45";"1 836 755"
"SI";"Ljubljanski Kinematografi";"08/01/2004";"";"128 953";"";"";"19";"";"";"";"";"";"";"";"";"";"";"";"";"";"19";"128 972"
"SK";"Continental Film (SK)";"15/01/2004";"";"160 797";"";"";"";"";"";"";"";"";"";"";"";"";"";"126";"";"711";"837";"161 634"
"TR";"Umut Sanat";"19/12/2003";"815 671";"";"";"";"2 085";"";"";"";"";"";"";"";"";"";"";"";"";"";"2 085";"817 756"
"EUR EU";"";"";"25 725 805";"26 558 560";"1 700";"429";"1 271";"133";"472";"57";"3";"12 617";"574";"1 504";"569";"1 378";"1 413";"152";"782";"33 531";"54 456";"52 340 950"
"EUR OBS";"";"";"27 670 398";"27 003 962";"1 700";"429";"3 493";"851";"1 294";"1 638";"995";"13 942";"1 771";"2 548";"2 181";"3 226";"2 802";"1 218";"1 858";"34 401";"72 218";"54 748 707"
"US_CA";"New Films Cinema";"17/12/2003";"48 161 021";"13 947 826";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"62 108 847"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006, 2005, 2004, 2003"
" - film_id : 20301"
