"Market";"Distributor";"Release date";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2012-2020";"Total since 2008"
"AT";"Universal Pictures (AT)";"18/07/2008";"741 268";"";"";"";"";"";"";"";"";"";"";"";"";"";"741 268"
"BE";"UPI (BE)";"10/09/2008";"460 000";"";"";"";"";"";"";"";"";"";"222";"";"";"222";"460 222"
"BG";"Prooptiki (BG)";"05/09/2008";"56 775";"";"";"";"";"";"";"";"";"";"";"";"";"";"56 775"
"CH";"Universal Pictures (CH)";"17/07/2008";"624 790";"4 981";"322";"182";"255";"";"94";"86";"226";"139";"531";"";"144";"1 475";"631 750"
"CZ";"CinemArt (CZ)";"07/08/2008";"715 163";"30 415";"2 420";"1 332";"1 243";"227";"862";"1 462";"1 262";"471";"5 393";"1 293";"1 248";"13 461";"762 791"
"DE";"Universal Pictures (DE)";"17/07/2008";"4 195 964";"86 980";"17 180";"";"";"5 452";"6 198";"7 835";"6 050";"9 545";"20 623";"6 283";"11 158";"73 144";"4 373 268"
"DK";"UIP (DK)";"11/07/2008";"448 112";"2 740";"639";"";"";"";"";"";"";"";"";"";"";"";"451 491"
"EE";"Forum Cinemas (EE)";"18/07/2008";"56 335";"2 235";"120";"";"";"";"";"";"";"";"";"";"";"";"58 690"
"ES";"Universal Pictures Int'l Spain";"08/08/2008";"2 352 795";"4 723";"6";"";"";"222";"2 674";"1 502";"1 519";"17";"2 964";"";"";"8 898";"2 366 422"
"FI";"Finnkino";"18/07/2008";"398 910";"4 800";"252";"150";"";"";"";"";"";"";"";"";"";"";"404 112"
"FR";"Universal Pictures";"10/09/2008";"1 554 066";"";"";"";"";"";"";"";"";"";"";"";"2 360";"2 360";"1 556 426"
"GB";"Universal Pictures (GB)";"11/07/2008";"13 351 590";"1 046";"";"";"";"";"442";"1 387";"1 858";"745";"24 270";"";"7 087";"35 789";"13 388 425"
"HR";"Blitz Film & Video Distribution (HR)";"";"121 316";"";"";"";"";"";"";"";"";"";"";"";"";"";"121 316"
"HU";"UIP-Dunafilm";"17/07/2008";"767 550";"";"";"";"";"";"";"";"";"62";"968";"";"";"1 030";"768 580"
"IS";"";"";"118 981";"";"";"";"";"";"";"";"";"";"";"";"";"";"118 981"
"IT";"Universal (IT)";"03/10/2008";"1 463 513";"21 708";"350";"";"87";"";"";"";"";"";"54";"";"";"141";"1 485 712"
"LT";"";"18/07/2008";"52 426";"";"";"";"";"";"";"";"";"";"";"";"";"";"52 426"
"LV";"Forum Cinemas (LV)";"22/08/2008";"58 050";"461";"85";"15";"";"";"";"";"";"";"";"";"";"";"58 611"
"NL";"Universal Pictures Int (NL)";"17/07/2008";"985 620";"5 610";"2 157";"249";"152";"";"135";"";"";"1 496";"4 113";"146";"";"6 042";"999 678"
"NO";"UIP (NO)";"10/07/2008";"1 109 756";"3 042";"408";"219";"5";"5";"51";"38";"61";"124";"483";"53";"1 023";"1 843";"1 115 268"
"PL";"UIP (PL)";"29/08/2008";"1 125 240";"3 688";"";"";"";"";"";"";"";"";"";"";"";"";"1 128 928"
"PT";"ZON Lusomundo Audiovisuais";"04/09/2008";"851 181";"500";"";"";"";"";"";"";"";"";"";"";"";"";"851 681"
"RO";"Ro-Image 2000";"05/09/2008";"45 873";"";"";"";"";"";"";"";"";"";"";"";"";"";"45 873"
"SE";"UIP / Universal";"11/07/2008";"1 890 307";"14 560";"142";"";"";"";"14";"";"";"";"";"";"";"14";"1 905 023"
"SI";"Karantanija Cinemas";"04/09/2008";"147 721";"6 791";"505";"150";"136";"220";"";"1";"";"";"";"";"";"357";"155 524"
"SK";"CinemaArt (SK)";"21/08/2008";"120 478";"4 462";"37";"";"";"";"";"";"60";"80";"541";"220";"294";"1 195";"126 172"
"TR";"UIP (TR)";"18/07/2008";"94 746";"525";"";"";"";"";"";"";"";"";"";"";"";"";"95 271"
"EUR EU";"";"";"31 960 253";"190 719";"23 893";"1 896";"1 618";"6 121";"10 325";"12 187";"10 749";"12 416";"59 148";"7 942";"22 147";"142 653";"32 319 414"
"EUR OBS";"";"";"33 908 526";"199 267";"24 623";"2 297";"1 878";"6 126";"10 470";"12 311";"11 036";"12 679";"60 162";"7 995";"23 314";"145 971";"34 280 684"
"US_CA";"Universal Pictures (US)";"18/07/2008";"20 062 884";"";"";"";"";"";"";"";"";"";"";"";"";"";"20 062 884"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008"
" - film_id : 28484"
