"Market";"Distributor";"Release date";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2011";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2007-2020";"Total since 2003"
"AT";"Constantin Film (AT)";"19/12/2003";"4 927";"2 881";"124";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"7 932"
"BG";"Vadi Van Kris";"08/04/2005";"";"";"9 688";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"9 688"
"CH";"Filmcoopi Zürich";"30/10/2003";"44 186";"12 858";"";"";"";"16";"";"71";"11";"38";"";"";"";"12";"";"";"148";"57 192"
"DE";"Senator Film Verleih";"16/10/2003";"3 253 216";"430 094";"";"";"";"";"";"";"";"923";"191";"407";"461";"260";"138";"191";"2 571";"3 685 881"
"DK";"Ost for Paradis";"19/11/2004";"";"3 851";"4 626";"276";"29";"80";"";"";"";"";"";"";"";"";"";"";"109";"8 862"
"FI";"Kamras Film Group";"22/04/2005";"";"";"1 277";"57";"";"";"";"";"";"";"";"";"";"";"";"";"";"1 334"
"FR";"";"19/01/2005";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"899";"899";"899"
"GB";"Soda Pictures (GB)";"16/07/2004";"";"1 218";"";"";"";"";"";"";"";"";"18";"";"";"";"";"";"18";"1 236"
"GR";"Playtime Releasing EPE";"28/05/2004";"";"8 547";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"8 765"
"IE";"";"";"";"1 120";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1 120"
"IT";"";"";"";"2 629";"150";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2 779"
"NL";"A-Film (NL)";"09/09/2004";"";"1 171";"";"";"";"2";"57";"";"";"";"";"";"";"";"";"";"59";"1 230"
"PT";"";"";"";"";"";"";"";"";"";"61";"";"";"";"";"";"";"";"";"61";"61"
"SI";"A.G. Market";"29/04/2004";"";"1 227";"100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1 327"
"EUR EU";"";"";"3 258 143";"452 738";"16 183";"333";"29";"82";"57";"61";"";"923";"209";"407";"461";"260";"138";"1 090";"3 717";"3 731 114"
"EUR OBS";"";"";"3 302 329";"465 596";"16 183";"333";"29";"98";"57";"132";"11";"961";"209";"407";"461";"272";"138";"1 090";"3 865";"3 788 306"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2011, 2009, 2008, 2007, 2006, 2005, 2004, 2003"
" - film_id : 20795"
