"Market";"Distributor";"Release date";"2015";"2016";"2017";"2018";"Total since 2015"
"AT";"Constantin Film (AT)";"13/08/2015";"29 666";"";"";"";"29 666"
"BA";"Blitz Film & Video Distribution (BA)";"";"3 719";"";"";"";"3 719"
"BG";"Aleksandra";"07/08/2015";"30 418";"";"";"";"30 418"
"CH";"20th Century Fox (CH)";"05/08/2015";"30 578";"";"";"";"30 578"
"CZ";"CinemArt (CZ)";"13/08/2015";"34 267";"65";"70";"70";"34 472"
"DE";"Constantin Film (DE)";"13/08/2015";"162 867";"";"";"";"162 867"
"DK";"FC/Fox (DK)";"06/08/2015";"30 531";"";"";"";"30 531"
"EE";"ETD";"07/08/2015";"8 140";"";"";"";"8 140"
"ES";"Hispano Foxfilms";"10/08/2015";"563 211";"267";"";"";"563 478"
"FI";"FS Film (FI)";"07/08/2015";"10 571";"";"";"";"10 571"
"FR";"20th Century Fox (FR)";"05/08/2015";"1 205 031";"";"";"";"1 205 031"
"GB";"20th Century Fox (GB)";"07/08/2015";"857 774";"";"";"";"857 774"
"GR";"Odeon (GR)";"";"45 950";"";"";"";"45 950"
"HR";"Fox (HR)";"13/08/2015";"16 970";"";"";"";"16 970"
"HU";"Intercom";"13/08/2015";"35 202";"";"";"";"35 202"
"IS";"Sena";"10/08/2015";"6 029";"";"";"";"6 029"
"IT";"20th Century Fox (IT)";"10/09/2015";"299 699";"";"";"";"299 699"
"LT";"Theatrical Film Distribution / 20th Century Fox (LT)";"07/08/2015";"4 165";"";"";"";"4 165"
"LV";"LTD Latvian Theatrical Distribution";"14/08/2015";"4 497";"";"";"";"4 497"
"ME";"";"";"1 007";"1 007";"";"";"2 014"
"NL";"20th Century Fox via Warner Bros (NL)";"06/08/2015";"85 773";"";"";"";"85 773"
"NO";"20th Century Fox (NO)";"07/08/2015";"30 005";"";"";"";"30 005"
"PL";"Imperial Cinepix";"14/08/2015";"95 516";"";"";"";"95 516"
"PT";"Big Picture 2 Films";"06/08/2015";"93 302";"";"";"";"93 302"
"RO";"Odeon Cineplex";"07/08/2015";"49 647";"";"";"";"49 647"
"RU";"20 Century Fox - CIS (RU)";"20/08/2015";"1 516 247";"565";"";"";"1 516 812"
"SE";"20th Century Fox (SE)";"07/08/2015";"43 562";"";"";"";"43 562"
"SI";"Blitz Film & Video Distribution (SI)";"20/08/2015";"1 883";"";"";"";"1 883"
"SK";"Barracuda Movie/CinemArt (SK)";"13/08/2015";"12 746";"90";"";"";"12 836"
"TR";"Tme";"07/08/2015";"351 659";"49";"";"";"351 708"
"EUR EU";"";"";"3 721 388";"422";"70";"70";"3 721 950"
"EUR OBS";"";"";"5 660 632";"2 043";"70";"70";"5 662 815"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2018, 2017, 2016, 2015"
" - film_id : 63768"
