"Market";"Distributor";"Release date";"2008";"2009";"2010";"2011";"2012";"Total since 2008"
"AT";"Warner Bros. (AT)";"11/12/2008";"43 313";"15 851";"";"";"";"59 164"
"BE";"Paradiso Filmed Entertainment";"08/04/2009";"";"12 545";"";"";"";"12 545"
"CH";"Warner Bros. (CH)";"11/12/2008";"16 374";"9 006";"";"165";"12";"25 557"
"DE";"Warner Bros. (DE)";"11/12/2008";"866 870";"414 165";"";"";"";"1 281 035"
"DK";"SF Film (DK)";"02/04/2009";"";"6 968";"100";"";"";"7 068"
"ES";"Tripictures";"04/06/2009";"";"393 638";"";"";"201";"393 839"
"FI";"SF Film Finland [FS Film]";"03/04/2009";"";"9 471";"468";"";"";"9 939"
"FR";"Metropolitan Filmexport";"28/01/2009";"";"198 509";"";"";"";"198 509"
"GB";"Success Entertainment";"12/12/2008";"678 475";"74 069";"";"";"";"752 544"
"HR";"Blitz Film & Video Distribution (HR)";"26/03/2009";"";"11 732";"";"";"";"11 732"
"HU";"Intercom";"19/03/2009";"";"14 393";"";"";"";"14 393"
"IS";"";"";"1 113";"";"";"";"";"1 113"
"IT";"Eagle Pictures";"20/02/2009";"";"405 590";"";"";"";"405 590"
"NL";"Paradiso Entertainment (NL)";"16/04/2009";"";"15 430";"";"";"";"15 430"
"NO";"SF Norway";"03/04/2009";"";"5 147";"";"";"";"5 147"
"PT";"Prisvideo Edicoes";"09/04/2009";"";"31 251";"";"";"";"31 251"
"RO";"Intercomfilm";"20/03/2009";"";"8 545";"";"";"";"8 545"
"SE";"SF Film (SE)";"06/03/2009";"";"4 357";"";"";"";"4 357"
"SI";"Blitz Film & Video Distribution (SI)";"26/03/2009";"";"4 387";"";"";"";"4 387"
"TR";"Medyavizyon";"23/01/2009";"";"167 006";"1 681";"";"";"168 687"
"EUR EU";"";"";"1 588 658";"1 620 901";"568";"";"201";"3 210 328"
"EUR OBS";"";"";"1 606 145";"1 802 060";"2 249";"165";"213";"3 410 832"
"US_CA";"Warner Bros. (US)";"23/01/2009";"";"2 307 123";"";"";"";"2 307 123"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2012, 2011, 2010, 2009, 2008"
" - film_id : 30501"
