"Market";"Distributor";"Release date";"2008";"2009";"2010";"Total since 2008"
"AT";"Universal Pictures (AT)";"27/02/2009";"";"42 743";"";"42 743"
"BE";"UPI (BE)";"04/02/2009";"";"27 178";"";"27 178"
"BG";"";"";"";"12 176";"";"12 176"
"CH";"UIP (CH)";"25/02/2009";"";"9 584";"";"9 584"
"DE";"Universal Pictures (DE)";"26/02/2009";"";"234 918";"";"234 918"
"DK";"UIP (DK)";"27/02/2009";"";"24 742";"";"24 742"
"EE";"Forum Cinemas (EE)";"06/02/2009";"";"6 194";"";"6 194"
"ES";"Universal Pictures Int'l Spain";"26/01/2009";"";"225 048";"";"225 048"
"FR";"UIP (FR)";"04/02/2009";"";"44 987";"";"44 987"
"GB";"Universal Pictures (GB)";"09/01/2009";"";"1 523 594";"14 242";"1 537 836"
"HR";"Blitz Film & Video Distribution (HR)";"15/01/2009";"";"9 709";"";"9 709"
"IT";"Universal (IT)";"22/05/2009";"";"4 747";"";"4 747"
"LV";"Forum Cinemas (LV)";"";"";"6 732";"";"6 732"
"NL";"Universal Pictures Int (NL)";"12/03/2009";"";"55 846";"";"55 846"
"RO";"Ro-Image 2000";"09/01/2009";"";"15 643";"";"15 643"
"SI";"Karantanija Cinemas";"25/12/2008";"8 210";"15 935";"";"24 145"
"EUR EU";"";"";"8 210";"2 250 192";"14 242";"2 272 644"
"EUR OBS";"";"";"8 210";"2 259 776";"14 242";"2 282 228"
"US_CA";"Universal Pictures (US)";"07/11/2008";"9 255 806";"111 677";"";"9 367 483"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2010, 2009, 2008"
" - film_id : 30408"
