"Market";"Distributor";"Release date";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2013-2019";"Total since 2009"
"AT";"Walt Disney (AT)";"19/02/2009";"176 907";"";"";"";"";"";"";"";"";"";"";"";"176 907"
"BE";"Kinepolis Film Distribution (BE)";"21/10/2009";"17 219";"";"";"";"";"";"";"";"";"";"";"";"17 219"
"CH";"Walt Disney (CH)";"19/02/2009";"48 114";"33";"";"29";"";"";"";"";"11";"";"";"11";"48 187"
"DE";"Walt Disney Studios (DE)";"19/02/2009";"1 220 288";"25 576";"";"";"";"781";"2 642";"3 149";"1 445";"172";"119";"8 308";"1 254 172"
"EE";"Estinfilm";"19/03/2010";"";"5 895";"8";"25";"47";"51";"";"";"";"";"";"98";"6 026"
"ES";"The Walt Disney Co. Iberia";"10/06/2009";"431 063";"1 163";"95";"";"";"";"";"";"";"";"";"";"432 321"
"FR";"Metropolitan Filmexport";"12/08/2009";"109 716";"";"";"";"";"";"";"";"";"";"";"";"109 716"
"IT";"Walt Disney (IT)";"12/02/2010";"";"158 549";"1 076";"";"";"";"";"";"";"";"";"";"159 625"
"NL";"Entertainment One Benelux";"20/08/2009";"67 561";"674";"165";"";"";"";"";"";"";"";"";"";"68 400"
"PL";"Forum Film/SPI";"28/05/2010";"";"33 072";"";"";"";"";"";"";"";"";"";"";"33 072"
"TR";"Sinetel";"22/05/2009";"19 471";"";"";"";"";"";"";"";"";"";"";"";"19 471"
"EUR EU";"";"";"2 022 754";"224 929";"1 344";"25";"47";"832";"2 642";"3 149";"1 445";"172";"119";"8 406";"2 257 458"
"EUR OBS";"";"";"2 090 339";"224 962";"1 344";"54";"47";"832";"2 642";"3 149";"1 456";"172";"119";"8 417";"2 325 116"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009"
" - film_id : 32579"
