"Market";"Distributor";"Release date";"2004";"2005";"2006";"2007";"2008";"2009";"2008-2009";"Total since 2004"
"AT";"Einhorn Film";"26/10/2005";"";"6 237";"";"";"";"";"";"6 237"
"BE";"Cineart (BE)";"22/12/2004";"81 625";"47 754";"";"";"";"";"";"129 379"
"CH";"JMH Distributions (CH)";"08/12/2004";"26 793";"20 492";"";"";"";"";"";"47 285"
"CY";"Rosebud (CY)";"31/12/2004";"";"2 017";"";"";"";"";"";"2 017"
"DE";"Falcom Media";"25/08/2005";"";"30 285";"";"";"";"";"";"30 285"
"ES";"Barton Films";"07/07/2005";"";"180 946";"657";"";"95";"70";"165";"181 768"
"FR";"";"";"1 653 847";"";"";"";"";"";"";"1 653 847"
"GR";"Rosebud";"31/12/2004";"470";"49 208";"";"";"";"";"";"49 678"
"HU";"Best Hollywood";"03/02/2005";"";"33 395";"";"15";"";"";"";"33 410"
"LU";"Cineart (LU)";"10/12/2004";"4 412";"627";"";"";"";"";"";"5 039"
"LV";"Acme (LV)";"01/07/2005";"";"386";"";"";"";"";"";"386"
"PL";"Monolith";"10/02/2005";"";"67 439";"";"505";"";"";"";"67 944"
"PT";"LNK Audiovisuais";"18/08/2005";"";"26 168";"";"";"";"";"";"26 168"
"SI";"Fivia";"10/03/2005";"";"2 971";"";"";"";"";"";"2 971"
"EUR EU";"";"";"1 740 354";"447 433";"657";"520";"95";"70";"165";"2 189 129"
"EUR OBS";"";"";"1 767 147";"467 925";"657";"520";"95";"70";"165";"2 236 414"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2009, 2008, 2007, 2006, 2005, 2004"
" - film_id : 22163"
