"Market";"Distributor";"Release date";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2016";"2017";"2018";"2019";"2020";"2004-2020";"Total since 2000"
"AT";"";"";"";"";"21 011";"33 499";"3 310";"1 043";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4 353";"58 863"
"BE";"Vlaams Centrum voor Kinder";"06/02/2002";"";"9 127";"4 377";"1 850";"";"4 996";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4 996";"20 350"
"CH";"Fama Film";"04/01/2001";"";"";"17 057";"2 736";"";"";"520";"";"";"214";"";"60";"105";"440";"138";"";"331";"61";"19";"";"1 888";"21 681"
"DE";"MFA + FilmDistribution";"03/10/2002";"";"1 095 280";"552 069";"140 608";"20 625";"";"10 397";"";"";"";"";"";"";"";"8 005";"";"";"";"";"";"39 027";"1 826 984"
"DK";"SF Film (DK)";"23/03/2001";"";"44 510";"1 630";"141";"305";"106";"165";"192";"434";"442";"526";"";"";"";"";"";"";"";"";"";"2 170";"48 451"
"FI";"SF Film Finland [FS Film]";"23/02/2001";"";"";"8 758";"";"1 540";"347";"200";"246";"573";"212";"";"";"";"";"";"";"";"";"";"";"3 118";"11 876"
"FR";"";"";"";"";"24 128";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"24 128"
"IS";"";"";"";"";"4 469";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4 469"
"NL";"In the Air (NL)";"29/11/2001";"";"4 480";"3 240";"4 429";"6 293";"1 329";"";"";"57";"";"76";"186";"103";"59";"";"";"";"";"";"907";"9 010";"21 159"
"NO";"SF Norway";"16/02/2001";"";"79 298";"";"993";"";"";"1 797";"286";"97";"";"";"190";"22";"";"";"14";"";"";"";"";"2 406";"82 697"
"SE";"SF Film (SE)";"27/10/2000";"90 452";"";"";"575";"76";"288";"";"451";"75";"";"7";"423";"";"99";"";"";"";"";"";"";"1 419";"92 446"
"EUR EU";"";"";"90 452";"1 153 397";"615 213";"181 102";"32 149";"8 109";"10 762";"889";"1 139";"654";"609";"609";"103";"158";"8 005";"";"";"";"";"907";"64 093";"2 104 257"
"EUR OBS";"";"";"90 452";"1 232 695";"636 739";"184 831";"32 149";"8 109";"13 079";"1 175";"1 236";"868";"609";"859";"230";"598";"8 143";"14";"331";"61";"19";"907";"68 387";"2 213 104"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006, 2005, 2004, 2003, 2002, 2001, 2000"
" - film_id : 16830"
