"Market";"Distributor";"Release date";"2003";"2004";"2005";"2007";"2008";"2017";"2018";"2020";"2008-2020";"Total since 2003"
"AT";"Constantin Film (AT)";"20/02/2004";"";"5 843";"";"";"";"";"";"";"";"5 843"
"BE";"";"";"";"89 603";"";"";"";"";"";"";"";"89 603"
"BG";"Aleksandra";"04/06/2004";"";"13 875";"";"";"";"";"";"";"";"13 875"
"CH";"Elite Film";"05/11/2003";"";"5 675";"";"";"58";"";"";"";"58";"5 733"
"CZ";"Hollywood";"11/03/2004";"";"14 924";"63";"3";"";"";"";"";"";"14 990"
"DE";"LEONINE Distribution GmbH";"18/12/2003";"62 653";"106 986";"";"";"";"25";"21";"11";"57";"169 696"
"DK";"";"";"31 192";"4 503";"";"";"";"";"";"";"";"35 695"
"ES";"";"";"439 010";"15 628";"";"";"";"";"";"";"";"454 638"
"FI";"";"";"14 641";"3 935";"";"";"";"";"";"";"";"18 576"
"FR";"";"";"321 841";"1 225";"";"";"";"";"";"";"";"323 066"
"IS";"";"";"";"1 190";"";"";"";"";"";"";"";"1 190"
"IT";"";"";"389 461";"390 338";"";"";"";"";"";"";"";"779 799"
"NL";"Paradiso Entertainment (NL)";"";"9 747";"";"";"";"";"";"";"";"";"9 747"
"NO";"";"";"9 796";"";"";"";"";"";"";"";"";"9 796"
"PL";"Best Film";"06/02/2004";"";"93 000";"";"";"";"";"";"";"";"93 000"
"PT";"";"";"";"11 315";"";"";"";"";"";"";"";"11 315"
"SE";"Scanbox Entertainment (SE)";"30/01/2004";"";"12 167";"";"";"";"";"";"";"";"12 167"
"SK";"Continental Film (SK)";"15/07/2004";"";"5 012";"";"";"";"";"";"";"";"5 012"
"TR";"";"";"";"126 271";"";"";"";"";"";"";"";"126 271"
"EUR EU";"";"";"1 268 545";"768 354";"63";"3";"";"25";"21";"11";"57";"2 037 022"
"EUR OBS";"";"";"1 278 341";"901 490";"63";"3";"58";"25";"21";"11";"115";"2 180 012"
"US_CA";"";"";"889 129";"";"";"";"";"";"";"";"";"889 129"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2018, 2017, 2008, 2007, 2005, 2004, 2003"
" - film_id : 20515"
