"Market";"Distributor";"Release date";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2015";"2019";"2020";"2010-2020";"Total since 2006"
"AT";"Sony Pictures (AT)";"24/11/2006";"527 667";"58 736";"";"";"";"";"";"";"";"";"";"586 403"
"BE";"Sony Pictures Releasing (BE)";"22/11/2006";"540 444";"";"";"";"";"";"";"";"";"";"";"540 444"
"BG";"Forum Film (BG)";"24/11/2006";"54 837";"";"";"";"";"";"982";"";"";"";"982";"55 819"
"CH";"Walt Disney (CH)";"22/11/2006";"729 909";"116 921";"3";"3";"14";"15";"";"";"";"73";"102";"846 938"
"CZ";"Falcon";"16/11/2006";"229 898";"34 241";"475";"";"";"";"";"";"";"";"";"264 614"
"DE";"Sony Pictures Releasing (DE)";"23/11/2006";"4 598 361";"811 125";"";"";"";"";"";"";"";"";"";"5 409 486"
"DK";"Buena Vista (DK)";"24/11/2006";"703 946";"174 691";"76";"848";"";"";"";"";"";"";"";"879 561"
"EE";"Forum Cinemas (EE)";"17/11/2006";"49 715";"";"";"";"";"";"";"";"";"";"";"49 715"
"ES";"Sony Pictures Releasing De Espana";"15/11/2006";"1 497 761";"95 482";"";"";"";"";"";"57";"109";"";"166";"1 593 409"
"FI";"Nordisk Film Theatrical Dist.";"24/11/2006";"368 621";"132 625";"";"";"";"";"";"";"";"";"";"501 246"
"FR";"Gaumont Columbia TriStar";"22/11/2006";"2 837 753";"";"";"";"";"";"";"";"";"10 737";"10 737";"2 848 490"
"GB";"Independent (GB)";"17/11/2006";"10 417 834";"5 306";"";"";"";"";"";"586";"1 164 913";"";"1 165 499";"11 588 639"
"HU";"Intercom";"07/12/2006";"114 980";"";"";"";"";"";"";"";"";"";"";"114 980"
"IS";"Sena";"17/11/2006";"51 542";"3 527";"";"";"";"";"";"";"";"";"";"55 069"
"IT";"Sony Pictures (IT)";"05/01/2007";"";"1 287 835";"";"";"";"";"";"";"";"";"";"1 287 835"
"LT";"Acme (LT)";"16/11/2006";"35 539";"";"";"";"";"";"";"";"";"";"";"35 539"
"LU";"";"17/11/2006";"35 200";"";"";"";"";"";"";"";"";"";"";"35 200"
"LV";"Forum Cinemas (LV)";"16/11/2006";"62 432";"";"";"25";"";"";"422";"";"";"";"422";"62 879"
"NL";"Sony Pictures Releasing (NL)";"23/11/2006";"808 530";"231 958";"941";"";"";"";"171";"";"";"1 271";"1 442";"1 042 871"
"NO";"Walt Disney Studios Motion Pictures (NO)";"24/11/2006";"467 013";"118 427";"94";"";"";"";"";"";"";"";"";"585 534"
"PL";"UIP (PL)";"17/11/2006";"526 671";"28 896";"";"";"";"";"";"";"";"";"";"555 567"
"PT";"Columbia TriStar Warner (PT)";"23/11/2006";"375 162";"18 071";"74";"";"";"";"";"";"";"";"";"393 307"
"RO";"Intercomfilm";"24/11/2006";"57 043";"11 014";"20 910";"";"";"";"367";"";"";"";"367";"89 334"
"SE";"Sony Pictures Releasing (SE)";"24/11/2006";"618 860";"260 597";"";"";"";"";"";"";"";"";"";"879 457"
"SI";"Continental Film (SI)";"23/11/2006";"84 354";"11 854";"";"";"";"";"";"";"";"";"";"96 208"
"SK";"Itafilm";"16/11/2006";"41 501";"8 278";"";"";"";"";"";"";"";"";"";"49 779"
"TR";"Warner Bros. (TR)";"17/11/2006";"251 352";"4 382";"";"";"";"";"";"";"";"";"";"255 734"
"EUR EU";"";"";"24 587 109";"3 170 709";"22 476";"873";"";"";"1 942";"643";"1 165 022";"12 008";"1 179 615";"28 960 782"
"EUR OBS";"";"";"26 086 925";"3 413 966";"22 573";"876";"14";"15";"1 942";"643";"1 165 022";"12 081";"1 179 717";"30 704 057"
"US_CA";"Sony-MGM";"17/11/2006";"23 655 693";"1 754 271";"";"";"";"";"";"";"";"";"";"25 409 964"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2015, 2012, 2011, 2010, 2009, 2008, 2007, 2006"
" - film_id : 25578"
