"Market";"Distributor";"Release date";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2005-2020";"Total since 2001"
"AT";"";"";"219 394";"62 284";"3 503";"433";"548";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"548";"286 162"
"BE";"Bevrijdingsfilms (BE)";"08/07/2020";"525 941";"88 852";"2 967";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"108";"108";"617 868"
"BG";"";"";"";"10 099";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"10 099"
"CH";"Eigenverleih / Propre Distribution (CH)";"25/04/2001";"578 316";"92 241";"3 722";"";"";"";"";"197";"14";"98";"62";"38";"";"127";"157";"";"37";"";"60";"16";"806";"675 085"
"CY";"";"";"";"3 304";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3 304"
"CZ";"Intersonic (CZ)";"20/09/2001";"95 184";"171 000";"13 498";"1 458";"465";"";"244";"144";"24";"100";"";"30";"";"102";"";"";"";"";"";"";"1 109";"282 249"
"DE";"Prokino Filmverleih";"16/08/2001";"2 522 427";"614 643";"61 327";"";"";"";"";"";"";"";"";"";"";"1 013";"224";"439";"285";"291";"50";"";"2 302";"3 200 699"
"DK";"Camera Film";"11/01/2002";"";"147 507";"355";"98";"";"65";"73";"121";"";"";"";"";"";"";"";"";"";"";"";"";"259";"148 219"
"EE";"BDG Film";"08/02/2002";"";"21 601";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"21 601"
"ES";"Vertigo Films (ES)";"17/10/2001";"1 238 508";"473 792";"1 796";"153";"16";"337";"";"";"43";"";"";"";"900";"";"";"";"";"";"65";"";"1 361";"1 715 610"
"FI";"Cinema Mondo";"26/10/2001";"65 144";"139 761";"1 400";"301";"202";"68";"";"314";"";"";"";"";"";"";"";"";"";"";"";"";"584";"207 190"
"FR";"UFD (FR)";"03/01/2001";"8 176 441";"336 241";"3 091";"416";"";"202";"";"";"";"";"";"";"";"";"";"";"";"";"";"270";"472";"8 516 661"
"GB";"Momentum Pictures (GB)";"05/10/2001";"1 000 107";"";"";"";"";"";"";"";"";"";"1 002";"";"";"696";"831";"638";"452";"";"";"714";"4 333";"1 004 440"
"GR";"Weird Wave (GR)";"19/10/2001";"22 786";"67 712";"473";"245";"53";"46";"46";"";"";"";"";"";"";"381";"";"";"";"";"";"";"526";"91 742"
"HU";"";"";"";"157 778";"13 182";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"170 960"
"IS";"";"";"7 736";"6 818";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"14 554"
"IT";"Bim Distribuzione";"24/01/2002";"";"1 881 257";"";"304";"";"";"";"";"";"";"";"";"";"37";"";"";"";"";"";"";"37";"1 881 598"
"LT";"Acme (LT)";"23/11/2001";"20 687";"13 551";"";"114";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"34 352"
"LU";"";"";"35 057";"2 343";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"37 400"
"NL";"Paradiso Entertainment (NL)";"06/12/2001";"49 886";"283 395";"10 382";"2 112";"1 312";"";"892";"716";"100";"199";"739";"81";"38";"91";"";"130";"165";"317";"396";"560";"5 736";"351 511"
"NO";"";"";"113 088";"47 844";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"160 932"
"PL";"Gutek Film";"19/10/2001";"396 476";"349 046";"4 281";"1 330";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"751 133"
"PT";"Atalanta Filmes";"14/12/2001";"43 230";"125 357";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"168 587"
"RO";"IF-Independenta Film";"22/03/2002";"";"55 755";"580";"154";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"59";"59";"56 548"
"RU";"Artpokaz (RU)";"20/09/2001";"175 972";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2 140";"";"2 140";"178 112"
"SE";"Triangelfilm";"12/10/2001";"193 625";"165 898";"256";"81";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"359 860"
"SI";"Blitz Film & Video Distribution (SI)";"09/03/2005";"";"48 188";"";"";"";"18";"";"44";"";"";"";"";"";"";"";"";"";"";"";"";"62";"48 250"
"SK";"Intersonic SK";"25/10/2001";"29 009";"23 797";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"52 806"
"TR";"Umut Sanat";"23/11/2001";"133 519";"";"";"";"";"";"";"";"";"";"";"160";"";"";"";"";"";"";"";"";"160";"133 679"
"EUR EU";"";"";"14 633 902";"5 243 161";"117 091";"7 199";"2 596";"736";"1 255";"1 339";"167";"299";"1 741";"111";"938";"2 320";"1 055";"1 207";"902";"608";"511";"1 711";"17 496";"20 018 849"
"EUR OBS";"";"";"15 642 533";"5 390 064";"120 813";"7 199";"2 596";"736";"1 255";"1 536";"181";"397";"1 803";"309";"938";"2 447";"1 212";"1 207";"939";"608";"2 711";"1 727";"20 602";"21 181 211"
"US_CA";"";"";"3 025 408";"2 905 826";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5 931 234"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006, 2005, 2004, 2003, 2002, 2001"
" - film_id : 17146"
