"Market";"Distributor";"Release date";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2010-2020";"Total since 2006"
"AT";"Walt Disney (AT)";"17/08/2006";"22 494";"24 989";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"47 483"
"BE";"Cinéma Galeries Distribution (BE)";"31/01/2007";"";"140 245";"11 912";"2 310";"";"";"";"";"";"";"625";"39";"";"74";"52";"790";"155 257"
"CH";"Walt Disney (CH)";"17/08/2006";"55 411";"62 196";"698";"180";"35";"45";"112";"54";"38";"";"214";"91";"28";"63";"";"680";"119 165"
"CZ";"Bontonfilm";"04/01/2007";"";"26 319";"2 103";"350";"3";"366";"663";"143";"309";"183";"";"";"";"";"";"1 667";"30 439"
"DE";"Walt Disney Studios (DE)";"23/03/2006";"1 678 572";"657 767";"31 392";"3 596";"";"";"";"";"1 392";"1 167";"1 004";"676";"1 196";"614";"28";"6 077";"2 377 404"
"DK";"Sandrew Metronome (DK)";"13/10/2006";"87 095";"69 844";"848";"197";"75";"";"";"";"";"";"";"";"";"";"";"75";"158 059"
"EE";"Tallinnfilm (EE)";"14/09/2007";"";"2 694";"256";"52";"";"67";"108";"";"";"";"";"";"";"";"";"175";"3 177"
"ES";"Alta Classics";"29/01/2007";"";"858 356";"1 676";"45";"9";"";"216";"13";"";"";"";"";"";"";"";"238";"860 315"
"FI";"Pirkanmaan Elokuvakeskus";"27/10/2006";"9 210";"12 754";"659";"152";"23";"";"";"";"";"";"";"";"";"";"40";"63";"22 838"
"FR";"Océan Films";"31/01/2007";"";"1 516 801";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1 516 801"
"GB";"Lionsgate (GB)";"13/04/2007";"";"530 527";"4 083";"";"";"";"";"";"65";"38";"60";"24";"";"";"334";"521";"535 131"
"GR";"Prooptiki (GR)";"14/12/2006";"18 095";"228 800";"502";"";"";"";"";"";"";"";"";"";"";"";"";"";"247 397"
"HR";"Blitz Film & Video Distribution (HR)";"";"";"8 713";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"8 713"
"HU";"Best Hollywood";"22/02/2007";"";"45 503";"2 993";"";"";"";"";"";"";"";"";"";"";"";"";"";"48 496"
"IS";"Myndform";"";"";"5 290";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5 290"
"IT";"01 Distribution";"06/04/2007";"";"754 549";"1 965";"609";"52";"";"";"";"";"";"";"7";"6";"56";"";"121";"757 244"
"NL";"Cinemien";"01/03/2007";"";"310 189";"10 827";"709";"252";"329";"122";"14";"93";"";"";"";"";"362";"31";"1 203";"322 928"
"NO";"Sandrew Metronome (NO)";"06/10/2006";"35 252";"6 240";"149";"";"144";"";"";"";"";"";"";"";"";"";"";"144";"41 785"
"PL";"Monolith/SPI";"26/01/2007";"";"72 298";"1 982";"";"";"";"";"";"";"";"";"";"";"";"";"";"74 280"
"PT";"Pris Audiovisuais";"08/02/2007";"";"24 857";"21";"";"";"15";"";"";"343";"";"";"";"";"82";"";"440";"25 318"
"RO";"";"";"";"65";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"65"
"SE";"Sandrew Metronome";"10/11/2006";"19 478";"31 940";"274";"";"40";"";"";"";"";"";"";"";"";"";"";"40";"51 732"
"SI";"Blitz Film & Video Distribution (SI)";"29/03/2007";"";"5 539";"654";"";"";"";"";"";"";"";"";"";"";"";"";"";"6 193"
"SK";"Tatra Film";"22/03/2007";"";"3 426";"425";"17";"";"";"";"";"";"";"";"";"";"";"";"";"3 868"
"TR";"Chantier Films";"09/03/2007";"";"25 714";"389";"";"";"";"";"474";"190";"";"";"";"";"";"";"664";"26 767"
"EUR EU";"";"";"1 834 944";"5 326 175";"72 572";"8 037";"454";"777";"1 109";"170";"2 202";"1 388";"1 689";"746";"1 202";"1 188";"485";"11 410";"7 253 138"
"EUR OBS";"";"";"1 925 607";"5 425 615";"73 808";"8 217";"633";"822";"1 221";"698";"2 430";"1 388";"1 903";"837";"1 230";"1 251";"485";"12 898";"7 446 145"
"US_CA";"Sony Classics (US)";"09/02/2007";"";"1 639 350";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1 639 350"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006"
" - film_id : 26055"
