"Market";"Distributor";"Release date";"2001";"2002";"2003";"2004";"2006";"2009";"2011";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2006-2020";"Total since 2001"
"AT";"";"";"211 444";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"211 444"
"BE";"Park Circus (BE)";"18/07/2016";"295 059";"";"";"";"";"";"";"";"";"813";"";"";"";"";"813";"295 872"
"BG";"";"";"31 332";"3 090";"";"";"";"";"";"";"";"";"";"";"";"";"";"34 422"
"CH";"Universal Pictures (CH)";"26/09/2001";"131 753";"";"";"";"";"";"";"";"42";"";"";"";"";"94";"136";"131 889"
"CY";"";"";"31 819";"5 003";"";"";"";"";"";"";"";"";"";"";"";"";"";"36 822"
"CZ";"CinemArt (CZ)";"13/09/2001";"68 090";"";"";"";"";"";"";"142";"40";"";"30";"101";"50";"115";"478";"68 568"
"DE";"UIP (DE)";"18/10/2001";"1 420 740";"19 059";"50 526";"";"";"";"";"";"";"";"";"";"";"";"";"1 490 325"
"DK";"UIP (DK)";"28/09/2001";"49 923";"309";"";"";"237";"383";"";"";"";"";"";"";"";"";"620";"50 852"
"EE";"MPDE";"12/10/2001";"31 740";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"31 740"
"ES";"Universal Pictures Int'l Spain";"12/09/2001";"1 049 736";"6 671";"6 667";"";"2 647";"237";"";"";"";"";"";"";"";"";"2 884";"1 065 958"
"FR";"Paramount Pictures (FR)";"22/08/2001";"1 009 005";"4 504";"6 124";"92";"";"";"";"";"";"";"";"";"";"260";"260";"1 019 985"
"GB";"Universal Pictures (GB)";"14/09/2001";"1 545 240";"";"";"";"";"";"";"";"";"10";"";"";"";"5 706";"5 716";"1 550 956"
"HU";"";"";"121 531";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"121 531"
"IS";"";"";"18 064";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"18 064"
"IT";"UIP (IT)";"21/09/2001";"339 481";"588";"";"";"";"221";"";"";"";"";"";"";"";"";"221";"340 290"
"LT";"";"";"59 258";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"59 258"
"LU";"";"";"13 250";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"13 250"
"NL";"Universal Pictures Int (NL)";"20/09/2001";"227 943";"";"";"";"";"5";"";"";"";"";"";"";"";"";"5";"227 948"
"NO";"UIP (NO)";"16/11/2001";"89 225";"12 077";"";"";"106";"";"33";"35";"72";"";"";"";"";"";"246";"101 548"
"PL";"";"";"137 501";"891";"";"";"";"";"";"";"";"";"";"";"";"";"";"138 392"
"RO";"Ro-Image 2000";"09/11/2001";"83 385";"16 132";"370";"";"";"";"";"";"";"59";"";"";"";"";"59";"99 946"
"SE";"";"";"104 389";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"104 389"
"SK";"CinemaArt (SK)";"13/09/2001";"";"";"";"";"";"";"";"";"";"";"";"";"";"8";"8";"8"
"TR";"";"";"171 988";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"171 988"
"EUR EU";"";"";"6 830 866";"56 247";"63 687";"92";"2 884";"846";"";"142";"40";"882";"30";"101";"50";"6 089";"11 064";"6 961 956"
"EUR OBS";"";"";"7 241 896";"68 324";"63 687";"92";"2 990";"846";"33";"177";"154";"882";"30";"101";"50";"6 183";"11 446";"7 385 445"
"US_CA";"Universal Pictures (US)";"22/06/2001";"26 815 199";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"26 815 199"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2011, 2009, 2006, 2004, 2003, 2002, 2001"
" - film_id : 17285"
