"Market";"Distributor";"Release date";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2013-2020";"Total since 2009"
"AT";"Constantin Film (AT)";"09/09/2009";"796 094";"1 561";"127";"";"";"";"";"";"";"";"";"";"";"797 782"
"CH";"Eigenverleih / Propre Distribution (CH)";"09/09/2009";"150 903";"999";"8";"";"";"";"";"";"";"";"";"140";"140";"152 050"
"DE";"Constantin Film (DE)";"09/09/2009";"4 891 161";"30 628";"";"";"";"395";"326";"371";"165";"331";"135";"997";"2 720";"4 924 509"
"ES";"Aurum Producciones";"01/10/2009";"579 575";"3 957";"582";"";"";"51";"96";"";"";"";"";"";"147";"584 261"
"FR";"Metropolitan Filmexport";"21/07/2010";"";"41 244";"";"";"";"";"";"";"";"";"";"451";"451";"41 695"
"IT";"Nexo Digital";"22/11/2014";"";"";"";"";"";"9 336";"587";"";"";"";"";"";"9 923";"9 923"
"NL";"Independent Films (NL)";"21/04/2010";"";"153 258";"245";"23";"";"";"";"";"";"";"";"";"";"153 526"
"PT";"ZON Lusomundo Cinemas";"07/02/2013";"";"";"";"";"5 396";"";"";"";"";"";"";"";"5 396";"5 396"
"EUR EU";"";"";"6 266 830";"230 648";"954";"23";"5 396";"9 782";"1 009";"371";"165";"331";"135";"1 448";"18 637";"6 517 092"
"EUR OBS";"";"";"6 417 733";"231 647";"962";"23";"5 396";"9 782";"1 009";"371";"165";"331";"135";"1 588";"18 777";"6 669 142"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009"
" - film_id : 33359"
