"Market";"Distributor";"Release date";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2011-2020";"Total since 2007"
"AT";"Constantin Film (AT)";"08/02/2008";"";"48 811";"204";"134";"133";"";"";"";"";"";"";"";"";"";"133";"49 282"
"BE";"Les Films de l'Élysée (BE)";"31/10/2007";"37 619";"3 102";"745";"";"";"";"";"";"";"";"";"";"";"";"";"41 466"
"CH";"Frenetic Films (CH)";"10/10/2007";"93 319";"15 743";"1 057";"39";"";"180";"";"71";"";"";"267";"23";"";"";"541";"110 699"
"DE";"LEONINE Distribution GmbH";"07/02/2008";"";"3 765 230";"55 989";"15 204";"";"";"";"2 578";"80";"1 368";"1 410";"582";"19";"120";"6 157";"3 842 580"
"DK";"Miracle Film";"23/10/2009";"";"";"9 570";"1 483";"";"";"";"";"";"";"";"";"";"";"";"11 053"
"ES";"Wanda Vision";"25/10/2007";"338 305";"17 967";"362";"176";"";"";"26";"";"";"";"";"";"";"";"26";"356 836"
"FI";"Future Film (FI)";"11/12/2009";"";"";"9 185";"3 525";"86";"";"";"";"";"";"";"";"";"";"86";"12 796"
"FR";"Gaumont Distribution";"10/10/2007";"1 393 864";"148 979";"";"";"";"";"";"";"";"";"";"";"";"";"";"1 542 843"
"GB";"Lionsgate (GB)";"16/11/2007";"11 684";"2 673";"";"";"";"";"";"";"";"22";"";"";"";"";"22";"14 379"
"GR";"Audiovisual";"11/10/2007";"29 233";"13 465";"";"587";"";"";"";"";"";"";"";"";"";"";"";"43 285"
"HU";"Budapestfilm";"01/05/2008";"";"13 061";"";"148";"";"";"";"";"";"";"";"";"";"";"";"13 209"
"IS";"Myndform";"26/03/2010";"";"";"";"742";"";"";"";"";"";"";"";"";"";"";"";"742"
"IT";"Walt Disney (IT)";"22/04/2009";"";"";"137 980";"2 215";"285";"";"";"";"";"";"";"";"";"";"285";"140 480"
"LI";"Frenetic Films (LI)";"10/10/2007";"478";"212";"";"";"";"";"";"";"";"";"";"";"";"";"";"690"
"LU";"Les Films de l'Élysée (LU)";"02/11/2007";"";"103";"";"";"";"";"";"";"";"";"";"";"";"";"";"103"
"NL";"Independent Films (NL)";"29/11/2007";"94 753";"120 108";"1 966";"";"123";"";"";"18";"";"";"";"";"";"";"141";"216 968"
"EUR EU";"";"";"1 905 458";"4 133 499";"216 001";"23 472";"627";"";"26";"2 596";"80";"1 390";"1 410";"582";"19";"120";"6 850";"6 285 280"
"EUR OBS";"";"";"1 999 255";"4 149 454";"217 058";"24 253";"627";"180";"26";"2 667";"80";"1 390";"1 677";"605";"19";"120";"7 391";"6 397 411"
"US_CA";"Walt Disney Studios (US)";"22/04/2009";"";"";"4 268 210";"";"";"";"";"";"";"";"";"";"";"";"";"4 268 210"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007"
" - film_id : 27904"
