"Market";"Distributor";"Release date";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2017-2019";"Total since 2013"
"AT";"Universal Pictures (AT)";"25/12/2013";"92 468";"133 344";"";"";"";"";"";"";"225 812"
"BA";"Blitz Film & Video Distribution (BA)";"03/04/2014";"";"1 144";"";"";"";"";"";"";"1 144"
"CH";"Universal Pictures (CH)";"25/12/2013";"46 794";"114 705";"";"";"";"";"";"";"161 499"
"CZ";"Bontonfilm";"08/05/2014";"";"34 944";"1 392";"599";"254";"254";"335";"843";"37 778"
"DE";"Universal Pictures (DE)";"25/12/2013";"1 019 881";"2 611 292";"2 788";"";"";"";"";"";"3 633 961"
"ES";"DeAPlaneta";"25/12/2013";"285 680";"795 440";"";"1 014";"";"";"";"";"1 082 134"
"HR";"Blitz Film & Video Distribution (HR)";"03/04/2014";"";"8 684";"";"";"";"";"";"";"8 684"
"IT";"Universal (IT)";"29/12/2013";"1 167";"1 589";"";"";"";"";"";"";"2 756"
"MK";"Blitz Film (MK)";"";"";"64";"";"";"";"";"";"";"64"
"PL";"Monolith";"25/04/2014";"";"33 102";"94";"";"";"";"";"";"33 196"
"PT";"Outsider Films";"11/09/2014";"";"9 777";"23";"37";"";"";"";"";"9 837"
"RU";"Luxor";"06/02/2014";"";"188 059";"";"";"";"";"";"";"188 059"
"SK";"Bontonfilm (SK)";"01/05/2014";"";"7 890";"";"";"";"";"";"";"7 890"
"EUR EU";"";"";"1 399 196";"3 636 062";"4 297";"1 650";"254";"254";"335";"843";"5 042 048"
"EUR OBS";"";"";"1 445 990";"3 940 034";"4 297";"1 650";"254";"254";"335";"843";"5 392 814"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2019, 2018, 2017, 2016, 2015, 2014, 2013"
" - film_id : 43851"
