"Market";"Distributor";"Release date";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2015-2019";"Total since 2011"
"AT";"Elmo Movie World";"23/12/2011";"148";"31 403";"";"";"";"";"";"";"";"";"31 551"
"BE";"Starway Film Distribution";"08/02/2012";"";"22 584";"";"";"";"";"";"";"";"";"22 584"
"BG";"A Plus Films";"24/02/2012";"";"2 196";"";"";"145";"64";"";"";"";"209";"2 405"
"CH";"Elite Film";"20/01/2012";"";"34 932";"19";"";"";"";"";"";"";"";"34 951"
"CZ";"Aerofilms";"02/02/2012";"231";"13 638";"12";"57";"";"108";"21";"";"";"129";"14 067"
"DE";"StudioCanal (DE)";"02/02/2012";"";"318 088";"538";"18";"";"";"";"";"";"";"318 644"
"DK";"SF Film (DK)";"09/02/2012";"";"30 961";"";"";"";"";"";"";"";"";"30 961"
"EE";"Acme (EE)";"09/12/2011";"4 238";"1 205";"";"";"";"";"";"";"";"";"5 443"
"ES";"DeAPlaneta";"23/12/2011";"154 967";"207 594";"17";"";"";"";"";"";"";"";"362 578"
"FI";"SF Film Finland [FS Film]";"24/02/2012";"";"29 284";"145";"";"";"";"";"";"";"";"29 429"
"FR";"StudioCanal (FR)";"08/02/2012";"";"629 391";"1 259";"72";"";"";"";"";"";"";"630 722"
"GB";"StudioCanal (GB)";"16/09/2011";"2 332 261";"11 316";"";"38";"87";"";"44";"";"";"131";"2 343 746"
"GR";"Village";"";"";"63 984";"";"";"";"";"";"";"";"";"63 984"
"HR";"Blitz Film & Video Distribution (HR)";"02/02/2012";"";"14 386";"";"";"";"";"";"";"";"";"14 386"
"HU";"Ristretto Distribution";"26/01/2012";"";"16 994";"";"";"";"";"";"";"";"";"16 994"
"IS";"Myndform";"06/01/2012";"";"3 398";"";"";"";"";"";"";"";"";"3 398"
"IT";"Medusa Film";"13/01/2012";"";"480 780";"56";"";"";"";"";"";"";"";"480 836"
"LT";"Acme (LT)";"23/12/2011";"1 271";"1 452";"";"";"";"";"";"";"";"";"2 723"
"LV";"Acme (LV)";"27/01/2012";"";"2 431";"";"";"";"";"";"";"";"";"2 431"
"NL";"Entertainment One Benelux";"15/12/2011";"41 171";"63 977";"144";"59";"";"30";"58";"37";"";"125";"105 476"
"NO";"SF Norway";"27/01/2012";"857";"24 919";"";"";"";"";"";"";"";"";"25 776"
"PL";"ITI Cinema";"25/11/2011";"236 722";"22 286";"279";"";"";"";"";"";"";"";"259 287"
"PT";"NOS Lusomundo Audiovisuais (PT)";"22/12/2011";"15 009";"13 363";"";"";"";"";"";"";"44";"44";"28 416"
"RO";"Ro-Image 2000";"03/02/2012";"";"8 776";"";"";"";"";"";"";"";"";"8 776"
"RU";"Top Film Distribution";"08/12/2011";"130 580";"";"";"";"";"";"";"";"";"";"130 580"
"SE";"SF Film (SE)";"25/12/2011";"27 064";"183 863";"68";"";"";"";"";"";"";"";"210 995"
"SI";"Blitz Film & Video Distribution (SI)";"15/03/2012";"";"3 184";"39";"";"";"";"";"";"";"";"3 223"
"SK";"Continental Film (SK)";"02/02/2012";"";"2 382";"87";"";"";"";"";"";"";"";"2 469"
"TR";"Chantier Films";"10/02/2012";"";"28 601";"254";"";"";"";"";"";"";"";"28 855"
"EUR EU";"";"";"2 813 082";"2 175 518";"2 644";"244";"232";"202";"123";"37";"44";"638";"4 992 126"
"EUR OBS";"";"";"2 944 519";"2 267 368";"2 917";"244";"232";"202";"123";"37";"44";"638";"5 215 686"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011"
" - film_id : 37279"
