"Market";"Distributor";"Release date";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2009-2020";"Total since 2004"
"AT";"Constantin Film (AT)";"05/08/2005";"12 121";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"12 121"
"BE";"";"";"98 465";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"98 465"
"CH";"Rialto Film (CH)";"04/08/2005";"55 107";"6 796";"";"";"";"";"35";"";"79";"2";"";"";"";"";"";"";"116";"62 019"
"CZ";"Bontonfilm";"08/09/2005";"620";"2 135";"";"";"";"";"80";"";"";"";"";"";"";"";"";"";"80";"2 835"
"DE";"LEONINE Distribution GmbH";"04/08/2005";"219 614";"33 954";"";"";"";"";"";"";"";"654";"81";"99";"211";"223";"38";"20";"1 326";"254 894"
"DK";"Scanbox Entertainment (DK)";"12/08/2005";"40 822";"1 482";"";"36";"";"";"";"";"";"";"";"";"";"";"";"";"";"42 340"
"EE";"Forum Cinemas (EE)";"31/03/2006";"";"4 352";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4 352"
"ES";"Vértice Cine";"30/12/2005";"";"1 524 549";"";"";"";"18";"";"1 097";"";"";"";"";"";"";"";"";"1 115";"1 525 664"
"FI";"Scanbox Finland";"02/09/2005";"46 411";"10 051";"158";"319";"";"40";"";"";"";"";"";"";"";"";"";"";"40";"56 979"
"FR";"";"";"553 739";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"553 739"
"GB";"Pathé Distribution (GB)";"12/08/2005";"1 280 570";"35 174";"";"";"";"";"";"";"";"";"";"";"18";"";"";"";"18";"1 315 762"
"HU";"Intercom";"10/11/2005";"20 154";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"20 154"
"IS";"";"";"5 153";"747";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5 900"
"IT";"Filmauro";"11/11/2005";"293 538";"198 342";"121";"47";"";"";"";"";"";"";"";"";"";"69";"";"";"69";"492 117"
"LV";"Acme (LV)";"31/03/2006";"";"7 297";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"7 297"
"NL";"Independent Films (NL)";"20/10/2005";"72 473";"51 932";"307";"54";"81";"165";"104";"131";"";"";"";"";"";"";"";"21";"502";"125 268"
"NO";"Scanbox (NO)";"09/09/2005";"40 242";"3 681";"647";"157";"";"";"";"";"";"";"";"";"";"";"";"";"";"44 727"
"PL";"Monolith Plus";"22/07/2005";"62 632";"27 196";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"89 828"
"PT";"";"23/06/2005";"72 181";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"72 181"
"RO";"Pro Video";"28/04/2006";"";"16 485";"7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"16 492"
"SE";"Scanbox Entertainment (SE)";"09/09/2005";"111 769";"15 917";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"127 686"
"SI";"Blitz Film & Video Distribution (SI)";"09/03/2006";"459";"23 816";"";"30";"347";"388";"";"93";"";"";"";"";"";"";"";"";"828";"25 133"
"TR";"Warner Bros. (TR)";"24/06/2005";"60 343";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"60 343"
"EUR EU";"";"";"2 885 568";"1 952 682";"593";"486";"428";"611";"184";"1 321";"";"654";"81";"99";"229";"292";"38";"41";"3 978";"4 843 307"
"EUR OBS";"";"";"3 046 413";"1 963 906";"1 240";"643";"428";"611";"219";"1 321";"79";"656";"81";"99";"229";"292";"38";"41";"4 094";"5 016 296"
"US_CA";"";"";"8 331 484";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"8 331 484"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006, 2005"
" - film_id : 23779"
