"Market";"Distributor";"Release date";"2009";"2010";"Total since 2009"
"AT";"Warner Bros. International";"03/12/2009";"260 492";"63 471";"323 963"
"CH";"Warner Bros. (CH)";"03/12/2009";"135 711";"44 255";"179 966"
"DE";"Warner Bros. (DE)";"03/12/2009";"3 340 379";"914 724";"4 255 103"
"RU";"Cascade Film (RU)";"15/04/2010";"";"242 871";"242 871"
"EUR EU";"";"";"3 600 871";"978 195";"4 579 066"
"EUR OBS";"";"";"3 736 582";"1 265 321";"5 001 903"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2010, 2009"
" - film_id : 33360"
