"Market";"Distributor";"Release date";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2006-2020";"Total since 2002"
"BE";"Cineart (BE)";"08/01/2003";"1 155";"47 123";"11 234";"4 610";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"64 122"
"BG";"Big Bang";"19/11/2004";"";"";"2 381";"625";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3 006"
"CH";"Eigenverleih / Propre Distribution (CH)";"03/10/2002";"272 802";"50 123";"851";"87";"";"20";"45";"";"182";"91";"324";"110";"17";"8";"52";"";"";"";"16";"865";"324 728"
"CZ";"Intersonic (CZ)";"31/10/2002";"14 177";"12 750";"594";"190";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"27 711"
"DE";"Highlight Communication";"03/10/2002";"480 517";"75 036";"20 866";"12 381";"";"";"";"";"";"";"";"";"388";"177";"69";"243";"114";"270";"40";"1 301";"590 101"
"DK";"Sandrew Metronome (DK)";"16/08/2002";"41 454";"1 593";"1 179";"399";"277";"216";"";"21";"83";"";"";"";"";"";"";"";"";"";"";"597";"45 222"
"EE";"BDG Film";"30/05/2003";"";"2 541";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2 541"
"ES";"Alta Classics";"29/08/2002";"140 404";"7 922";"1 120";"106";"104";"103";"";"43";"";"";"";"";"";"";"";"";"";"";"";"250";"149 802"
"FI";"Sandrew Metronome Distribution";"01/11/2002";"21 391";"3 464";"815";"95";"132";"80";"";"";"";"";"";"";"";"";"";"";"";"";"";"212";"25 977"
"FR";"Metropolitan Filmexport";"20/11/2002";"325 548";"57 633";"7 482";"";"1 134";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1 134";"391 797"
"GB";"Lionsgate (GB)";"12/04/2002";"2 441 074";"";"";"";"";"";"";"";"";"";"";"";"";"18";"28";"58";"";"";"556";"660";"2 441 734"
"GR";"Playtime Releasing EPE";"20/12/2002";"";"49 609";"1 743";"1 251";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"52 603"
"HU";"";"";"6 985";"766";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"7 751"
"IS";"";"";"4 105";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4 105"
"IT";"Lucky Red";"13/12/2002";"165 000";"251 002";"28 433";"2 456";"1 035";"885";"";"";"";"";"";"";"";"";"";"";"";"";"";"1 920";"448 811"
"LT";"Acme (LT)";"04/04/2003";"";"";"9";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"9"
"LU";"Cineart (LU)";"27/12/2002";"2 212";"5 727";"";"94";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"8 033"
"LV";"Acme (LV)";"";"";"";"80";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"80"
"NL";"A-Film (NL)";"31/10/2002";"31 822";"3 661";"654";"";"12";"142";"556";"";"15";"";"66";"";"";"";"";"";"";"";"";"791";"36 928"
"NO";"Sandrew Metronome (NO)";"11/10/2002";"52 147";"4 090";"";"";"771";"1 773";"17";"";"52";"";"";"";"";"";"";"";"";"";"";"2 613";"58 850"
"SE";"Sandrew Metronome";"25/10/2002";"86 680";"16 662";"238";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"1";"103 581"
"SI";"Cinemania Group";"11/11/2004";"";"";"7 581";"";"1 413";"15";"";"";"";"";"";"";"";"";"";"";"";"";"";"1 428";"9 009"
"TR";"Umut Sanat";"06/12/2002";"71 691";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"71 691"
"EUR EU";"";"";"3 758 419";"535 489";"84 409";"22 207";"4 107";"1 441";"557";"64";"98";"";"66";"";"388";"195";"97";"301";"114";"270";"596";"8 294";"4 408 818"
"EUR OBS";"";"";"4 159 164";"589 702";"85 260";"22 294";"4 878";"3 234";"619";"64";"332";"91";"390";"110";"405";"203";"149";"301";"114";"270";"612";"11 772";"4 868 192"
"US_CA";"";"";"";"5 396 923";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5 396 923"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006, 2005, 2004, 2003, 2002"
" - film_id : 18710"
