"Market";"Distributor";"Release date";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2014";"2015";"2017";"2019";"2020";"2007-2020";"Total since 2003"
"AT";"UIP (AT)";"05/02/2004";"";"137 493";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"137 493"
"BE";"";"";"";"71 945";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"71 945"
"BG";"Sunny";"02/04/2004";"";"1 635";"150";"";"";"";"";"";"";"";"";"";"";"";"";"";"1 785"
"CH";"UIP (CH)";"11/02/2004";"";"69 874";"";"";"";"";"";"";"88";"";"";"";"";"";"";"88";"69 962"
"CZ";"Bontonfilm";"26/02/2004";"";"9 007";"1 180";"";"";"";"";"";"";"";"";"";"";"";"";"";"10 187"
"DE";"Universal Pictures (DE)";"05/02/2004";"";"845 215";"";"";"";"";"";"";"";"";"1 154";"108";"";"40";"28";"1 330";"846 545"
"DK";"UIP (DK)";"09/04/2004";"";"15 919";"107";"350";"";"112";"";"";"";"";"";"";"";"";"";"112";"16 488"
"EE";"Forum Cinemas (EE)";"04/06/2004";"";"6 945";"";"";"";"";"";"8";"";"";"";"";"";"";"";"8";"6 953"
"ES";"";"";"";"224 796";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"224 796"
"FI";"Buena Vista (FI)";"09/04/2004";"";"33 048";"593";"";"";"";"";"";"";"";"";"";"";"";"";"";"33 641"
"FR";"Paramount Pictures (FR)";"24/03/2004";"";"206 926";"";"439";"";"";"";"";"";"";"";"";"";"";"";"";"207 365"
"GB";"UIP (GB)";"06/02/2004";"";"2 338 121";"";"";"";"";"";"";"";"";"7";"";"29";"";"";"36";"2 338 157"
"HU";"";"";"";"23 944";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"23 944"
"IS";"";"";"";"9 120";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"9 120"
"IT";"UIP (IT)";"02/04/2004";"";"125 856";"678";"";"";"";"";"";"";"";"302";"";"";"220";"";"522";"127 056"
"LV";"Baltic Cinema";"23/04/2004";"";"4 420";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4 420"
"NL";"";"";"";"128 064";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"128 064"
"NO";"UIP (NO)";"23/04/2004";"";"32 207";"";"257";"1 033";"";"";"";"";"";"";"";"";"";"";"1 033";"33 497"
"PL";"";"";"";"12 355";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"12 355"
"PT";"";"";"";"54 102";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"54 102"
"RO";"";"";"";"5 392";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5 392"
"SE";"";"";"";"41 238";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"41 238"
"SI";"Karantanija Cinemas";"15/04/2004";"";"";"";"";"";"91";"12";"148";"";"30";"";"";"";"";"";"281";"281"
"TR";"";"";"";"11 357";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"11 357"
"EUR EU";"";"";"";"4 286 421";"2 708";"789";"";"203";"12";"156";"";"30";"1 463";"108";"29";"260";"28";"2 289";"4 292 207"
"EUR OBS";"";"";"";"4 408 979";"2 708";"1 046";"1 033";"203";"12";"156";"88";"30";"1 463";"108";"29";"260";"28";"3 410";"4 416 143"
"US_CA";"";"";"13 305 477";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"13 305 477"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2017, 2015, 2014, 2012, 2011, 2010, 2009, 2008, 2007, 2006, 2005, 2004, 2003"
" - film_id : 20598"
