"Film";"Producing country";"Production year";"Directors";"Admissions EUR EU (since 1996)"
"V for Vendetta (EN)
V for Vendetta: At the IMAX (EN)
V for Vendetta: The IMAX Experience (EN)
V като Вендета (BG)
V jako Vendeta (CS)
V wie Vendetta (DE)
V for Vendetta (EL)
V de vendetta (ES)
V de venganza (ES)
V de venganza (ES)
V de Vendetta (ES)
V de Venganza (ES)
V de venganza (ES)
V nagu veritasu (ET)
V niinkuin verikosto (FI)
V för vendetta (FI)
V niin kuin verikosto (FI)
V pour Vendetta (FR)
V pour vendetta (FR)
V kao vendeta (HR)
O za osvetu (HR)
V Mint Vérbosszú (HU)
V mint vérbosszú (HU)
V per vendetta (IT)
V per Vendetta (IT)
V for Vendetta (JA)
V fô vendetta (JA)
V - tai Vendeta (LT)
V ir Vendeta (LV)
V Jak Vendetta (PL)
V jak Vendetta (PL)
W jak wendeta (PL)
V de vingança (PT)
V de Vingança (PT)
V de Vingança (PT)
V de la Vendetta (RO)
V значит Вендетта (RU)
V ako Vendeta (SK)
V kot vroče maščevanje (SL)
V kao vendeta (SR)
V för Vendetta (SV)
V - V for Vendetta (TR)
V значить вендетта (UK)
V for Vendetta (XX)
Vendetta üçün V (XX)
V for Vendetta (XX)
V pour vendetta (XX)
Vendetta (XX)
V de venganza (XX)";"GB INC / DE / US";"2005";"James McTeigue";"3 731 230"
"Das Wunder von Bern (DE)
The Miracle of Bern (EN)
Чудото от Берн (BG)
Miraklet I Bern (DA)
Miraklet i Bern (DA)
To thayma tis Bernis (EL)
To thavma tis Vernis (EL)
El milagro de Berna (ES)
Bernin ihme (FI)
Le miracle de Berne (FR)
A berni csoda (HU)
Il miracolo di Berna (IT)
Bernui gijeok (KO)
Cud w Bernie (PL)
O Milagre De Berna (PT)
O Milagre de Berna (PT)
O Milagre de Berna (PT)
Minunea de la Berna (RO)
Чудо Берна (RU)
Cudez v Bernu (SL)
Das Wunder von Bern (XX)
The Miracle of Bern (XX)";"DE";"2003";"Sönke Wortmann";"3 731 114"
"Fantastic Four (EN)
Fant4stic (EN)
The Fantastic Four (EN)
Untitled Fantastic Four Reboot (EN)
Фантастичната четворка (BG)
Fantastická ctyrka (CS)
Fantastic 4 (EL)
Τέσσερις Φανταστικοί (EL)
Los 4 fantásticos (ES)
Los 4 fantásticos (ES)
4 Fantásticos (ES)
Cuatro Fantásticos (ES)
Los 4 fantásticos (ES)
Fantastiline nelik (ET)
Les quatre fantastiques (FR)
Les 4 Fantastiques (FR)
Fantastična četvorka (HR)
Fantasztikus Négyes (HU)
Fantastic 4 - I fantastici quattro (IT)
Arba'a moufla'im (IW)
Fantastiskais Cetrinieks (LV)
Fantastyczna Czwórka (PL)
Quarteto Fantástico (PT)
Quarteto Fantástico (PT)
Fantastic 4 (RO)
Фантастическая четвёрка (RU)
Fantasticni stirje (SL)
Fantastik Dörtlü (TR)
Fant4stik (TR)
Фантастична четвiрка (UK)
Los 4 fantásticos (XX)
Bo Tu Sieu Dang (XX)
Fantastic Four (XX)
Les quatre fantastiques (XX)
Arba'a moufla'im (XX)";"US / DE / GB / CA";"2015";"Josh Trank";"3 721 950"
"Die Welle (DE)
The Wave (EN)
Вълната (BG)
Náš vůdce (CS)
Nás vudce (CS)
Bølgen (DA)
To kyma (EL)
Το Κύμα (EL)
La Ola (ES)
La ola. Una Pelicula de Dennis Gansel (ES)
La ola (ES)
La ola (ES)
La Vague (FR)
La vague (FR)
A Hullám (HU)
A hullám (HU)
L'onda (IT)
Fala (PL)
A Onda (PT)
Эксперимент 2: Волна (RU)
Náš vodca (SK)
Nás vodca (SK)
Val (SL)
Die Welle (SV)
Tehlikeli oyun (TR)
Хвиля (UK)
Die Welle (XX)
La ola (XX)
The Wave (XX)";"DE";"2008";"Dennis Gansel";"3 701 177"
"Resident Evil: Apocalypse (EN)
Resident Evil 2 (EN)
Resident Evil 2: Apocalypse (EN)
Resident Evil: Nemesis (EN)
Заразно зло: Апокалипсис (BG)
Resident Evil: Apokalypsa (CS)
Resident Evil: Apocalypsa (CS)
Resident Evil: Apocalypse (DE)
Resident Evil: Apokalypsi (EL)
Resident Evil: Αποκάλυψη (EL)
Resident Evil: Apocalipsis (ES)
Resident evil 2: Apocalipsis (ES)
Resident evil 2: Apocalipsis (ES)
Resident Evil 2: Apocalipsis (ES)
Resident Evil 2: Apocalipsis (ES)
Resident evil - Apokalüpsis (ET)
Resident Evil 2: Apokalipsa (HR)
Kaptar 2 (HU)
Kaptár 2. - Apokalipszis (HU)
Baiohazado 2: apokaripusu (JA)
Biohazard 2: Apocalypse (JA)
Absoliutus blogis 2: Apokalipse (LT)
Resident Evil: Apokalipsa (PL)
Resident Evil 2: Apokalipsa (PL)
Resident Evil - Apocalipse (PT)
Resident Evil 2: Apocalipse (PT)
Resident Evil: Apocalipse (PT)
Resident Evil 2: Ultimul razboi (RO)
Обитель зла 2: Апокалипсис (RU)
Resident Evil: Apokalypsa (SK)
Pritajeno zlo - Apokalipsa (SR)
Ölümcül Deney: Kıyamet (TR)
Ölümcül deney - Kiyamet (TR)
Оселя зла: Апокалiпсис (UK)
Resident Evil: Apocalypse (XX)
Resident evil - L'apocalypse (XX)
Resident Evil 2: Apocalipsis (XX)
Resident Evil 2: Apocalipsis (XX)";"CA / GB / DE";"2004";"Alexander Witt";"3 694 375"
"Bowling for Columbine (EN)
Bowling for Columbine (DE)
Akiryhtos polemos (EL)
Bowling For Columbine (ES)
Bowling for Columbine: Un país en armas (ES)
Bowling for Columbine (ES)
Masacre en Columbine (ES)
Relvastatud Ameerika (ET)
Bowling for Columbine (FI)
Bowling for Columbine (FR)
Ludi za oružjem (HR)
Kóla, puska, sültkrumpli (HU)
Bowling a Columbine (IT)
Zabawy Z Bronią (PL)
Zabawy z bronia (PL)
Bowling For Columbine (PT)
Tiros em Columbine (PT)
Bowling for Columbine (PT)
Cântec pentru un masacru (RO)
Боулинг для Колумбины (RU)
Bovling Za Columbine (SL)
Bowling za Columbine (SL)
Žeđ za nasiljem (SR)
Benim Cici Silahim (TR)
Benim cici silahim (TR)
Bowling for Columbine (XX)
Bowling à Columbine (XX)";"US / CA / DE";"2002";"Michael Moore";"3 642 935"
"Elizabeth: The Golden Age (EN)
The Golden Age (EN)
Елизабет: Златният век (BG)
Královna Alžběta: Zlatý věk (CS)
Elizabeth - Das goldene Königreich (DE)
Elizabeth: I hrysi epohi (EL)
Elizabeth: Η χρυσή εποχή (EL)
Elizabeth: La Edad De Oro (ES)
Elizabeth - La edad de oro (ES)
Elizabeth: La edad de oro (ES)
Elizabeth - La edad de oro (ES)
Elizabeth - La edad de oro (ES)
Elizabeth: Kuldajastu (ET)
Elisabet - Kultainen aikakausi (FI)
Elizabeth - L'âge d'or (FR)
Zlatne godine kraljice Elizabete (HR)
Elizabeth: Az aranykor (HU)
Elizabeth: Golden Age (JA)
Elizabete: Zelta Laikmets (LV)
Elizabeth: The Golden Age (NO)
Elizabeth: Złoty wiek (PL)
Elizabeth - A Idade De Ouro (PT)
Elizabeth: A Era de Ouro (PT)
Elizabeth - A Idade de Ouro (PT)
Elizabeth:Epoca De Aur (RO)
Золотой век (RU)
Král'ovná Alžbeta: Zlaty vek (SK)
Elizabeta: Zlata Doba (SL)
Elizabeta: Zlatno doba (SR)
Elizabeth - The Golden Age (SV)
Elizabeth: Altin çag (TR)
Eлизавета: Золотий Вiк (UK)
Elizabeth: The Golden Age (XX)
Elizabeth - L'âge d'or (XX)
Elizabeth - L'âge d'or (XX)
Elizabeth - La edad de oro (XX)";"GB / FR / DE";"2007";"Shekhar Kapur";"3 617 157"
"Lord of War (EN)
Цар на войната (BG)
Obchodník se smrtí (CS)
Händler des Todes (DE)
Lord of War - Händler des Todes (DE)
Kyriarhos tou paihnidiou (EL)
Κυρίαρχος του παιχνιδιού (EL)
El Señor de la guerra (ES)
El señor de la guerra (ES)
El señor de la guerra (ES)
El señor de la guerra (ES)
O señor da guerra (ES)
Hombre peligroso (ES)
Hombre peligroso (ES)
Sõjajumal (ET)
Le Seigneur de Guerre (FR)
Lord of War (FR)
Gospodar rata (HR)
Fegyvernepper (HU)
A fegyvernepper (HU)
Lord of War (IT)
Karo dievas (LT)
Kara kungs (LV)
Kara Kungs (LV)
Pan Życia I Śmierci (PL)
Pan życia i śmierci (PL)
Senhor da Guerra (PT)
O Senhor das Armas (PT)
O Senhor da Guerra (PT)
Traficantul De Arme (RO)
Lordul razboiului (RO)
Traficantul de arme (RO)
Оружейный барон (RU)
Obchodník so smrtou (SK)
Gospodar vojne (SL)
Gospodar rata (SR)
Savaş Tanrısı (TR)
Savas tanrisi (TR)
Збройний барон (UK)
Lord of War (XX)
Le seigneur de guerre (XX)
Lord of War (XX)";"US / DE";"2005";"Andrew Niccol";"3 506 975"
"Resident Evil: Extinction (EN)
Resident Evil 3 (EN)
Resident Evil 3: Extinction (EN)
Resident Evil: Afterlife (EN)
Заразно зло: Изтребване (BG)
Resident Evil: Extinction (DE)
Resident Evil: I exontosi (EL)
Resident Evil: Η εξόντωση (EL)
Resident Evil: Extincion (ES)
Resident Evil 3: Extinción (ES)
Resident Evil: Extinción (ES)
Resident evil 3: La extinción (ES)
Resident Evil 3: Extinción (ES)
Resident Evil 3: Extinción (ES)
Resident evil - La extinción (ES)
Resident evil - Väljasuremine (ET)
Resident Evil: Tuho (FI)
Resident evil: Tuho (FI)
Resident Evil: Extinction (FR)
Resident Evil 3: Istrebljenje (HR)
A kaptár 3. - Teljes pusztulás (HU)
Baiohazado III (JA)
Biohazard III (JA)
Absoliutus blogis: isnykimas (LT)
Resident Evil: Extinction (NO)
Resident Evil: Zagłada (PL)
Resident Evil 3: A Extinção (PT)
Resident Evil 3: Extinção (PT)
Resident Evil: Disparitia (RO)
Обитель зла 3: Вымирание (RU)
Resident Evil: Zánik (SK)
Nevidno zlo 3 (SL)
Pritajeno zlo - Istrebljenje (SR)
Ölümcül deney: Insanligin sonu (TR)
Оселя зла: Вимирання (UK)
Resident Evil: Extinction (XX)
Resident Evil: Extinción (XX)";"US / DE / FR / GB / AU";"2007";"Russell Mulcahy";"3 506 040"
"Der Kleine Eisbär (DE)
The Little Polar Bear (EN)
Der kleine Eisbär (DE)
Der kleine Eisbär - Der Kinofilm (DE)
El osito polar (ES)
Pikku Jääkarhu (FI)
Plume, le petit ours polaire (FR)
A kis jegesmedve (HU)
Piuma, il piccolo orsetto polare (IT)
De kleine ijsbeer (NL)
O Ursinho Polar (PT)
Ursuletul polar (RO)
Den lille isbjörnen (SV)
Der kleine Eisbär (XX)
Chliine Iisbär (XX)";"DE";"2001";"Thilo Rothkirch
Piet de Rycker";"3 483 757"
