"Film";"Producing country";"Production year";"Directors";"Admissions EUR EU (since 1996)"
"Monster (EN)
Чудовищe (BG)
Zrůda (CS)
Zruda (CS)
Monster (DE)
Monster (EL)
Monster - Basada en una historia real (ES)
Monster: Asesina en serie (ES)
Monster: Asesina en serie (ES)
Koletis (ET)
Monster - Aileen Wuornos (FI)
Monstre (FR)
Monster (FR)
Čudovište (HR)
A rém (HU)
Monstrs (LV)
Monstro (PT)
Monster: Desejo Assassino (PT)
Monstru (RO)
Монстр (RU)
Monštrum (SK)
Monstrum (SK)
Posast (SL)
Monstrum (SR)
Cani (TR)
Монстр (UK)
Monster (XX)
Monstre (XX)";"US / DE";"2003";"Patty Jenkins";"2 580 000"
"Mädchen, Mädchen (DE)
Girls on Top (EN)
Момичета, момичета (BG)
Holky to chtěj taky (CS)
Mädchen Mädchen! (DE)
Girls & Sex (FR)
Moj Prvi Orgazam! (HR)
Moj Prvi Orgazam! (HR)
Csajok a csúcson (HU)
Ragazze pom pom al top (IT)
Girls Girls (JA)
Dziewczyny, dziewczyny (PL)
Garotas Procuram... (PT)
Fete de fete (RO)
Девочки сверху (RU)
Baby to chcú tiež (SK)
Moj Prvi Orgazam! (SR)
Kommer snart... (SV)
Mädchen Mädchen! (XX)";"DE";"2001";"Dennis Gansel";"2 535 725"
"A Dangerous Method (EN)
Опасен метод (BG)
Nebezpečná metoda (CS)
A Dangerous Method (DA)
Eine dunkle Begierde (DE)
Mia epikindyni methodos (EL)
Μια επικίνδυνη μέθοδος (EL)
Un método peligroso (ES)
Ohtlik meetod (ET)
Une méthode dangereuse (FR)
A Dangerous Method (FR)
Opasna metoda (HR)
Veszélyes vágy (HU)
Pavojingas metodas (LT)
Bīstamā Metode (LV)
Niebezpieczna metoda (PL)
Um Método Perigoso (PT)
Опасный метод (RU)
Nevarna Metoda (SL)
Nevarna metoda (SL)
Opasan metod (SR)
A Dangerous Method (SV)
Tehlikeli İlişki (TR)
Tehlikeli Iliski (TR)
A Dangerous Method (XX)
The Talking Cure (XX)
Une méthode dangereuse (XX)
Shita mesukenet (XX)";"GB / DE / CA / CH";"2011";"David Cronenberg";"2 483 799"
"Joyeux Noël (FR)
Merry Christmas (EN)
Joyeux Noël (EN)
Joyeux Noel (EN)
Joyeux Noël (EN)
Joyeux Noël (EN)
Joyeux Noel (EN)
Весела Коледа (BG)
Šťastné a Veselé (CS)
En Dag Uden Krig (DA)
En dag uden krig (DA)
Merry Christmas (DE)
Kala Hristougenna (EL)
Καλά Χριστούγεννα (EL)
Feliz Navidad (ES)
Noche de paz (ES)
Noche de paz (ES)
Noche de paz (ES)
Noche de paz (ES)
Noche de paz (ES)
Noche de paz (ES)
Päivä ilman sotaa (FI)
En dag utan krig (FI)
Sretan Božić (HR)
Fegyverszünet karácsonyra (HU)
Joyeux Noel : una verita' dimenticata dalla storia (IT)
Joyeux Noël - Una verità dimenticata dalla storia (IT)
Joyeux Noël (JA)
Merry Christmas (KO)
Linksmu Kaledu (LT)
En dag uten krig (NO)
Boze Narodzenie (PL)
Wesolych Swiat (PL)
Feliz Natal (PT)
Craciun fericit (RO)
Craciun Fericit (RO)
Schastlivogo Rozhdestva (RU)
Счастливого Рождества (RU)
Št'astné a veselé (SK)
Vesel Božič (SL)
Vesel bozic (SL)
Srećan Božić (SR)
Fiendeland (SV)
Fiendeland - En dag utan krig (SV)
God jul (SV)
Ateskes (TR)
Щасливого Рiздва (UK)
Joyeux Noël (XX)
Joyeux Noël (XX)
Merry Christmas (XX)
Noche de paz (XX)
Joyeux Noël (XX)
Happy Christmas (XX)
Joyeux Noel (XX)";"FR / DE / GB / BE / RO";"2005";"Christian Carion";"2 473 604"
"Amour (FR)
Amour (EN)
Любов (BG)
Láska (CS)
Amour (DA)
Liebe (DE)
Amour (DE)
Agapi (EL)
Αγάπη (EL)
Amour (ES)
Amor (ES)
Amor (ES)
Armastus (ET)
Rakkaus (FI)
Ljubav (HR)
Szerelem (HU)
Ai, Amûru (JA)
Meilė (LT)
Mīlestība (LV)
Љубов (MK)
Ljubov (MK)
Miłosć (PL)
Milosc (PL)
Amor (PT)
Iubire (RO)
Любовь (RU)
Laska (SK)
Ljubezen (SL)
Ljubav (SR)
Amour (SV)
Ask (TR)
Любов (UK)
L'Amour (XX)
Amour (XX)
Amour (XX)
Ahava (XX)
Amour (XX)";"FR / DE / AT";"2012";"Michael Haneke";"2 467 578"
"Basic Instinct 2 (EN)
Basic Instinct 2: Risk Addiction (EN)
Risk Addiction (EN)
Първичен инстинкт 2 (BG)
Základní instinkt 2 (CS)
Iskoldt begær 2 (DA)
Basic Instinct: Neues Spiel für Catherine Tramell (DE)
Basic Instinct - Neues Spiel für Catherine Tramell (DE)
Vasiko enstikto 2 (EL)
Instinto Basico 2 Adiccion al riesgo (ES)
Bajos instintos 2 (ES)
Instinto básico 2. Adicción al riesgo (ES)
Bajos instintos 2 (ES)
Bajos instintos 2 (ES)
Ürginstinkt 2 (ET)
Basic Instinct 2 (FI)
Basic Instinct 2 (FR)
Elemi ösztön 2. (HU)
Basic Instinct 2 (IT)
Kôri no bishô 2 (JA)
Esminis instinktas 2: rizikingas potraukis (LT)
Pamatinstinkts 2 (LV)
Nagi Instynkt 2 (PL)
Nagi instynkt 2 (PL)
Instinto fatal 2 (PT)
Instinto Selvagem 2 (PT)
Instinto Fatal 2 (PT)
Instinct Primar 2 (RO)
Основной инстинкт 2 (RU)
Základný inštinkt 2 (SK)
Prvinski nagon 2 (SL)
Niske strasti 2 (SR)
Temel içgüdü 2 (TR)
Basic Instinct 2 (XX)
Basic Instinct 2 (XX)
Bajos instintos 2 - adictos al riesgo (XX)
Instinct bsisy 2 (XX)
Gharizeye Asli 2 (XX)
Bajos instintos 2: adictos al riesgo (XX)";"US / GB INC / DE";"2006";"Michael Caton-Jones";"2 460 222"
"We Were Soldiers (EN)
The Lost Patrol (EN)
We Were Soldiers Once... and Young (EN)
Бяхме войници (BG)
Údolí stínů (CS)
Údolí stínu (CS)
Wie waren Helden (DE)
Wir waren Helden (DE)
Wir waren Helden (DE)
Imastan kapote stratiotes (EL)
Ήμασταν κάποτε στρατιώτες (EL)
Cuando eramos soldados (ES)
Fuimos soldados (ES)
Cuando éramos soldados (ES)
Fuímos heroes (ES)
Me olime sodurid (ET)
Olimme sotilaita (FI)
Nous étions soldats (FR)
Bili smo vojnici (HR)
Katonák voltunk (HU)
Fino all'ultimo (IT)
We Were Soldiers - Fino all'ultimo uomo (IT)
Once and Forever (JA)
Mes buvome kariai (LT)
Byliśmy żołnierzami (PL)
Bylismy zolnierzami (PL)
Fomos Heróis (PT)
Fomos Soldados... (PT)
Am fost candva soldati ...si tineri (RO)
Am fost cîndva soldati... si tineri (RO)
Мы были солдатами (RU)
Údolie tieňov (SK)
Bili smo vojnici (SR)
Bir zamanlar askerdik (TR)
Ми були солдатами (UK)
We Were Soldiers (XX)
Nous étions soldats (XX)";"US / DE";"2002";"Randall Wallace";"2 457 982"
"Anatomie (DE)
Anatomy (EN)
Анатомия (BG)
Anatomi (DA)
Mathima anatomias (EL)
Anatomia (ES)
Anatomía (ES)
Anatomía (ES)
Anatomia (FI)
Anatomie (FR)
Anatomija (HR)
Anatómia (HU)
Anatomy (IT)
Anatomia (PL)
Anatomia (PT)
Anatomia (PT)
Анатомия (RU)
Anatomija (SR)
Anatomi (SV)
Anatomie (XX)
Anatomy (XX)";"DE";"2000";"Stefan Ruzowitzky";"2 449 369"
"Dieses bescheuerte Herz (DE)
This Crazy Heart (EN)
Un corazón extraordinario (ES)
Az a hülye szív (HU)
Conta su di me (IT)
Este Coração Traiçoeiro (PT)
Это чертово сердце (RU)
Dieses bescheuerte Herz (XX)
This Crazy Heart (XX)";"DE";"2017";"Marc Rothemund";"2 443 208"
"Le dernier trappeur (FR)
The Last Trapper (EN)
Der letzte Trapper (DE)
O teleftaios kynigos (EL)
El ultimo cazador (ES)
El último cazador (ES)
Viimeinen ansastaja (FI)
Az utolsó prémvadász (HU)
Il grande nord (IT)
Il grande Nord (IT)
O último caçador (PT)
O Último Caçador (PT)
Последний зверолов (RU)
Poslednji lovec (SL)
Den siste pälsjägaren (SV)
Le dernier trappeur (XX)
The Last Trapper (XX)";"FR / CA / DE / IT";"2004";"Nicolas Vanier";"2 427 471"
"Nirgendwo in Afrika (DE)
Nowhere in Africa (EN)
Никъде в Африка (BG)
Nikde v Africe (CS)
Fortabt i Afrika (DA)
Pouthena stin Afriki (EL)
En Un Lugar de africa (ES)
En un lugar de África (ES)
Ningún lugar en África (ES)
En un lugar de África (ES)
En algún lugar de África (ES)
Jossain Afrikassa (FI)
Någonstans i Afrika (FI)
Nowhere in Africa (FR)
Nulle part en Afrique (FR)
Hontalanul Afrikában (HU)
Nowhere in Africa (IT)
Love in Africa (KO)
Ingensteds i Afrika (NO)
Nigdzie W Afryce (PL)
Nigdzie w Afryce (PL)
Algurs em Africa (PT)
Lugar Nenhum na África (PT)
Algures em África (PT)
Nicaieri in Africa (RO)
Нигде в Африке (RU)
Nikde v Afrike (SK)
Nikjer v Afriki (SL)
Ingenstans i Afrika (SV)
Нiде в Африцi (UK)
Nirgendwo in Afrika (XX)
Nowhere in Africa (XX)";"DE";"2001";"Caroline Link";"2 420 112"
"Hjælp, jeg er en fisk (DA)
Help!, I'm a Fish (EN)
Help! I'm a Fish (EN)
A Fish Tale (EN)
Помощ, аз съм риба (BG)
Hilfe, ich bin ein Fisch (DE)
Hilfe! Ich bin ein Fisch (DE)
Voithia, eimai psari (EL)
Voitheia! Eimai psari (EL)
Socorro! Soy un pez (ES)
Mamá ¡soy un pez! (ES)
Mamá, soy un pez (ES)
¡Socorro, soy un pez! (ES)
Mamá, soy un pez (ES)
Mamá, soy un pez (ES)
Apua! Olen kala (FI)
Gloups ! Je suis un poisson (FR)
Gloups! Je suis un poisson (FR)
Upomoć, ja sam riba! (HR)
Segítség! Hal Lettem! (HU)
Segítség, hal lettem! (HU)
Aiuto! Sono un pesce (IT)
Blub, ik ben een vis ! (NL)
Blub, ik ben een vis! (NL)
Hjelp! Jeg er en fisk (NO)
Ratunku! Jestem Rybką (PL)
Ratunku, jestem rybka! (PL)
Socorro, sou um peixe (PT)
Mamãe, Virei um Peixe! (PT)
Socorro, Eu sou um Peixe! (PT)
Socorro, Sou Um Peixe (PT)
Ajutor, sunt un pestisor (RO)
Помогите! Я рыба (RU)
Hjälp! Jag är en fisk (SV)
Imdat Ben Bir Baligim (TR)
Hjælp! Jeg er en fisk (XX)
Blub, ik ben een vis! (XX)
Gloups! Je suis un poisson (XX)
Help! I'm a Fish (XX)";"DK / DE / IE";"2000";"Stefan Fjeldmark
Michael Hegner
Greg Manwaring";"2 409 180"
"Soul Kitchen (EN)
Храна За Душата (BG)
Храна за душата (BG)
Soul Kitchen (DE)
Kouzina me psyhi (EL)
Soul Kitchen (EL)
Κουζίνα με Ψυχή (EL)
Cocina del alma (ES)
Soul Kitchen (ES)
Soul Kitchen (FR)
Soul Kitchen (HU)
Virtuvė sielai (LT)
Virtuve sielai (LT)
Virtuve Dvēselei (LV)
Soul Kitchen (PT)
Taverna Soul Kitchen (RO)
Душевная кухня (RU)
Kuhinja Z Duso (SL)
Kuhinja soula (SR)
Aska ruhunu kat (TR)
Душевна кухня (UK)
Soul Kitchen (XX)
Restooran e Soul (XX)";"DE";"2009";"Fatih Akin";"2 378 072"
"Das weiße Band (DE)
The White Ribbon (EN)
Бялата Лента (BG)
Бялата лента (BG)
Bílá stuha (CS)
Det Hvide Bånd (DA)
Det hvide bånd (DA)
Das weiße Band - Eine deutsche Kindergeschichte (DE)
I lefki kordela (EL)
Η λευκή κορδέλα (EL)
La cinta blanca (ES)
Valge pael (ET)
Det vita bandet (FI)
Valkoinen nauha (FI)
Valkoinen nauha - Saksalainen lastentarina (FI)
Le ruban blanc (FR)
A fehér szalag (HU)
Il nastro bianco (IT)
Shiroi Ribon (JA)
Baltas Kaspinas (LT)
Baltasis kaspinas (LT)
Baltā lente (LV)
Det hvite båndet (NO)
Biała wstążka (PL)
Biala wstazka (PL)
O Laço Branco (PT)
A Fita Branca (PT)
Panglica Alba (RO)
Panglica alba (RO)
Белая лента (RU)
Biela stuha (SK)
Beli Trak (SL)
Beli trak (SL)
Bela traka (SR)
Det vita bandet (SV)
Beyaz bant (TR)
Бiла стрiчка (UK)
Das weiße Band - Eine deutsche Kindergeschichte (XX)
Le ruban blanc (XX)
Seret Lavan (XX)
La cinta blanca (XX)
The White Ribbon (XX)
The White Tape or the Teacher's Tale (XX)";"DE / AT / FR / IT";"2009";"Michael Haneke";"2 371 168"
"Bibi Blocksberg (DE)
Bibi Blocksberg (EL)
Bibi, la hechicera (ES)
Bibi, la pequeña bruja (ES)
Bibi Blocksberg, l'apprentie sorcière (FR)
Bibi Blocksberg és a varázsgömb (HU)
Bibi Blocksberg (XX)";"DE";"2002";"Hermine Huntgeburth";"2 363 127"
"Das Experiment (DE)
The Experiment - Black Box (EN)
Das Experiment (EN)
The Experiment (EN)
Експериментът (BG)
Experiment (CS)
Experimentet (DA)
Eksperimentet (DA)
Black Box (DE)
To peirama (EL)
Το Πείραμα (EL)
El experimento (ES)
El Experimento (ES)
Eksperiment (ET)
Experiment - Ihmiskoe (FI)
L'expérience (FR)
Eksperiment (HR)
A kisérlet (HU)
A kísérlet (HU)
Cercasi cavie umane (IT)
The Experiment - Cercasi cavie umane (IT)
Es (JA)
Eksperimentet (NO)
Eksperyment (PL)
A Experiência (PT)
O Experimento (PT)
A Experiência (PT)
Эксперимент (RU)
Eksperiment (SL)
Eksperiment (SR)
Experimentet (SV)
Deney (TR)
Експеримент (UK)
Das Experiment (XX)
L'expérience (XX)
L'expériment (XX)
The Experiment (XX)";"DE";"2001";"Oliver Hirschbiegel";"2 340 176"
"Die Wilden Kerle 3 (DE)
Die wilden Kerle 3 - Die Attacke der biestigen Biester! (DE)
Dwk 3 (DE)
Las Fieras F.C. - El Ataque De Las Vampiresas (ES)
Las fieras F.C. 3 ¡El ataque de las vampiresas! (ES)
A vad banda 3. (HU)
Csak az a foci 3. (HU)
La tribù del pallone - Tutti per uno (IT)
De wilde Bende (NL)
Os Rebeldes da Bola 3 (PT)
Die Wilden Kerle 3 (XX)";"DE";"2006";"Joachim Masannek";"2 333 269"
"Hui Buh (DE)
Hui Buh: The Castle Ghost (EN)
Hui Buh - Das Schlossgespenst (DE)
Uibu' - Fantasmino Fifone (IT)";"DE";"2005";"Sebastian Niemann";"2 326 194"
"Van Wilder (EN)
National Lampoon's Van Wilder (EN)
Van Wilder: Party Liaison (EN)
National Lampoon's Van Wilder: Party Liaison (EN)
Ван Уайлдър (BG)
Sexy párty (CS)
Van the man (DA)
Van the Man (DA)
Party Animals - Wilder geht's nicht! (DE)
Party Animals - ... wilder geht's nicht! (DE)
Party Animals - ... wilder geht's nicht! (DE)
Van Wilder: I psyhi tou party (EL)
Van Wilder: Η Ψυχή του Πάρτι (EL)
Animal Party (ES)
Van Wilder: Animal Party (ES)
Una fiesta salvaje (ES)
Peoloom Van Wilder (ET)
Van Wilder: Party Animal (FI)
National Lampoon présente Van Wilder (FR)
American Party (FR)
Tulum film (HR)
A Bulizservíz (HU)
Buliszerviz (HU)
Maial college (IT)
Maial College (IT)
Van Vailderio vakarėlis (LT)
Van Wilder: Party Animal (NL)
Van the Man (NO)
Van Wilder: Wieczny student (PL)
Wieczny student (PL)
O Dono da Festa (PT)
Van Wilder - Sempre a Abrir (PT)
Bal cu scandal (RO)
Король вечеринок (RU)
Sexy párty (SK)
Pati manijak (SR)
Van Vajlder (SR)
Van the Man (SV)
Король вечiрок (UK)
Van Wilder (XX)
National Lampoon présente Van Wilder (XX)
Van Wilder: Party Liaison (XX)";"US / DE";"2002";"Walt Becker";"2 321 996"
"Resident Evil: Retribution (EN)
Re5ident Evil: Retribution (EN)
Resident Evil 5 (EN)
Resident Evil 5: Retribution (EN)
Заразно зло: Възмездие (BG)
Resident Evil : Odveta (CS)
Resident Evil: Retribution (DE)
Resident Evil: I timoria (EL)
Resident Evil: Η τιμωρία (EL)
Resident Evil 5: La venganza (ES)
Resident Evil 5: Venganza (ES)
Resident Evil: Venganza (ES)
Resident Evil 5: La Venganza (ES)
Resident Evil: Karistus (ET)
Resident Evil: Le Châtiment (FR)
Resident Evil: Osveta (HR)
A kaptár: Megtorlás (HU)
Baiohazado: ritoribyushon (JA)
Baiohazado V: ritoribyushon (JA)
Resident Evil: Retribution (JA)
Resident Evil V: Retribution (JA)
Absoliutus blogis: Atpildas 3D (LT)
Nezūdošais Ļaunums 5: Atmaksa 3D (LV)
Resident Evil: Retrybucja (PL)
Resident Evil 5 - Retribuição (PT)
Resident Evil: Retaliação (PT)
Resident Evil 5: Retribuição (PT)
Resident Evil: Rasplata (RO)
Обитель зла: Возмездие (RU)
Resident Evil : Odveta (SK)
Nevidno Zlo: Mačevanje (SL)
Pritajeno zlo - Osveta (SR)
Resident Evil: Retribution (SV)
Resident Evil 5: Intikam (TR)
Оселя зла: Вiдплата (UK)
Resident Evil: Retribution (XX)
Resident Evil: Le Châtiment (XX)
Ha'oyev she'bifnim 5: ha'gmul (XX)
Re5ident Evil: Retribution (XX)";"CA / US / DE / FR";"2012";"Paul W.S. Anderson";"2 320 729"
"Männerherzen (DE)
Men in the City (EN)
Férfiszívek (HU)
Faceci w wielkim miescie (PL)
Мужчины в большом городе (RU)
Moska srca (SL)
Männerherzen (XX)
Men in the City (XX)";"DE";"2009";"Simon Verhoeven";"2 308 820"
"Point Break (EN)
Критична точка (BG)
Bod zlomu (CS)
Point Break (DE)
Σπάσε τα όρια σου (EL)
Punto de quiebre (ES)
Point break: Sin límites (ES)
Point Break (Sin límites) (ES)
Point Break (FR)
Pakleni val (HR)
Holtpont (HU)
Nekoudat pritza (IW)
X-Mission (JA)
Luzio Taskas (LT)
Lužio taškas (LT)
Point Break - Na fali (PL)
Caçadores de Emoção: Além do Limite (PT)
Point Break - Caçadores de Emoções (PT)
La limita extrema (RO)
На гребне волны (RU)
Bod zlomu (SK)
Zločin na talasima (SR)
Point Break (TR)
Point Break (XX)
Extrême limite (XX)
Point Break (XX)
Nekoudat pritza (XX)";"US / DE / CN";"2015";"Ericson Core";"2 296 823"
"Role Models (EN)
Big Brothers (EN)
Little Big Men (EN)
Пичове за пример (BG)
Velcí bratri (CS)
Role Models (DA)
Vorbilder ?! (DE)
Vorbilder?! (DE)
Paradeigma pros mimisi (EL)
Παράδειγμα προς μίμηση (EL)
Un par nada ejemplar (ES)
Mal Ejemplo (ES)
Mal ejemplo (ES)
Mal ejemplo (ES)
Mal ejemplo (ES)
Eeskujud (ET)
Roolimallit (FI)
Les grands frères (FR)
Mentori Za Nevolje (HR)
Mentori za nevolje (HR)
Példátlan példaképek (HU)
Vyriškas auklejimas (LT)
Paraugdžeki (LV)
Paraugdzeki (LV)
Rollemodeller (NO)
Wyrolowani (PL)
Faça o Que eu Digo, Não Faça o Que eu Faço (PT)
Modelos Nada Correctos (PT)
Prieteni Model (RO)
Prieteni model (RO)
Взрослая неожиданность (RU)
Modeli (SL)
Uzori (SR)
Dedigimi Yap, Yaptigimi Yapma (TR)
Дорослi забави (UK)
Role Models (XX)
Des gars modèles (XX)";"US / DE";"2008";"David Wain";"2 272 644"
"Hexe Lilli: Der Drache und das magische Buch (DE)
Lilli the Witch – The Dragon and the Magic Book (EN)
Hexe Lilli (DE)
Kika Superbruja y el Libro de Hechizos (ES)
Kika Superbruja y el libro de hechizos (ES)
Väike nõid Lilli 1. Draakon ja Võluraamat (ET)
Väike nõid Lilli: Draakon ja võluraamat (ET)
Lili la petite sorcière, le dragon et le livre magique (FR)
Maga Martina e il libro magico del Draghetto (IT)
Heksje Lilly (NL)
Heksje Lilly - De draak en het magische boek (NL)
Czarodziejka Lili: Smok i magiczna księga (PL)
Czarodziejka Lili: Smok i magiczna ksiega (PL)
A Bruxinha e o Dragão (PT)
Hexe Lilli: Der Drache und das magische Buch (XX)
Lili la petite sorcière - Le dragon et le livre magique (XX)
Lilly the Witch: The Dragon and the Magic Book (XX)";"DE / AT / ES / IT";"2009";"Stefan Ruzowitzky";"2 257 458"
"Niko 2: Lentäjäveljekset (FI)
Little Brother, Big Trouble: A Christmas Adventure (EN)
Niko 2 - Little Brother, Big Trouble (EN)
Niko 2 - Family Affairs (EN)
The Magic Reindeer (EN)
Нико 2: Малко Братче, Големи Проблеми (BG)
Нико 2: Семейни афери (BG)
Niko 2 (CS)
Niko 2: De flyvende brødre (DA)
Niko 2 - Kleines Rentier, Großer Held (DE)
Niko 2. Hermano pequeño, problema grande (ES)
Niko 2 (ES)
Niko, un reno travieso (ES)
Niko ja lendavad põhjapõdrad (ET)
Niko 2 - Flygarbröderna (FI)
Niko le petit renne (FR)
Niko 2: Mali brat, velika frka (HR)
Niko: Kistesó nagy bajban (HU)
Niko 2: Bræðurnir fljúgandi (IS)
Niko e Johnny - Due renne nei guai (IT)
Niko. Piedzīvojumi Ziemassvētkos (LV)
Niko 2 (ME)
Мал брат голема неволја (MK)
Niko 2 - Familiezaken (NL)
Maly brat, duzy klopot (PL)
Maly brat, duzy klopot: Swiateczna przygoda (PL)
Renifer Niko 2 (PL)
Renifer Niko 2: Maly brat, duzy klopot (PL)
Renifer Niko i brat (PL)
Renifer Niko ratuje brata (PL)
Niko e o Pequeno Traquinas (PT)
Нико 2 (RU)
Jelenček Niko 2 (SL)
Niko 2 (SR)
Niko 2: Mali brat, velika nevolja (SR)
Niko 2: Küçük Kardes, Tatli Bela (TR)
Niko: ah katan, ahrayout gdola (XX)";"FI / DE / DK / IE";"2012";"Jørgen Lerdam
Kari Juusonen";"2 224 070"
"The International (EN)
Интернешънъл (BG)
The International (DA)
The International (DE)
The International (EL)
Agente internacional (ES)
The International: Dinero en la sombra (ES)
Agente Internacional (ES)
Rahvusvaheline (ET)
The International (FI)
L'enquête (FR)
L'enquête - The international (FR)
The International (HR)
Međunarodna prijevara (HR)
A bűn árfolyama (HU)
The International (IT)
Za banku: Ochita kyôzô (JA)
Starptautiskie Darījumi (LV)
The International (NO)
The International - a organização (PT)
Trama Internacional (PT)
The International - A Organização (PT)
The International:Puterea Banului (RO)
The international - Puterea banului (RO)
Интернэшнл (RU)
Mednarodna Prevara (SL)
The International: Mednarodna prevara (SL)
Međunarodna prevara (SR)
The International (SV)
Uluslararasi (TR)
Iнтернацiональ (UK)
The International (XX)
L'international (XX)
Agente internacional (XX)";"US / DE / GB";"2009";"Tom Tykwer";"2 218 280"
"Ooops! Noah is Gone... (EN)
Two by Two (EN)
All Creatures Big and Small (EN)
Two by Two: God's Little Creatures (EN)
Ой, къде изчезна Ной! (BG)
Uuups! Noe zdrhnul... (CS)
Ooops! Die Arche ist weg... (DE)
Ooops! El arca nos dejó (ES)
¡Upsss! ¿Dónde está Noé...? (ES)
Uuups! El Arca nos dejó (ES)
Uyyy! Dónde está el arca? (ES)
Oups! J'ai Rate l'Arche... (FR)
Oups! J'ai raté l'arche... (FR)
Ups! Noa je otisao... (HR)
Irány a bárka! (HU)
Ooops! Ho perso l'arca... (IT)
Ooops! Boul higgia ha'maboul (IW)
Waarudo Endo! Finii to Noa no Hakobune (JA)
Oi, laivas dingo! (LT)
Beestenboot (NL)
Ups! Hvor er Arken? (NO)
Ups! Arka odpłynęła (PL)
Upsss! Lá Se Foi a Arca... (PT)
Epa! Cadê o Noé? (PT)
Ups! Am pierdut arca (RO)
Упс... Ной уплыл! (RU)
Ups, ode Noa! (SR)
Ooops! Var är Arken? (SV)
Kahraman Miçolar (TR)
Ooops! Noah Is Gone... (XX)
Nuo Ya Fang Zhou Piao Liu Ji (XX)
Ooops! Boul higgia ha'maboul (XX)";"DE / BE / LU / IE";"2015";"Toby Genkel
Sean McCormack";"2 192 328"
