"Market";"Distributor";"Release date";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2012-2020";"Total since 2008"
"AT";"Luna Film";"14/11/2008";"82 126";"66 466";"2 004";"855";"";"";"";"";"";"";"";"";"";"";"151 451"
"BE";"Alternative Films (BE)";"27/02/2008";"1 045 240";"22 080";"6 489";"1 688";"";"";"";"";"490";"332";"";"265";"";"1 087";"1 076 584"
"CH";"Pathé Films (CH)";"27/02/2008";"692 071";"60 440";"1 065";"464";"311";"95";"20";"";"75";"4";"93";"16";"19";"633";"754 673"
"DE";"Prokino Filmverleih";"30/10/2008";"1 188 454";"1 103 625";"39 066";"7 473";"";"";"1 442";"1 863";"1 214";"765";"1 165";"30";"61";"6 540";"2 345 158"
"DK";"Camera Film";"12/06/2009";"";"3 710";"384";"104";"26";"";"";"";"";"";"";"";"";"26";"4 224"
"ES";"Wanda Vision";"09/01/2009";"";"582 540";"566";"1 601";"38";"";"";"";"291";"88";"54";"";"";"471";"585 178"
"FR";"Pathé Distribution (FR)";"27/02/2008";"20 449 865";"";"38 474";"";"";"";"";"";"";"";"";"";"602";"602";"20 488 941"
"GB";"Pathé Distribution (GB)";"28/03/2008";"29 837";"";"";"";"";"";"";"";"";"";"";"";"";"";"29 837"
"GR";"Audiovisual";"16/04/2009";"";"";"133";"";"";"";"";"";"";"";"";"";"";"";"133"
"HR";"Blitz Film & Video Distribution (HR)";"";"";"3 542";"50";"";"";"";"";"";"";"";"";"";"";"";"3 592"
"HU";"Best Hollywood";"30/04/2009";"";"30 427";"1 840";"169";"";"";"";"";"";"";"";"";"";"";"32 436"
"IE";"Pathé Distribution (IE)";"07/04/2008";"1 167";"";"";"";"";"";"";"";"";"";"";"";"";"";"1 167"
"IT";"Medusa Film";"31/10/2008";"509 566";"23 361";"814";"172";"";"";"";"";"";"";"";"";"";"";"533 913"
"LU";"Alternative Film (LU)";"27/02/2008";"41 777";"";"";"";"";"";"";"";"";"";"";"";"";"";"41 777"
"NL";"Paradiso Entertainment (NL)";"11/09/2008";"65 106";"21 566";"1 038";"381";"134";"148";"63";"";"";"";"";"";"";"345";"88 436"
"NO";"Fidalgo";"03/07/2009";"";"14 268";"11";"";"";"";"";"";"";"";"";"";"";"";"14 279"
"PL";"Hagi Film";"06/06/2008";"97 802";"7 130";"1 040";"802";"";"";"";"";"";"";"";"";"";"";"106 774"
"PT";"CLMC Multimedia";"18/09/2008";"38 741";"1 159";"";"";"";"";"";"";"";"";"";"";"";"";"39 900"
"RU";"Volga (RU)";"06/05/2010";"";"";"40 033";"";"";"";"";"";"";"";"";"";"";"";"40 033"
"EUR EU";"";"";"23 549 681";"1 865 606";"91 898";"13 245";"198";"148";"1 505";"1 863";"1 995";"1 185";"1 219";"295";"663";"9 071";"25 529 501"
"EUR OBS";"";"";"24 241 752";"1 940 314";"133 007";"13 709";"509";"243";"1 525";"1 863";"2 070";"1 189";"1 312";"311";"682";"9 704";"26 338 486"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008"
" - film_id : 29310"
