"Market";"Distributor";"Release date";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2016-2018";"Total since 2012"
"AT";"Warner Bros. (AT)";"03/08/2012";"12 103";"";"";"";"";"";"";"";"12 103"
"BE";"Alternative Films (BE)";"25/04/2012";"170 832";"";"";"";"";"";"";"";"170 832"
"CH";"Pathé Films (CH)";"25/04/2012";"89 849";"404";"69";"40";"";"";"";"";"90 362"
"DE";"Warner Bros. (DE)";"02/08/2012";"98 566";"";"563";"123";"188";"232";"110";"530";"99 782"
"ES";"Vertigo Films (ES)";"14/09/2012";"151 044";"3 940";"";"";"";"";"";"";"154 984"
"FR";"Pathé Distribution (FR)";"25/04/2012";"3 340 231";"";"";"";"";"";"";"";"3 340 231"
"GR";"Filmtreint (Filmtrade)";"26/07/2012";"9 249";"235";"158";"39";"";"";"";"";"9 681"
"HU";"Vertigo (HU)";"02/05/2013";"";"8 697";"152";"";"";"";"";"";"8 849"
"IT";"Eagle Pictures";"06/07/2012";"165 201";"2 306";"43";"";"";"";"";"";"167 550"
"LU";"Alternative Film (LU)";"25/04/2012";"9 795";"";"";"";"";"";"";"";"9 795"
"NL";"Lumiere Publishing (NL)";"05/07/2012";"16 854";"152";"";"";"";"";"";"";"17 006"
"NO";"SF Norway";"21/09/2012";"443";"";"";"";"";"";"";"";"443"
"PT";"ZON Lusomundo Audiovisuais";"28/06/2012";"1 626";"";"";"";"";"";"";"";"1 626"
"SE";"SF Film (SE)";"27/07/2012";"5 836";"318";"";"";"";"";"";"";"6 154"
"EUR EU";"";"";"3 981 337";"15 648";"916";"162";"188";"232";"110";"530";"3 998 593"
"EUR OBS";"";"";"4 071 629";"16 052";"985";"202";"188";"232";"110";"530";"4 089 398"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2018, 2017, 2016, 2015, 2014, 2013, 2012"
" - film_id : 39214"
