"Market";"Distributor";"Release date";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2020";"2013-2020";"Total since 2009"
"AT";"Warner Bros. (AT)";"13/08/2009";"64 737";"";"";"";"";"";"";"";"";"";"64 737"
"BE";"Kinepolis Film Distribution (BE)";"22/04/2009";"71 922";"";"";"";"";"";"";"";"";"";"71 922"
"BG";"";"";"21 123";"631";"";"";"";"";"";"";"";"";"21 754"
"CH";"Warner Bros. (CH)";"22/04/2009";"81 992";"312";"";"";"";"";"";"";"";"";"82 304"
"CZ";"Film Europe (CZ)";"25/06/2009";"89 313";"3 634";"243";"31";"";"";"";"";"";"";"93 221"
"DE";"Warner Bros. (DE)";"13/08/2009";"518 929";"";"";"";"";"";"";"";"";"";"518 929"
"DK";"SF Film (DK)";"11/12/2009";"55 226";"74 904";"";"";"";"";"";"";"";"";"130 130"
"EE";"MTÜ Otaku (EE)";"22/12/2009";"";"6 954";"";"";"";"";"";"";"30";"30";"6 984"
"ES";"Warner Bros. Entertainment Espana";"22/05/2009";"295 320";"315";"";"";"";"";"";"";"";"";"295 635"
"FI";"SF Film Finland [FS Film]";"06/11/2009";"21 599";"5 144";"";"";"";"";"";"";"";"";"26 743"
"FR";"Warner Bros. (FR)";"22/04/2009";"1 042 239";"";"";"";"";"";"";"";"";"";"1 042 239"
"GB";"StudioCanal (GB)";"31/07/2009";"482 819";"65";"";"";"";"88";"29";"";"";"117";"483 001"
"GR";"Audiovisual";"03/06/2010";"";"35 006";"250";"";"";"";"";"";"";"";"35 256"
"HR";"Continental Film (HR)";"";"15 506";"607";"";"";"";"";"";"";"";"";"16 113"
"HU";"Forum-Hungary";"25/06/2009";"54 487";"";"";"";"";"";"";"";"";"";"54 487"
"IT";"Warner Bros. (IT)";"29/05/2009";"215 131";"552";"";"";"";"";"";"";"";"";"215 683"
"LT";"Incognito Films";"05/03/2010";"";"16 153";"108";"";"";"";"";"";"";"";"16 261"
"LV";"Incognito Films";"";"";"6 507";"96";"";"";"";"";"";"";"";"6 603"
"NL";"Entertainment One Benelux";"28/05/2009";"111 016";"3 328";"83";"50";"";"";"";"";"";"";"114 477"
"NO";"SF Norway";"28/08/2009";"25 726";"174";"2";"";"";"";"";"";"";"";"25 902"
"PL";"SPInka";"26/06/2009";"239 258";"";"";"";"";"";"";"";"";"";"239 258"
"PT";"ZON Lusomundo Audiovisuais";"25/06/2009";"26 961";"";"";"";"";"";"";"";"";"";"26 961"
"RO";"Ro-Image 2000";"17/07/2009";"16 911";"487";"";"";"";"";"";"";"";"";"17 398"
"RU";"Luxor";"08/10/2009";"";"";"";"";"";"";"";"58";"";"58";"58"
"SE";"Svensk Filmindustri";"18/09/2009";"63 059";"4 346";"40";"2";"";"";"";"";"";"";"67 447"
"SI";"Continental Film (SI)";"27/08/2009";"19 609";"21";"";"";"";"";"";"";"";"";"19 630"
"SK";"Film Europe (SK)";"15/10/2009";"36 763";"2 387";"15";"33";"58";"18";"17";"";"";"93";"39 291"
"TR";"Chantier Films";"06/11/2009";"22 144";"313";"142";"";"";"";"";"";"";"";"22 599"
"EUR EU";"";"";"3 461 928";"161 041";"835";"116";"58";"106";"46";"";"30";"240";"3 624 160"
"EUR OBS";"";"";"3 591 790";"161 840";"979";"116";"58";"106";"46";"58";"30";"298";"3 755 023"
"US_CA";"Sony Classics (US)";"25/09/2009";"622 723";"";"";"";"";"";"";"";"";"";"622 723"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009"
" - film_id : 32257"
