"Market";"Distributor";"Release date";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2019";"2020";"2008-2020";"Total since 2004"
"AT";"Constantin Film (AT)";"29/10/2004";"40 606";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40 606"
"BE";"";"";"171 020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"171 020"
"CH";"Pathé Films (CH)";"28/05/2004";"129 178";"";"";"";"100";"26";"";"82";"13";"55";"";"";"32";"16";"32";"9";"365";"129 543"
"CZ";"ACFK";"12/01/2006";"";"";"13 714";"862";"746";"151";"";"";"";"";"";"";"";"";"";"";"897";"15 473"
"DE";"Constantin Film (DE)";"28/10/2004";"369 104";"106 875";"";"";"";"";"";"";"";"";"126";"208";"162";"94";"24";"";"614";"476 593"
"DK";"Sandrew Metronome (DK)";"27/08/2004";"52 170";"1 716";"511";"19";"112";"";"116";"";"";"";"";"";"";"";"";"";"228";"54 644"
"ES";"Vertigo Films (ES)";"08/10/2004";"287 734";"30 766";"";"";"21";"51";"";"";"28";"";"";"";"";"";"";"";"100";"318 600"
"FI";"Sandrew Metronome Distribution";"03/09/2004";"15 348";"3 032";"89";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"18 469"
"FR";"Diaphana Distribution";"08/09/2004";"772 496";"14 815";"10 602";"";"";"";"";"";"";"";"";"";"";"";"";"396";"396";"798 309"
"GB";"Pathé Distribution (GB)";"27/08/2004";"600 091";"8 587";"";"";"";"";"";"";"";"";"";"";"22";"68";"";"";"90";"608 768"
"HU";"";"";"15 565";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"15 565"
"IS";"";"";"";"7 018";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"7 018"
"IT";"Bim Distribuzione";"21/05/2004";"664 371";"2 389";"";"391";"29";"";"";"";"3";"";"";"100";"";"";"";"";"132";"667 283"
"NL";"A-Film (NL)";"25/11/2004";"45 224";"49 065";"461";"1 899";"";"115";"";"";"22";"";"";"";"";"";"";"";"137";"96 786"
"NO";"Sandrew Metronome (NO)";"01/10/2004";"48 702";"";"538";"1 403";"";"";"";"";"";"";"";"";"";"";"";"";"";"50 643"
"PL";"Gutek Film";"25/02/2005";"";"45 130";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"45 130"
"PT";"";"";"68 115";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"68 115"
"RO";"IF-Independenta Film";"22/04/2005";"";"4 155";"44";"170";"";"";"";"";"";"";"";"";"";"";"";"";"";"4 369"
"SE";"Sandrew Metronome";"22/10/2004";"18 432";"7 294";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"25 726"
"SI";"Fivia";"30/12/2004";"";"";"74";"";"25";"";"";"35";"120";"";"";"";"";"";"";"";"180";"254"
"SK";"ASFK";"14/09/2006";"";"";"1 873";"1 220";"357";"";"";"";"";"";"";"";"";"";"";"";"357";"3 450"
"TR";"Umut Sanat";"05/11/2004";"41 425";"";"";"1 782";"297";"";"";"";"521";"";"";"";"";"";"";"";"818";"44 025"
"EUR EU";"";"";"3 120 276";"273 824";"27 368";"4 561";"1 290";"317";"116";"35";"173";"";"126";"308";"184";"162";"24";"396";"3 131";"3 429 160"
"EUR OBS";"";"";"3 339 581";"280 842";"27 906";"7 746";"1 687";"343";"116";"117";"707";"55";"126";"308";"216";"178";"56";"405";"4 314";"3 660 389"
"US_CA";"";"";"2 532 206";"164 818";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2 697 024"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006, 2005, 2004"
" - film_id : 21966"
