"Market";"Distributor";"Release date";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2011";"2012";"2013";"2014";"2015";"2016";"2018";"2019";"2020";"2004-2020";"Total since 2000"
"AT";"";"";"37 941";"6 495";"446";"187";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"45 069"
"BE";"";"";"120 171";"13 619";"369";"410";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"134 569"
"BG";"";"";"";"3 540";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3 540"
"CH";"Pathé Films (CH)";"05/10/2000";"123 151";"8 545";"";"";"";"";"";"40";"";"";"49";"69";"17";"";"";"";"";"";"";"175";"131 871"
"CZ";"Artcam";"09/11/2000";"17 438";"24 220";"8 073";"1 007";"953";"112";"733";"286";"";"";"";"";"";"";"";"";"";"";"";"2 084";"52 822"
"DE";"Constantin Film (DE)";"28/09/2000";"314 517";"70 837";"";"";"";"";"";"";"";"";"";"";"";"";"56";"";"";"";"";"56";"385 410"
"DK";"";"";"195 593";"7 034";"111";"44";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"202 782"
"EE";"Filmimax";"11/03/2001";"";"4 030";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4 030"
"ES";"Golem Distribucion";"27/10/2000";"323 254";"88 651";"390";"1 106";"486";"104";"259";"43";"";"";"";"";"";"";"343";"";"49";"";"";"1 284";"414 685"
"FI";"";"";"39 774";"7 857";"";"";"41";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"41";"47 672"
"FR";"Les Films du Losange";"18/10/2000";"1 145 725";"30 117";"883";"448";"755";"";"586";"";"";"";"";"";"";"";"";"";"";"";"";"1 341";"1 178 514"
"GB";"Film 4 (GB)";"15/09/2000";"94 464";"";"";"";"";"";"";"";"";"";"";"";"";"54";"";"10";"";"";"17";"81";"94 545"
"HU";"Budapestfilm";"";"";"35 539";"";"";"";"";"";"203";"";"";"";"";"";"";"";"";"";"";"";"203";"35 742"
"IE";"";"";"5 387";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5 387"
"IS";"";"";"9 862";"50";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"9 912"
"IT";"";"";"255 546";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"255 546"
"LU";"";"";"5 515";"168";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5 685"
"LV";"";"";"39 100";"3 517";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"42 617"
"NL";"Eye Film Institute";"01/01/2005";"85 086";"39 125";"153";"236";"";"";"6";"29";"11";"3";"";"";"";"";"";"";"45";"54";"51";"199";"124 799"
"NO";"Sandrew Metronome (NO)";"08/09/2000";"62 152";"";"";"";"";"";"";"14";"10";"";"";"";"";"";"";"";"";"";"";"24";"62 176"
"PL";"";"";"130 104";"44 906";"3 191";"813";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"179 014"
"PT";"Atalanta Filmes";"27/10/2000";"73 264";"4 072";"";"";"";"";"";"";"79";"";"";"";"";"";"";"";"";"36";"";"115";"77 451"
"RO";"IF-Independenta Film";"19/10/2001";"";"";"1 494";"530";"";"";"";"120";"";"";"";"";"";"";"";"";"";"";"";"120";"2 144"
"RU";"";"";"111 906";"26 933";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"138 839"
"SE";"Sandrew Metronome";"08/09/2000";"91 407";"9 377";"";"";"";"";"";"";"25";"";"";"";"";"";"";"";"";"";"";"25";"100 809"
"SI";"Fivia";"09/11/2000";"2 576";"";"";"";"";"";"";"24";"";"";"";"";"";"";"";"";"";"";"";"24";"2 600"
"SK";"WN Danubius Film";"18/01/2001";"";"15 885";"1 604";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"17 489"
"TR";"Umut Sanat";"01/12/2000";"47 419";"";"";"";"";"";"";"";"";"";"";"160";"";"";"";"";"";"";"";"160";"47 579"
"EUR EU";"";"";"2 976 862";"408 989";"16 716";"4 781";"2 235";"216";"1 584";"705";"115";"3";"";"";"";"54";"399";"10";"94";"90";"68";"5 573";"3 412 921"
"EUR OBS";"";"";"3 331 352";"444 517";"16 716";"4 781";"2 235";"216";"1 584";"759";"125";"3";"49";"229";"17";"54";"399";"10";"94";"90";"68";"5 932";"3 803 298"
"US_CA";"";"";"755 907";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"755 907"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2016, 2015, 2014, 2013, 2012, 2011, 2009, 2008, 2007, 2006, 2005, 2004, 2003, 2002, 2001, 2000"
" - film_id : 15251"
