"Market";"Distributor";"Release date";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2013-2020";"Total since 2009"
"AT";"Polyfilm";"04/12/2009";"44 347";"23 216";"";"";"";"";"";"";"";"";"";"";"";"67 563"
"BE";"Paradiso Filmed Entertainment";"30/09/2009";"40 341";"";"";"";"";"";"";"";"";"";"";"";"";"40 341"
"CH";"Frenetic Films (CH)";"12/08/2009";"73 543";"9 850";"6";"";"";"37";"";"";"";"";"";"";"37";"83 436"
"CZ";"Artcam";"13/05/2010";"";"17 094";"221";"420";"101";"71";"51";"27";"40";"";"19";"";"309";"18 044"
"DE";"Wild Bunch (DE)";"03/12/2009";"175 009";"59 412";"";"";"";"240";"124";"";"";"8";"";"47";"419";"234 840"
"DK";"";"";"";"7 555";"";"";"";"";"";"";"";"";"";"";"";"7 555"
"EE";"Acme (EE)";"13/11/2009";"1 114";"925";"";"";"";"";"";"";"";"";"";"";"";"2 039"
"ES";"Tripictures";"02/10/2009";"634 755";"10 433";"";"";"";"";"";"";"115";"";"";"";"115";"645 303"
"FI";"SF Film Finland [FS Film]";"23/10/2009";"10 146";"1 075";"";"";"";"";"";"";"";"";"";"";"";"11 221"
"FR";"Mars Films (FR)";"01/07/2009";"880 600";"";"";"";"";"";"";"";"";"";"";"";"";"880 600"
"GB";"Walt Disney (GB)";"25/06/2010";"";"56 607";"";"";"";"";"";"";"";"";"";"";"";"56 607"
"GR";"Audiovisual";"";"";"4 108";"";"";"";"";"";"";"";"";"";"";"";"4 108"
"IT";"Medusa Film";"18/09/2009";"854 372";"10 003";"455";"158";"";"";"";"";"23";"";"";"";"23";"865 011"
"LT";"ACME / Wild Bunch";"18/09/2009";"";"651";"71";"";"";"";"";"";"";"";"";"";"";"722"
"LV";"Acme (LV)";"";"4 675";"";"";"";"";"";"";"";"";"";"";"";"";"4 675"
"NL";"Paradiso Entertainment (NL)";"12/11/2009";"31 309";"3 291";"819";"";"";"";"";"";"";"";"";"";"";"35 419"
"NO";"SF Norway";"28/08/2009";"5 475";"41";"";"";"";"";"";"";"";"";"";"";"";"5 516"
"PL";"Kino Swiat";"09/04/2010";"";"357 007";"3 952";"";"2 716";"";"";"";"";"";"";"";"2 716";"363 675"
"PT";"ZON Lusomundo Audiovisuais";"04/02/2010";"";"97 452";"57";"";"";"";"";"";"";"";"";"";"";"97 509"
"RO";"IF-Independenta Film";"09/04/2010";"";"5 562";"";"";"58";"";"";"";"";"";"";"";"58";"5 620"
"RU";"Paradise";"21/07/2011";"";"";"4 481";"";"";"";"";"";"";"";"";"";"";"4 481"
"SE";"SF Film (SE)";"10/07/2009";"25 130";"335";"";"";"";"";"";"";"";"";"";"";"";"25 465"
"SK";"ASFK";"09/09/2010";"";"3 625";"1 104";"563";"149";"177";"129";"26";"";"";"";"";"481";"5 773"
"TR";"Tiglon";"15/01/2010";"";"13 598";"416";"";"";"";"";"";"";"";"";"";"";"14 014"
"EUR EU";"";"";"2 701 798";"658 351";"6 679";"1 141";"3 024";"488";"304";"53";"178";"8";"19";"47";"4 121";"3 372 090"
"EUR OBS";"";"";"2 780 816";"681 840";"11 582";"1 141";"3 024";"525";"304";"53";"178";"8";"19";"47";"4 158";"3 479 537"
"US_CA";"Sony Classics (US)";"19/06/2009";"707 467";"";"";"";"";"";"";"";"";"";"";"";"";"707 467"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009"
" - film_id : 32542"
