"Market";"Distributor";"Release date";"2005";"2006";"2007";"2009";"2010";"Total since 2005"
"AT";"Constantin Film (AT)";"01/09/2005";"74 187";"36";"";"";"";"74 223"
"BE";"Belga Films (BE)";"24/08/2005";"118 239";"";"";"";"";"118 239"
"BG";"Aleksandra";"09/09/2005";"32 048";"";"";"";"";"32 048"
"CZ";"Bontonfilm";"20/10/2005";"21 282";"2 445";"191";"1";"";"23 919"
"DE";"Buena Vista (DE)";"01/09/2005";"742 142";"";"";"";"";"742 142"
"EE";"MPDE";"17/09/2005";"10 518";"";"";"";"";"10 518"
"ES";"Hispano Foxfilms";"30/09/2005";"489 883";"452";"";"7";"";"490 342"
"FR";"";"";"1 220 000";"";"";"";"";"1 220 000"
"GB";"20th Century Fox (GB)";"25/11/2005";"219 373";"";"";"";"";"219 373"
"HU";"Intercom";"22/09/2005";"113 529";"";"";"";"";"113 529"
"IS";"";"";"7 885";"";"";"";"";"7 885"
"IT";"";"";"27 407";"";"";"";"";"27 407"
"LU";"Belga Film (LU)";"24/08/2005";"7 773";"";"";"";"";"7 773"
"LV";"Baltic Cinema";"16/09/2005";"17 486";"";"";"";"";"17 486"
"NL";"20th Century Fox (NL)";"13/10/2005";"9 975";"";"";"";"";"9 975"
"NO";"20th Century Fox (NO)";"26/12/2005";"14 518";"17 502";"";"";"40";"32 060"
"PL";"Cinepix";"11/11/2005";"52 220";"";"";"";"";"52 220"
"PT";"CLMC Multimedia";"05/01/2006";"";"49 747";"";"";"";"49 747"
"RO";"Intercomfilm";"04/11/2005";"33 934";"2 983";"";"";"";"36 917"
"SE";"";"";"";"5 198";"";"";"";"5 198"
"SI";"Continental Film (SI)";"08/12/2005";"";"2 084";"";"";"";"2 084"
"SK";"Tatra Film";"01/12/2005";"";"4 252";"";"";"";"4 252"
"TR";"Ozen Film";"14/10/2005";"87 092";"";"";"";"";"87 092"
"EUR EU";"";"";"3 189 996";"67 197";"191";"8";"";"3 257 392"
"EUR OBS";"";"";"3 299 491";"84 699";"191";"8";"40";"3 384 429"
"US_CA";"";"";"6 723 222";"";"";"";"";"6 723 222"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2010, 2009, 2007, 2006, 2005"
" - film_id : 23751"
