"Market";"Distributor";"Release date";"2004";"2005";"2006";"Total since 2004"
"BE";"";"";"99 446";"";"";"99 446"
"CH";"";"";"26 177";"";"";"26 177"
"FR";"Pathé Distribution (FR)";"04/02/2004";"2 886 357";"";"3";"2 886 360"
"LT";"Acme (LT)";"26/08/2005";"";"4 987";"";"4 987"
"LU";"";"";"47";"";"";"47"
"LV";"Acme (LV)";"05/08/2005";"";"4 122";"106";"4 228"
"EUR EU";"";"";"2 985 850";"9 109";"109";"2 995 068"
"EUR OBS";"";"";"3 012 027";"9 109";"109";"3 021 245"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2006, 2005, 2004"
" - film_id : 22159"
