"Market";"Distributor";"Release date";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2011";"2012";"2013";"2017";"2005-2017";"Total since 2000"
"AT";"";"";"";"17 022";"4 910";"";"";"";"";"";"";"";"";"";"";"21 932"
"BE";"";"";"52 553";"3 930";"612";"";"";"";"";"";"";"";"";"";"";"57 095"
"CH";"Fama Film";"26/09/2001";"21 322";"1 039";"";"";"";"";"";"";"66";"";"";"";"66";"22 427"
"DE";"Prokino Filmverleih";"01/08/2002";"";"144 164";"11 474";"734";"401";"";"";"";"";"";"";"";"401";"156 773"
"DK";"";"";"";"";"3 088";"";"";"";"";"";"";"";"";"";"";"3 088"
"ES";"Vertigo Films (ES)";"03/01/2003";"";"";"86 683";"";"";"";"";"22";"";"1 112";"";"101";"1 235";"87 918"
"FI";"Kamras Film Group";"09/08/2002";"";"1 962";"500";"";"81";"";"";"";"";"";"";"";"81";"2 543"
"FR";"";"05/09/2001";"2 263 354";"53 464";"1 898";"632";"";"292";"";"";"";"";"";"";"292";"2 319 640"
"GB";"Artificial Eye";"17/01/2003";"";"22 226";"";"";"";"";"";"";"";"";"";"";"";"22 226"
"GR";"Filmtreint (Filmtrade)";"01/11/2002";"";"11 966";"2 807";"447";"";"";"";"";"";"";"";"";"";"15 220"
"HU";"";"";"";"";"6 516";"";"";"";"";"";"";"";"";"";"";"6 516"
"IE";"";"";"";"2 679";"";"";"";"";"";"";"";"";"";"";"";"2 679"
"IS";"";"";"";"";"228";"";"";"";"";"";"";"";"";"";"";"228"
"IT";"";"";"";"36 000";"4 000";"";"";"";"";"";"";"";"";"";"";"40 000"
"LU";"";"";"3 519";"";"";"28";"";"";"";"";"";"";"";"";"";"3 547"
"NL";"A-Film (NL)";"18/04/2002";"";"5 903";"1 274";"";"";"318";"55";"";"";"";"";"";"373";"7 550"
"NO";"Fidalgo";"23/08/2002";"";"7 324";"574";"30";"";"";"30";"";"";"";"";"";"30";"7 958"
"PT";"Atalanta Filmes";"13/09/2002";"";"11 642";"1 308";"";"";"";"";"";"";"";"21";"";"21";"12 971"
"EUR EU";"";"";"2 319 426";"310 958";"125 070";"1 841";"482";"610";"55";"22";"";"1 112";"21";"101";"2 403";"2 759 698"
"EUR OBS";"";"";"2 340 748";"319 321";"125 872";"1 871";"482";"610";"85";"22";"66";"1 112";"21";"101";"2 499";"2 790 311"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2017, 2013, 2012, 2011, 2008, 2007, 2006, 2005, 2004, 2003, 2002, 2001"
" - film_id : 17605"
