"Market";"Distributor";"Release date";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2018";"2020";"2010-2020";"Total since 2006"
"AT";"Tobis Film (AT)";"26/01/2007";"";"79 212";"";"61";"";"";"";"";"";"";"";"";"";"";"79 273"
"BE";"Belga Films (BE)";"13/12/2006";"107 555";"201 422";"";"";"";"";"";"";"";"";"";"";"";"";"308 977"
"BG";"Aleksandra";"";"";"29 589";"";"";"";"";"";"";"";"";"";"";"";"";"29 589"
"CH";"Pathé Films (CH)";"13/12/2006";"35 205";"43 842";"129";"";"";"";"";"73";"";"126";"";"";"";"199";"79 375"
"CZ";"Bioscop (AQS)";"08/03/2007";"";"53 312";"5 576";"147";"383";"";"220";"695";"372";"870";"184";"";"";"2 724";"61 759"
"DE";"Tobis Film (DE)";"25/01/2007";"";"695 457";"918";"";"";"";"";"";"";"";"";"";"";"";"696 375"
"DK";"Scanbox Entertainment (DK)";"09/02/2007";"";"114 062";"515";"125";"";"";"";"";"";"";"";"";"";"";"114 702"
"EE";"";"17/03/2007";"";"2 295";"";"";"";"";"";"";"";"";"";"";"";"";"2 295"
"ES";"New World Films Int.";"15/12/2006";"388 820";"293 360";"1 144";"";"546";"140";"";"";"";"81";"";"";"";"767";"684 091"
"FI";"Scanbox Finland";"02/03/2007";"";"25 822";"10";"";"";"";"";"";"";"";"";"";"";"";"25 832"
"FR";"EuropaCorp Dist/ARP";"13/12/2006";"4 119 531";"2 254 530";"626";"2 448";"23 730";"";"19";"83";"";"54";"";"156";"75";"24 117";"6 401 252"
"GB";"Momentum Pictures (GB)";"02/02/2007";"";"1 082 105";"8 687";"";"";"";"";"";"1";"31";"";"";"";"32";"1 090 824"
"GR";"Prooptiki (GR)";"21/12/2006";"28 386";"55 171";"111";"";"";"";"";"";"";"";"";"";"";"";"83 668"
"HR";"Blitz Film & Video Distribution (HR)";"";"";"66 495";"";"";"";"";"";"";"";"";"";"";"";"";"66 495"
"HU";"Forum-Hungary";"28/12/2006";"33 177";"";"";"";"";"";"";"";"";"";"";"";"";"";"33 177"
"IS";"Myndform";"26/12/2006";"2 380";"8 008";"";"";"";"";"";"";"";"";"";"";"";"";"10 388"
"IT";"01 Distribution";"09/02/2007";"";"404 751";"1 303";"285";"85";"128";"";"";"";"";"";"";"";"213";"406 552"
"LT";"ACME / Europa Corp.";"06/04/2007";"";"37 617";"";"";"5";"";"";"";"";"";"";"";"";"5";"37 622"
"LU";"Belga Film (LU)";"13/12/2006";"2 229";"";"";"";"";"";"";"";"";"";"";"";"";"";"2 229"
"LV";"Acme (LV)";"";"";"3 539";"";"";"";"";"";"";"";"";"";"";"";"";"3 539"
"NL";"Independent Films (NL)";"31/01/2007";"";"102 389";"";"17";"";"";"";"";"";"";"";"";"";"";"102 406"
"NO";"Scanbox (NO)";"16/02/2007";"";"51 646";"173";"22";"64";"";"";"";"";"";"";"";"";"64";"51 905"
"PL";"Monolith";"05/01/2007";"";"359 206";"2 243";"1 558";"";"1 260";"";"";"";"";"";"";"";"1 260";"364 267"
"PT";"ZON Lusomundo Audiovisuais";"14/12/2006";"106 367";"54 649";"288";"367";"65";"";"";"";"";"";"";"";"";"65";"161 736"
"SE";"Scanbox Entertainment (SE)";"02/02/2007";"";"52 838";"";"";"";"";"";"";"";"";"";"";"";"";"52 838"
"SI";"Blitz Film & Video Distribution (SI)";"26/04/2007";"";"7 090";"79";"45";"";"";"";"";"";"";"";"";"";"";"7 214"
"SK";"Magic Box Slovakia";"15/03/2007";"";"17 122";"847";"436";"783";"";"57";"";"";"15";"";"";"";"855";"19 260"
"TR";"Ozen Film";"22/12/2006";"17 748";"37 950";"";"";"";"";"3 848";"2 078";"";"1 010";"";"";"";"6 936";"62 634"
"EUR EU";"";"";"4 786 065";"5 992 033";"22 347";"5 489";"25 597";"1 528";"296";"778";"373";"1 051";"184";"156";"75";"30 038";"10 835 972"
"EUR OBS";"";"";"4 841 398";"6 133 479";"22 649";"5 511";"25 661";"1 528";"4 144";"2 929";"373";"2 187";"184";"156";"75";"37 237";"11 040 274"
"US_CA";"MGM-Weinstein";"12/01/2007";"";"2 199 529";"";"";"";"";"";"";"";"";"";"";"";"";"2 199 529"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2018, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006"
" - film_id : 25580"
